split,model,subset,mae,rmse,r2,n
within_entity_temporal,panelcast_primary,all,0.024216802983448422,0.036042537757011606,0.9983739469632431,928
within_entity_temporal,last_value,all,0.024012537931034507,0.03580346344509908,0.9983954470139715,928
within_entity_temporal,entity_train_median,all,0.019619200875538857,0.031266362007637175,0.9987763458521541,928
within_entity_temporal,global_train_mean,all,0.6977838437298608,0.8938162892943459,-1.1816182996504665e-06,928
entity_disjoint,panelcast_primary,all,0.6343850133181523,0.829553566742628,-0.0052832175254049485,7639
entity_disjoint,global_train_mean,all,0.6339026595589403,0.8325810075149642,-0.01263410625508632,7639
entity_disjoint,class_train_mean,all,0.6339173376932665,0.832898957940366,-0.013407674038319994,7639
entity_disjoint,gaia_g_direct,all,0.1577371172764759,0.3717666914636585,0.7980980543430878,7639
entity_disjoint,gaia_g_bp_rp_train_ols,all,0.11663947110831181,0.33603478936786924,0.8350440311688269,7639
entity_disjoint,panelcast_primary,magnitude_delta_le_1,0.6173650001059147,0.8036192733656704,-0.002516562763074326,7503
entity_disjoint,gaia_g_bp_rp_train_ols,magnitude_delta_le_1,0.08052159901472603,0.13031882337993336,0.973636373010288,7503
within_entity_temporal,panelcast_gaia_features,all,0.02411362734334222,0.0358203812229006,0.9983939302963449,928
entity_disjoint,panelcast_gaia_features,all,0.6288771577523725,0.8227043352144013,0.011248548390505153,7639
entity_disjoint,panelcast_gaia_features,magnitude_delta_le_1,0.6116588708958148,0.7961850324938654,0.015946100896863435,7503
within_entity_temporal,panelcast_gaia_warm,all,0.024102051710260326,0.035875202248722905,0.998389010540572,928
entity_disjoint,panelcast_gaia_warm,all,0.1562576970593407,0.37100062621000407,0.798929273178445,7639
entity_disjoint,panelcast_gaia_warm,magnitude_delta_le_1,0.11818827855718878,0.1743429736854125,0.9528154554900324,7503
entity_disjoint,panelcast_gaia_warm_calibrated,all,0.11728715625704117,0.33591615375714423,0.8351604802956332,7639
entity_disjoint,panelcast_gaia_warm_calibrated,magnitude_delta_le_1,0.08121818928920654,0.13066104410228033,0.9734977273850106,7503
