entity,y_true,pred_mean,predicted_rank,expected_rank,realized_rank,p_top5,p_top10,p_top25
GaiaDR3_684598618544000384,18.940143585205078,18.844982224146523,1,1.00025,1,1.0,1.0,1.0
GaiaDR3_4306244746253355776,18.502519607543945,18.484100588957467,2,2.0058333333333334,2,0.9998333333333334,1.0,1.0
GaiaDR3_5645504991845223936,18.326658248901367,18.36922976589203,3,3.1379166666666665,5,0.9995833333333334,1.0,1.0
GaiaDR3_740483560857296768,18.357616424560547,18.3336056804657,4,3.9690833333333333,4,0.9976666666666667,1.0,1.0
GaiaDR3_386584233877132416,18.387496948242188,18.2896865290006,5,4.925,3,0.9734166666666667,1.0,1.0
GaiaDR3_2236516121030893568,18.22352409362793,18.215709630330405,6,6.021083333333333,6,0.025333333333333333,0.9998333333333334,0.9998333333333334
GaiaDR3_381335822504421376,18.088544845581055,18.106208802223204,7,7.442083333333334,7,0.0004166666666666667,0.9965833333333334,0.9993333333333333
GaiaDR3_1465214177336901376,18.039770126342773,18.09307914129893,8,7.7815,8,0.0004166666666666667,0.9944166666666666,0.9995
GaiaDR3_4088862329545928960,18.03265953063965,18.005020250956218,9,11.837833333333334,9,0.0,0.4575,0.9865
GaiaDR3_2017326107204193152,18.006526947021484,18.002581893761953,10,12.201583333333334,13,0.0,0.40691666666666665,0.9844166666666667
GaiaDR3_2399970451616401280,17.95227813720703,17.996423682053884,11,13.0555,20,0.00025,0.2986666666666667,0.9794166666666667
GaiaDR3_2198121724740033408,17.993078231811523,17.989729943116505,12,14.101333333333333,16,8.333333333333333e-05,0.20675,0.9695833333333334
GaiaDR3_3573543666515688576,17.915754318237305,17.974578694820405,13,17.01975,29,8.333333333333333e-05,0.08041666666666666,0.9279166666666666
GaiaDR3_2348513096982909312,17.981904983520508,17.973360992272696,14,17.234,17,8.333333333333333e-05,0.07758333333333334,0.92325
GaiaDR3_3160251852820623744,17.932573318481445,17.970992533047994,15,17.879083333333334,25,0.00016666666666666666,0.06466666666666666,0.90975
GaiaDR3_4400342433118262272,17.958837509155273,17.969987788995105,16,18.07208333333333,19,0.0,0.059583333333333335,0.89925
GaiaDR3_511736836405868416,17.99456214904785,17.96660887002945,17,18.9145,15,8.333333333333333e-05,0.0505,0.87575
GaiaDR3_4076297007630077184,17.9641056060791,17.959407732009886,18,20.688833333333335,18,0.0,0.033916666666666664,0.81375
GaiaDR3_4438422055545153536,17.801387786865234,17.958160766760507,19,21.053833333333333,110,8.333333333333333e-05,0.030333333333333334,0.803
GaiaDR3_3012407808497574272,18.02143669128418,17.949560402552287,20,23.5125,11,0.0,0.019,0.6880833333333334
GaiaDR3_2021161620421893376,18.003070831298828,17.949285666306814,21,23.70841666666667,14,0.0,0.019916666666666666,0.6783333333333333
GaiaDR3_935056333580267392,17.90839195251465,17.947564622720083,22,24.158583333333333,38,8.333333333333333e-05,0.02025,0.6509166666666667
GaiaDR3_4527450852077318912,18.00865936279297,17.9465823691686,23,24.532416666666666,12,0.0,0.018083333333333333,0.6425
GaiaDR3_3050819487739373696,17.94647979736328,17.94525311199824,24,24.829833333333333,21,8.333333333333333e-05,0.01425,0.6118333333333333
GaiaDR3_5149410185810690432,17.93711280822754,17.93624618848165,25,27.851666666666667,23,0.0,0.01025,0.4498333333333333
GaiaDR3_837550886514384128,17.913820266723633,17.9337590991656,26,28.78175,33,0.00016666666666666666,0.010083333333333333,0.39941666666666664
GaiaDR3_4125015852414199936,17.943920135498047,17.931900939623514,27,29.444666666666667,22,0.0,0.008916666666666666,0.37066666666666664
GaiaDR3_2614454620092715776,17.934364318847656,17.925869419256845,28,31.681,24,8.333333333333333e-05,0.0069166666666666664,0.268
GaiaDR3_2825254226320937088,17.914716720581055,17.925509636561078,29,31.761916666666668,32,0.0,0.006416666666666667,0.2648333333333333
GaiaDR3_3436267028447648512,17.930252075195312,17.921704023838043,30,33.37133333333333,27,0.0,0.006333333333333333,0.2205
GaiaDR3_1667610770243901568,17.91095733642578,17.91632930866877,31,35.458416666666665,37,0.0,0.004416666666666667,0.15633333333333332
GaiaDR3_3091864870976321536,17.783363342285156,17.91016469367345,32,38.325916666666664,117,8.333333333333333e-05,0.004083333333333333,0.11266666666666666
GaiaDR3_3847170947703000192,17.932411193847656,17.90964441982905,33,38.58475,26,8.333333333333333e-05,0.004083333333333333,0.10783333333333334
GaiaDR3_3632261538808897408,18.0312442779541,17.90954910961787,34,38.598166666666664,10,0.0,0.003833333333333333,0.10816666666666666
GaiaDR3_4586334819344859392,17.88266944885254,17.90879603433609,35,38.912,47,0.0,0.0025833333333333333,0.10066666666666667
GaiaDR3_2558979619911117568,17.846179962158203,17.908517935117086,36,39.08358333333333,69,0.0,0.003,0.10366666666666667
GaiaDR3_3069875325615956352,17.912364959716797,17.907961043516796,37,39.35058333333333,35,8.333333333333333e-05,0.004,0.09466666666666666
GaiaDR3_6830937062411176192,17.868608474731445,17.90252253929774,38,41.959,58,0.0,0.0026666666666666666,0.07108333333333333
GaiaDR3_3750176395587687296,17.911884307861328,17.9003032579422,39,43.11058333333333,36,0.0,0.00275,0.06408333333333334
GaiaDR3_3521997672348520064,17.872068405151367,17.897891048431397,40,44.340333333333334,53,0.0,0.0020833333333333333,0.05241666666666667
GaiaDR3_264955055023575808,17.907773971557617,17.897684132734934,41,44.50491666666667,39,0.0,0.002,0.057416666666666664
GaiaDR3_516532695666534144,17.913745880126953,17.89204086446762,42,47.57358333333333,34,0.0,0.0026666666666666666,0.03766666666666667
GaiaDR3_3559146111505680768,17.88150405883789,17.891229032357533,43,47.95191666666667,48,0.0,0.0016666666666666668,0.03866666666666667
GaiaDR3_1810340947334738944,17.870759963989258,17.88610158665975,44,50.945166666666665,56,8.333333333333333e-05,0.0023333333333333335,0.029583333333333333
GaiaDR3_374333032939743488,17.843347549438477,17.885611746629078,45,51.32658333333333,71,8.333333333333333e-05,0.00175,0.029166666666666667
GaiaDR3_5670164696889033344,17.91497230529785,17.883742388884226,46,52.37433333333333,31,0.00016666666666666666,0.0018333333333333333,0.025666666666666667
GaiaDR3_5168260419316083840,17.851667404174805,17.883642103513083,47,52.41741666666667,65,0.0,0.0021666666666666666,0.026833333333333334
GaiaDR3_2559512165787198592,17.842409133911133,17.882421656449637,48,53.0915,72,0.0,0.0014166666666666668,0.022916666666666665
GaiaDR3_4265068418051448832,17.871036529541016,17.882408093452455,49,53.18716666666667,55,0.0,0.0020833333333333333,0.024
GaiaDR3_3061997947577041536,17.81732749938965,17.88161773379644,50,53.64425,96,0.0,0.00125,0.02266666666666667
GaiaDR3_2800064999043636224,17.915000915527344,17.881589200496673,51,53.68533333333333,30,0.0,0.00175,0.02175
GaiaDR3_4121895850735647360,17.8848876953125,17.879632847627004,52,54.857083333333335,45,0.0,0.00125,0.02075
GaiaDR3_1660083749863708800,17.91794204711914,17.87511997874578,53,57.70025,28,0.0,0.0013333333333333333,0.016833333333333332
GaiaDR3_6863852416161801984,17.89380645751953,17.875093012491863,54,57.72991666666667,43,0.0,0.0010833333333333333,0.017083333333333332
GaiaDR3_4291788165526059520,17.846677780151367,17.87346345202128,55,58.78325,68,8.333333333333333e-05,0.0013333333333333333,0.01425
GaiaDR3_4304510507179404544,17.887134552001953,17.86953401660919,56,61.30566666666667,44,0.0,0.0006666666666666666,0.01275
GaiaDR3_1755145979013455872,17.85725212097168,17.869457109610238,57,61.39008333333334,64,8.333333333333333e-05,0.0011666666666666668,0.01125
GaiaDR3_4282015946675896832,17.877094268798828,17.865878541151684,58,63.80416666666667,49,0.0,0.0010833333333333333,0.010916666666666667
GaiaDR3_1853123945507031808,17.875011444091797,17.865779437065125,59,63.961083333333335,50,0.0,0.0013333333333333333,0.012166666666666666
GaiaDR3_1739636512805502976,17.869335174560547,17.86517549196879,60,64.24475,57,0.0,0.00075,0.010333333333333333
