,Estimate,SE,CI Lower,CI Upper
ztfgcg_beta[0],-0.00010,0.00019,-0.00046,0.00026
ztfgcg_beta[1],-0.00067,0.00041,-0.00141,0.00014
ztfgcg_beta[2],-0.00,0.00,-0.00,0.00
ztfgcg_beta[3],0.00070,0.00035,0.00005,0.00134
ztfgcg_beta[4],-0.01,1.00,-1.93,1.86
ztfgcg_beta[5],0.00,1.00,-1.82,1.93
ztfgcg_beta[6],0.003112,0.00,0.002986,0.003241
ztfgcg_beta[7],0.00,0.00,-0.00,0.00
ztfgcg_mu_artist,0.722949,0.00,0.722818,0.723075
ztfgcg_sigma_artist,0.001174,0.00,0.001018,0.001327
ztfgcg_sigma_obs,0.010074,0.00,0.009987,0.010161
