,R-hat,ESS Bulk,ESS Tail,MCSE Mean,Status
ztfgcg_beta[0],1.0000,14443,9619,0.0000,Pass
ztfgcg_beta[1],1.0000,12617,8813,0.0000,Pass
ztfgcg_beta[2],1.0000,12067,10013,0.0000,Pass
ztfgcg_beta[3],1.0000,12581,8454,0.0000,Pass
ztfgcg_beta[4],1.0000,29175,8114,0.0060,Pass
ztfgcg_beta[5],1.0000,29565,8603,0.0060,Pass
ztfgcg_beta[6],1.0000,14263,10335,0.0000,Pass
ztfgcg_beta[7],1.0000,13594,10335,0.0000,Pass
ztfgcg_init_artist_effect[0],1.0000,28563,9035,0.0000,Pass
ztfgcg_init_artist_effect[1],1.0000,24701,8490,0.0000,Pass
ztfgcg_init_artist_effect[2],1.0000,28271,8846,0.0000,Pass
ztfgcg_init_artist_effect[3],1.0000,29708,8401,0.0000,Pass
ztfgcg_init_artist_effect[4],1.0000,28823,8576,0.0000,Pass
ztfgcg_init_artist_effect[5],1.0000,28384,7935,0.0000,Pass
ztfgcg_init_artist_effect[6],1.0000,27801,8080,0.0000,Pass
ztfgcg_init_artist_effect[7],1.0000,24568,8529,0.0000,Pass
ztfgcg_init_artist_effect[8],1.0000,28652,8710,0.0000,Pass
ztfgcg_init_artist_effect[9],1.0000,27270,8450,0.0000,Pass
ztfgcg_init_artist_effect[10],1.0000,11742,9394,0.0000,Pass
ztfgcg_init_artist_effect[11],1.0000,25703,8806,0.0000,Pass
ztfgcg_init_artist_effect[12],1.0000,25812,8459,0.0000,Pass
ztfgcg_init_artist_effect[13],1.0000,27836,8367,0.0000,Pass
ztfgcg_init_artist_effect[14],1.0000,26716,9035,0.0000,Pass
ztfgcg_init_artist_effect[15],1.0000,29460,8964,0.0000,Pass
ztfgcg_init_artist_effect[16],1.0000,29763,8342,0.0000,Pass
ztfgcg_init_artist_effect[17],1.0000,28329,8720,0.0000,Pass
ztfgcg_init_artist_effect[18],1.0000,27603,8515,0.0000,Pass
ztfgcg_init_artist_effect[19],1.0000,25977,8583,0.0000,Pass
ztfgcg_init_artist_effect[20],1.0000,27782,8265,0.0000,Pass
ztfgcg_init_artist_effect[21],1.0000,28022,8746,0.0000,Pass
ztfgcg_init_artist_effect[22],1.0000,29148,8626,0.0000,Pass
ztfgcg_init_artist_effect[23],1.0000,27805,8860,0.0000,Pass
ztfgcg_init_artist_effect[24],1.0000,29046,9357,0.0000,Pass
ztfgcg_init_artist_effect[25],1.0000,27950,8304,0.0000,Pass
ztfgcg_init_artist_effect[26],1.0000,25573,8206,0.0000,Pass
ztfgcg_init_artist_effect[27],1.0000,28636,8324,0.0000,Pass
ztfgcg_init_artist_effect[28],1.0000,25924,8800,0.0000,Pass
ztfgcg_init_artist_effect[29],1.0000,30032,8585,0.0000,Pass
ztfgcg_init_artist_effect[30],1.0000,24835,8796,0.0000,Pass
ztfgcg_init_artist_effect[31],1.0000,25462,8766,0.0000,Pass
ztfgcg_init_artist_effect[32],1.0000,25216,8396,0.0000,Pass
ztfgcg_init_artist_effect[33],1.0000,29870,8733,0.0000,Pass
ztfgcg_init_artist_effect[34],1.0000,30377,7957,0.0000,Pass
ztfgcg_init_artist_effect[35],1.0000,27627,8746,0.0000,Pass
ztfgcg_init_artist_effect[36],1.0000,28669,8932,0.0000,Pass
ztfgcg_init_artist_effect[37],1.0000,27465,8234,0.0000,Pass
ztfgcg_init_artist_effect[38],1.0000,27160,8777,0.0000,Pass
ztfgcg_init_artist_effect[39],1.0000,29008,8672,0.0000,Pass
ztfgcg_init_artist_effect[40],1.0000,28974,8352,0.0000,Pass
ztfgcg_init_artist_effect[41],1.0000,28766,9273,0.0000,Pass
ztfgcg_init_artist_effect[42],1.0000,28467,8954,0.0000,Pass
ztfgcg_init_artist_effect[43],1.0000,25472,8867,0.0000,Pass
ztfgcg_init_artist_effect[44],1.0000,27235,8290,0.0000,Pass
ztfgcg_init_artist_effect[45],1.0000,27879,9269,0.0000,Pass
ztfgcg_init_artist_effect[46],1.0000,27978,8578,0.0000,Pass
ztfgcg_init_artist_effect[47],1.0000,28110,8470,0.0000,Pass
ztfgcg_init_artist_effect[48],1.0000,27694,8362,0.0000,Pass
