entity,y_true,pred_mean,predicted_rank,expected_rank,realized_rank,p_top5,p_top10,p_top25
GaiaDR3_684598618544000384,18.940143585205078,18.846380144755045,1,1.00025,1,1.0,1.0,1.0
GaiaDR3_4306244746253355776,18.502519607543945,18.48503359524409,2,2.0050833333333333,2,0.9998333333333334,1.0,1.0
GaiaDR3_5645504991845223936,18.326658248901367,18.366651731173196,3,3.1500833333333333,5,0.9995833333333334,1.0,1.0
GaiaDR3_740483560857296768,18.357616424560547,18.333436084429422,4,3.9640833333333334,4,0.9976666666666667,1.0,1.0
GaiaDR3_386584233877132416,18.387496948242188,18.291855787913004,5,4.914583333333334,3,0.9770833333333333,1.0,1.0
GaiaDR3_2236516121030893568,18.22352409362793,18.217045862833658,6,6.020416666666667,6,0.022166666666666668,0.9998333333333334,0.9999166666666667
GaiaDR3_381335822504421376,18.088544845581055,18.107105497201285,7,7.42525,7,0.00025,0.99725,0.9995
GaiaDR3_1465214177336901376,18.039770126342773,18.09384229485194,8,7.773666666666666,8,0.0004166666666666667,0.995,0.9995
GaiaDR3_4088862329545928960,18.03265953063965,18.00589422051112,9,11.723083333333333,9,0.0,0.46775,0.9878333333333333
GaiaDR3_2017326107204193152,18.006526947021484,18.003379296620686,10,12.07725,13,0.0,0.418,0.986
GaiaDR3_2399970451616401280,17.95227813720703,17.997286321957905,11,12.9125,20,0.00025,0.3065833333333333,0.9805833333333334
GaiaDR3_2198121724740033408,17.993078231811523,17.99058728170395,12,13.940333333333333,16,8.333333333333333e-05,0.20941666666666667,0.97275
GaiaDR3_3573543666515688576,17.915754318237305,17.97469714864095,13,17.000833333333333,29,8.333333333333333e-05,0.07675,0.9315
GaiaDR3_2348513096982909312,17.981904983520508,17.97376573085785,14,17.157583333333335,17,8.333333333333333e-05,0.07341666666666667,0.92675
GaiaDR3_3160251852820623744,17.932573318481445,17.971639758427937,15,17.746166666666667,25,0.00016666666666666666,0.06291666666666666,0.9151666666666667
GaiaDR3_4400342433118262272,17.958837509155273,17.970836875279744,16,17.891833333333334,19,0.0,0.058,0.9063333333333333
GaiaDR3_511736836405868416,17.99456214904785,17.96753527100881,17,18.709333333333333,15,8.333333333333333e-05,0.050083333333333334,0.8843333333333333
GaiaDR3_4076297007630077184,17.9641056060791,17.95978928677241,18,20.621833333333335,18,0.0,0.03216666666666667,0.8186666666666667
GaiaDR3_4438422055545153536,17.801387786865234,17.958980267683664,19,20.86225,110,8.333333333333333e-05,0.02925,0.81375
GaiaDR3_2021161620421893376,18.003070831298828,17.95005820306142,20,23.50733333333333,14,0.0,0.019,0.6900833333333334
GaiaDR3_935056333580267392,17.90839195251465,17.94889150349299,21,23.79675,38,8.333333333333333e-05,0.019666666666666666,0.6745
GaiaDR3_4527450852077318912,18.00865936279297,17.94791531451543,22,24.16225,12,0.0,0.0175,0.6616666666666666
GaiaDR3_3012407808497574272,18.02143669128418,17.947890188058217,23,24.067333333333334,11,0.0,0.015916666666666666,0.6575833333333333
GaiaDR3_3050819487739373696,17.94647979736328,17.946281350135802,24,24.549833333333332,21,8.333333333333333e-05,0.013833333333333333,0.6294166666666666
GaiaDR3_5149410185810690432,17.93711280822754,17.936374961217243,25,27.8785,23,0.0,0.00925,0.4395
GaiaDR3_837550886514384128,17.913820266723633,17.935233217557272,26,28.30875,33,0.00016666666666666666,0.009833333333333333,0.41733333333333333
GaiaDR3_4125015852414199936,17.943920135498047,17.93230519723892,27,29.3675,22,0.0,0.008583333333333333,0.36691666666666667
GaiaDR3_2614454620092715776,17.934364318847656,17.92663021739324,28,31.46141666666667,24,8.333333333333333e-05,0.006333333333333333,0.2688333333333333
GaiaDR3_2825254226320937088,17.914716720581055,17.92497761774063,29,32.041333333333334,32,0.0,0.00575,0.24766666666666667
GaiaDR3_3436267028447648512,17.930252075195312,17.92239020586014,30,33.1635,27,0.0,0.005916666666666666,0.21758333333333332
GaiaDR3_1667610770243901568,17.91095733642578,17.917257288455964,31,35.150416666666665,37,0.0,0.00425,0.15466666666666667
GaiaDR3_3847170947703000192,17.932411193847656,17.91097177394231,32,38.05025,26,8.333333333333333e-05,0.003833333333333333,0.10825
GaiaDR3_3091864870976321536,17.783363342285156,17.91088578859965,33,38.07566666666666,117,8.333333333333333e-05,0.0035833333333333333,0.10983333333333334
GaiaDR3_3632261538808897408,18.0312442779541,17.91028850857417,34,38.344,10,0.0,0.0035833333333333333,0.10475
GaiaDR3_4586334819344859392,17.88266944885254,17.90971363957723,35,38.574,47,0.0,0.0021666666666666666,0.09808333333333333
GaiaDR3_2558979619911117568,17.846179962158203,17.90891283448537,36,38.98425,69,0.0,0.0025833333333333333,0.0985
GaiaDR3_3069875325615956352,17.912364959716797,17.908113535881043,37,39.36108333333333,35,8.333333333333333e-05,0.0036666666666666666,0.08933333333333333
GaiaDR3_6830937062411176192,17.868608474731445,17.90291989882787,38,41.854166666666664,58,0.0,0.00225,0.06733333333333333
GaiaDR3_3750176395587687296,17.911884307861328,17.9003546333313,39,43.17425,36,0.0,0.0025833333333333333,0.058833333333333335
GaiaDR3_3521997672348520064,17.872068405151367,17.900249973138173,40,43.2215,53,0.0,0.00225,0.05575
GaiaDR3_264955055023575808,17.907773971557617,17.89879492712021,41,44.0275,39,0.0,0.00175,0.05583333333333333
GaiaDR3_516532695666534144,17.913745880126953,17.892514817237853,42,47.422916666666666,34,0.0,0.0023333333333333335,0.035583333333333335
GaiaDR3_3559146111505680768,17.88150405883789,17.891644672711692,43,47.82308333333334,48,0.0,0.0014166666666666668,0.036
GaiaDR3_1810340947334738944,17.870759963989258,17.886977093219755,44,50.547916666666666,56,8.333333333333333e-05,0.00225,0.027833333333333335
GaiaDR3_374333032939743488,17.843347549438477,17.88624699640274,45,51.06033333333333,71,8.333333333333333e-05,0.0015,0.0275
GaiaDR3_5168260419316083840,17.851667404174805,17.883792853514354,46,52.43666666666667,65,0.0,0.0020833333333333333,0.024333333333333332
GaiaDR3_4265068418051448832,17.871036529541016,17.883578431606292,47,52.59941666666667,55,0.0,0.0018333333333333333,0.023166666666666665
GaiaDR3_5670164696889033344,17.91497230529785,17.883395682970683,48,52.70816666666666,31,0.00016666666666666666,0.0015,0.02225
GaiaDR3_2559512165787198592,17.842409133911133,17.88266942723592,49,53.06325,72,0.0,0.0013333333333333333,0.021416666666666667
GaiaDR3_3061997947577041536,17.81732749938965,17.882270922342936,50,53.371,96,0.0,0.00125,0.020833333333333332
GaiaDR3_2800064999043636224,17.915000915527344,17.882054080963133,51,53.52633333333333,30,0.0,0.0015833333333333333,0.02025
GaiaDR3_4121895850735647360,17.8848876953125,17.880684490521748,52,54.32091666666667,45,0.0,0.0010833333333333333,0.019583333333333335
GaiaDR3_6863852416161801984,17.89380645751953,17.87583288860321,53,57.382666666666665,43,0.0,0.001,0.016583333333333332
GaiaDR3_1660083749863708800,17.91794204711914,17.875697901566824,54,57.462666666666664,28,0.0,0.00125,0.016083333333333335
GaiaDR3_4291788165526059520,17.846677780151367,17.872601173082987,55,59.492,68,8.333333333333333e-05,0.0011666666666666668,0.012666666666666666
GaiaDR3_4304510507179404544,17.887134552001953,17.870354191303253,56,60.9005,44,0.0,0.0006666666666666666,0.012
GaiaDR3_1755145979013455872,17.85725212097168,17.870164577960967,57,61.063,64,8.333333333333333e-05,0.0010833333333333333,0.010583333333333333
GaiaDR3_4282015946675896832,17.877094268798828,17.866922063668568,58,63.254666666666665,49,0.0,0.001,0.01
GaiaDR3_1853123945507031808,17.875011444091797,17.866569064299267,59,63.581,50,0.0,0.0011666666666666668,0.010916666666666667
GaiaDR3_1739636512805502976,17.869335174560547,17.865959643363954,60,63.8595,57,0.0,0.0006666666666666666,0.009583333333333333
GaiaDR3_6806583841928390400,17.8157958984375,17.864546935717264,61,64.88408333333334,98,0.0,0.0008333333333333334,0.00925
GaiaDR3_1985385814114087808,17.864551544189453,17.86348071718216,62,65.60825,60,0.0,0.0006666666666666666,0.008916666666666666
GaiaDR3_2445199961937383424,17.907745361328125,17.86330266094208,63,65.671,40,0.0,0.0006666666666666666,0.008166666666666666
