,Estimate,SE,CI Lower,CI Upper
ztfgcgw_beta[0],0.00002,0.00019,-0.00033,0.00039
ztfgcgw_beta[1],0.00044,0.00040,-0.00032,0.00118
ztfgcgw_beta[2],0.000137,0.00,0.000028,0.000247
ztfgcgw_beta[3],-0.00024,0.00034,-0.00089,0.00039
ztfgcgw_beta[4],-0.01,1.02,-1.87,1.97
ztfgcgw_beta[5],-0.00,1.00,-1.90,1.85
ztfgcgw_beta[6],0.003056,0.00,0.002936,0.003187
ztfgcgw_beta[7],0.000114,0.00,-0.000015,0.000241
ztfgcgw_mu_artist,0.722751,0.00,0.722625,0.722881
ztfgcgw_sigma_artist,0.001191,0.00,0.001037,0.001335
ztfgcgw_sigma_obs,0.009812,0.00,0.009727,0.009896
