entity,y_true,pred_mean,predicted_rank,expected_rank,realized_rank,p_top5,p_top10,p_top25
GaiaDR3_684598618544000384,18.940143585205078,18.846408755938214,1,1.00025,1,1.0,1.0,1.0
GaiaDR3_4306244746253355776,18.502519607543945,18.485913106600442,2,2.0050833333333333,2,0.9998333333333334,1.0,1.0
GaiaDR3_5645504991845223936,18.326658248901367,18.356757150491077,3,3.31575,5,0.9993333333333333,1.0,1.0
GaiaDR3_740483560857296768,18.357616424560547,18.339058427492777,4,3.7893333333333334,4,0.9980833333333333,1.0,1.0
GaiaDR3_386584233877132416,18.387496948242188,18.290803967316947,5,4.9279166666666665,3,0.97375,1.0,1.0
GaiaDR3_2236516121030893568,18.22352409362793,18.21732022603353,6,6.0195,6,0.024833333333333332,0.9998333333333334,0.9998333333333334
GaiaDR3_381335822504421376,18.088544845581055,18.10545946820577,7,7.449916666666667,7,0.0003333333333333333,0.9966666666666667,0.9993333333333333
GaiaDR3_1465214177336901376,18.039770126342773,18.09281211423874,8,7.773083333333333,8,0.0004166666666666667,0.9946666666666667,0.9994166666666666
GaiaDR3_4088862329545928960,18.03265953063965,18.00478585402171,9,11.774583333333334,9,0.0,0.4656666666666667,0.9871666666666666
GaiaDR3_2017326107204193152,18.006526947021484,18.002094834327696,10,12.15025,13,0.0,0.41183333333333333,0.9851666666666666
GaiaDR3_2399970451616401280,17.95227813720703,17.995798188527424,11,13.010416666666666,20,0.00025,0.3005833333333333,0.9794166666666667
GaiaDR3_2198121724740033408,17.993078231811523,17.989945540428163,12,13.888333333333334,16,8.333333333333333e-05,0.21525,0.9724166666666667
GaiaDR3_3573543666515688576,17.915754318237305,17.972531835873923,13,17.228583333333333,29,8.333333333333333e-05,0.07541666666666667,0.92325
GaiaDR3_3160251852820623744,17.932573318481445,17.971104040145875,14,17.578416666666666,25,0.00016666666666666666,0.06833333333333333,0.9154166666666667
GaiaDR3_4400342433118262272,17.958837509155273,17.970117309570313,15,17.767083333333332,19,0.0,0.06225,0.9085833333333333
GaiaDR3_2348513096982909312,17.981904983520508,17.967763084570567,16,18.260083333333334,17,8.333333333333333e-05,0.05733333333333333,0.8955
GaiaDR3_511736836405868416,17.99456214904785,17.96580595223109,17,18.80625,15,8.333333333333333e-05,0.05075,0.87875
GaiaDR3_4438422055545153536,17.801387786865234,17.957876381079355,18,20.8025,110,8.333333333333333e-05,0.03175,0.8111666666666667
GaiaDR3_4076297007630077184,17.9641056060791,17.957389491240182,19,20.900666666666666,18,0.0,0.033,0.8040833333333334
GaiaDR3_2021161620421893376,18.003070831298828,17.94903310918808,20,23.39325,14,0.0,0.021416666666666667,0.69525
GaiaDR3_935056333580267392,17.90839195251465,17.948451220671338,21,23.521083333333333,38,8.333333333333333e-05,0.022,0.68825
GaiaDR3_3050819487739373696,17.94647979736328,17.945416169961295,22,24.394833333333334,21,8.333333333333333e-05,0.016,0.6401666666666667
GaiaDR3_3012407808497574272,18.02143669128418,17.945140110969543,23,24.54825,11,0.0,0.016666666666666666,0.6284166666666666
GaiaDR3_4527450852077318912,18.00865936279297,17.938534391244254,24,26.768416666666667,12,0.0,0.013,0.5214166666666666
GaiaDR3_5149410185810690432,17.93711280822754,17.934653504530587,25,27.989583333333332,23,0.0,0.009583333333333333,0.4454166666666667
GaiaDR3_837550886514384128,17.913820266723633,17.933621767838797,26,28.396583333333332,33,0.00016666666666666666,0.0105,0.41933333333333334
GaiaDR3_4125015852414199936,17.943920135498047,17.93063039827347,27,29.472416666666668,22,0.0,0.0085,0.3724166666666667
GaiaDR3_2614454620092715776,17.934364318847656,17.924102855523426,28,31.878083333333333,24,8.333333333333333e-05,0.006333333333333333,0.26616666666666666
GaiaDR3_2825254226320937088,17.914716720581055,17.924038133939106,29,31.889916666666668,32,0.0,0.006166666666666667,0.26416666666666666
GaiaDR3_3436267028447648512,17.930252075195312,17.92063263495763,30,33.291333333333334,27,0.0,0.00625,0.22266666666666668
GaiaDR3_1667610770243901568,17.91095733642578,17.916633109728494,31,34.815916666666666,37,0.0,0.004833333333333334,0.17316666666666666
GaiaDR3_3632261538808897408,18.0312442779541,17.915284901460012,32,35.5585,10,0.0,0.00525,0.17083333333333334
GaiaDR3_3091864870976321536,17.783363342285156,17.909708571751914,33,37.95283333333333,117,8.333333333333333e-05,0.004083333333333333,0.11933333333333333
GaiaDR3_3069875325615956352,17.912364959716797,17.907988701343537,34,38.74925,35,8.333333333333333e-05,0.00375,0.10591666666666667
GaiaDR3_4586334819344859392,17.88266944885254,17.90735110425949,35,39.00241666666667,47,0.0,0.0025,0.10283333333333333
GaiaDR3_3847170947703000192,17.932411193847656,17.907079500675202,36,39.20775,26,8.333333333333333e-05,0.003916666666666666,0.10141666666666667
GaiaDR3_2558979619911117568,17.846179962158203,17.90610951757431,37,39.63708333333334,69,0.0,0.0026666666666666666,0.0975
GaiaDR3_6830937062411176192,17.868608474731445,17.90106591939926,38,42.057833333333335,58,0.0,0.0023333333333333335,0.07291666666666667
GaiaDR3_3750176395587687296,17.911884307861328,17.89947142012914,39,42.865,36,0.0,0.0025,0.0655
GaiaDR3_264955055023575808,17.907773971557617,17.896579752922058,40,44.418,39,0.0,0.0019166666666666666,0.05625
GaiaDR3_3521997672348520064,17.872068405151367,17.895834390322367,41,44.794666666666664,53,0.0,0.0021666666666666666,0.0545
GaiaDR3_516532695666534144,17.913745880126953,17.890845088799793,42,47.48741666666667,34,0.0,0.00275,0.0405
GaiaDR3_3559146111505680768,17.88150405883789,17.889056601524352,43,48.430166666666665,48,0.0,0.0015,0.0365
GaiaDR3_1810340947334738944,17.870759963989258,17.886148871103924,44,50.141,56,8.333333333333333e-05,0.0023333333333333335,0.0325
GaiaDR3_374333032939743488,17.843347549438477,17.885040717601775,45,50.8605,71,8.333333333333333e-05,0.00175,0.031166666666666665
GaiaDR3_4265068418051448832,17.871036529541016,17.881800488789878,46,52.74025,55,0.0,0.0016666666666666668,0.025083333333333332
GaiaDR3_3061997947577041536,17.81732749938965,17.881357747077942,47,52.994166666666665,96,0.0,0.0013333333333333333,0.024166666666666666
GaiaDR3_5168260419316083840,17.851667404174805,17.880653392950695,48,53.38016666666667,65,0.0,0.0021666666666666666,0.02475
GaiaDR3_4121895850735647360,17.8848876953125,17.88012748257319,49,53.72258333333333,45,0.0,0.00125,0.023083333333333334
GaiaDR3_2800064999043636224,17.915000915527344,17.879630225499472,50,54.044333333333334,30,0.0,0.00175,0.022333333333333334
GaiaDR3_5670164696889033344,17.91497230529785,17.87837033255895,51,54.85425,31,0.00016666666666666666,0.0015833333333333333,0.021416666666666667
GaiaDR3_2559512165787198592,17.842409133911133,17.877125647385917,52,55.505916666666664,72,0.0,0.0014166666666666668,0.0195
GaiaDR3_1660083749863708800,17.91794204711914,17.873826156934104,53,57.6505,28,0.0,0.00125,0.0175
GaiaDR3_6863852416161801984,17.89380645751953,17.870731622219086,54,59.62916666666667,43,0.0,0.001,0.015666666666666666
GaiaDR3_4291788165526059520,17.846677780151367,17.870059932231904,55,60.11291666666666,68,8.333333333333333e-05,0.0014166666666666668,0.014
GaiaDR3_4304510507179404544,17.887134552001953,17.86991868718465,56,60.135,44,0.0,0.0006666666666666666,0.012916666666666667
GaiaDR3_1755145979013455872,17.85725212097168,17.869401163419088,57,60.49458333333333,64,8.333333333333333e-05,0.00125,0.01275
GaiaDR3_1853123945507031808,17.875011444091797,17.86586932738622,58,62.944833333333335,50,0.0,0.0014166666666666668,0.0125
GaiaDR3_1739636512805502976,17.869335174560547,17.864788072427114,59,63.523583333333335,57,0.0,0.0008333333333333334,0.010833333333333334
GaiaDR3_6806583841928390400,17.8157958984375,17.863179206053417,60,64.71608333333333,98,8.333333333333333e-05,0.0011666666666666668,0.01025
GaiaDR3_2375950378861879040,17.848167419433594,17.863146542867025,61,64.72208333333333,66,8.333333333333333e-05,0.00075,0.010583333333333333
GaiaDR3_4282015946675896832,17.877094268798828,17.862981928666432,62,64.841,49,0.0,0.0010833333333333333,0.009666666666666667
GaiaDR3_1985385814114087808,17.864551544189453,17.862663439591724,63,65.03016666666667,60,0.0,0.0008333333333333334,0.010666666666666666
GaiaDR3_356186555597277440,17.833396911621094,17.86062132104238,64,66.42883333333333,82,0.0,0.00075,0.009833333333333333
GaiaDR3_2445199961937383424,17.907745361328125,17.860224444707235,65,66.65416666666667,40,0.0,0.0006666666666666666,0.00875
GaiaDR3_1476652053203050368,17.80357551574707,17.86006185881297,66,66.71583333333334,109,0.0,0.0006666666666666666,0.007916666666666667
GaiaDR3_3266140045253880576,17.836999893188477,17.857942237854004,67,68.29475,76,0.0,0.00075,0.008
GaiaDR3_2668378930927399296,17.87499237060547,17.857510818799337,68,68.61475,51,0.0,0.0006666666666666666,0.008166666666666666
GaiaDR3_458252738239635584,17.83415985107422,17.856636682510377,69,69.3055,80,0.0,0.00075,0.009333333333333334
GaiaDR3_6769371729881166848,17.859127044677734,17.853525462786358,70,71.48225,63,0.0,0.00075,0.007333333333333333
GaiaDR3_2056368017063855360,17.812822341918945,17.853127620538075,71,71.73833333333333,100,0.0,0.00075,0.0075
GaiaDR3_1428369955006868352,17.834062576293945,17.85229556353887,72,72.33475,81,0.0,0.0005833333333333334,0.006833333333333334
GaiaDR3_5185437677159551872,17.81657600402832,17.849736499945323,73,74.15525,97,8.333333333333333e-05,0.0006666666666666666,0.005916666666666666
GaiaDR3_370046960520651008,17.81244659423828,17.84600416056315,74,76.92325,101,0.0,0.001,0.005166666666666667
GaiaDR3_3869420115246986368,17.89495277404785,17.844387020428975,75,78.13858333333333,42,0.0,0.001,0.0045
GaiaDR3_5175397624169506304,17.818307876586914,17.84419251314799,76,78.21716666666667,94,0.0,0.0009166666666666666,0.005
GaiaDR3_3021617485394291072,17.818904876708984,17.840865165392557,77,80.70833333333333,93,8.333333333333333e-05,0.0006666666666666666,0.004666666666666667
GaiaDR3_2795150147707769728,17.8364200592041,17.84081447839737,78,80.74358333333333,78,0.0,0.0005,0.002416666666666667
GaiaDR3_6278490601835670144,17.90443229675293,17.839763160387676,79,81.50083333333333,41,0.0,0.0005,0.0035833333333333333
GaiaDR3_857360753152627072,17.860132217407227,17.839063799858092,80,82.08908333333333,62,0.0,0.0005833333333333334,0.004333333333333333
GaiaDR3_2177866074856588928,17.84510040283203,17.838879036426544,81,82.14825,70,0.0,0.0005,0.003916666666666666
GaiaDR3_4370487737488644096,17.831544876098633,17.8388697625796,82,82.18183333333333,84,0.0,0.0003333333333333333,0.004333333333333333
GaiaDR3_3611613878670271232,17.83999252319336,17.83285308456421,83,86.66958333333334,74,0.0,8.333333333333333e-05,0.0035833333333333333
GaiaDR3_314598009311483008,17.8377742767334,17.831815531571706,84,87.52925,75,0.0,0.0008333333333333334,0.003916666666666666
GaiaDR3_1830536094036524032,17.867904663085938,17.83148024272919,85,87.68625,59,0.0,0.00025,0.00275
GaiaDR3_1434462314576560512,17.804386138916016,17.830495378812156,86,88.41541666666667,108,0.0,0.0003333333333333333,0.002
GaiaDR3_930577850922831616,17.88372802734375,17.830338021119434,87,88.58391666666667,46,0.0,8.333333333333333e-05,0.00275
GaiaDR3_3014188330140493824,17.874361038208008,17.829936454614003,88,88.92158333333333,52,0.0,0.0004166666666666667,0.0028333333333333335
GaiaDR3_1796210023892145408,17.80571746826172,17.829757122516632,89,89.04708333333333,107,0.0,0.0005833333333333334,0.0035
GaiaDR3_6799989928963170688,17.8719425201416,17.828169863065085,90,90.18733333333333,54,0.0,0.0005,0.0025
GaiaDR3_566626892104483712,17.790611267089844,17.827728552977245,91,90.58075,114,0.0,0.0005833333333333334,0.003416666666666667
GaiaDR3_2237288944557097600,17.800582885742188,17.82594659980138,92,91.92391666666667,111,0.0,0.00025,0.00275
GaiaDR3_187330225592045824,17.797534942626953,17.825772954305013,93,92.03925,112,0.0,0.0004166666666666667,0.0020833333333333333
GaiaDR3_3055046491471448320,17.847572326660156,17.8238955895106,94,93.41816666666666,67,0.0,0.0004166666666666667,0.002
GaiaDR3_1650240032714843008,17.728803634643555,17.823669654846192,95,93.58575,155,0.0,8.333333333333333e-05,0.0025
GaiaDR3_3192083019385112320,17.821765899658203,17.82332881037394,96,93.84125,88,0.0,0.00016666666666666666,0.002416666666666667
GaiaDR3_2293848574305633536,17.810070037841797,17.822516885916393,97,94.44183333333334,103,0.0,0.00025,0.0018333333333333333
GaiaDR3_1411939063696260736,17.820037841796875,17.819889586607616,98,96.56833333333333,91,0.00016666666666666666,0.0005,0.002916666666666667
GaiaDR3_3448106775815612928,17.778112411499023,17.815953016599018,99,99.48125,124,0.0,0.0003333333333333333,0.0021666666666666666
GaiaDR3_2944687547315654784,17.8173885345459,17.81537226295471,100,99.89625,95,0.0,0.00025,0.0014166666666666668
GaiaDR3_6824715235346420864,17.812217712402344,17.815184829711914,101,100.08016666666667,102,8.333333333333333e-05,0.0003333333333333333,0.001
GaiaDR3_1212352655004983808,17.863388061523438,17.814526762803396,102,100.52533333333334,61,0.0,0.00025,0.0014166666666666668
GaiaDR3_2873505301968425984,17.779857635498047,17.81433230161667,103,100.69141666666667,120,0.0,0.00025,0.0013333333333333333
GaiaDR3_6228158296713374464,17.83474349975586,17.812818983078003,104,101.84075,79,0.0,0.0004166666666666667,0.00125
GaiaDR3_3127343534223918592,17.788471221923828,17.810591130892437,105,103.58741666666667,116,8.333333333333333e-05,0.00025,0.0016666666666666668
GaiaDR3_2033382692116807296,17.813276290893555,17.80846825393041,106,105.148,99,0.0,0.00025,0.0018333333333333333
GaiaDR3_1714635091562696320,17.759302139282227,17.80764285929998,107,105.71908333333333,137,8.333333333333333e-05,0.00016666666666666666,0.00125
GaiaDR3_2186782465621398656,17.809961318969727,17.806364950656892,108,106.71925,104,0.0,8.333333333333333e-05,0.001
GaiaDR3_3423272518994757120,17.807769775390625,17.806128014087676,109,106.95158333333333,106,8.333333333333333e-05,0.0005833333333333334,0.0016666666666666668
GaiaDR3_1171325095873664640,17.819454193115234,17.804181119124095,110,108.30525,92,0.0,0.00016666666666666666,0.00125
GaiaDR3_3389534764907160192,17.79094886779785,17.800544805844623,111,111.05416666666666,113,0.0,0.00025,0.0015
GaiaDR3_371636961709032448,17.776437759399414,17.79837591266632,112,112.64533333333334,125,0.0,0.00016666666666666666,0.0009166666666666666
GaiaDR3_1151978952560241024,17.779830932617188,17.795789814472197,113,114.5985,121,8.333333333333333e-05,0.00025,0.0008333333333333334
GaiaDR3_2372072298271576832,17.827856063842773,17.793494393984478,114,116.25525,86,0.0,0.00016666666666666666,0.0008333333333333334
GaiaDR3_3217123262838152320,17.774677276611328,17.793340417861938,115,116.37166666666667,129,0.0,0.00025,0.0009166666666666666
GaiaDR3_3218565547214437632,17.7886905670166,17.792556519031525,116,117.00025,115,0.0,0.00025,0.0011666666666666668
GaiaDR3_3557657200963262080,17.841190338134766,17.791859625180564,117,117.41216666666666,73,0.0,0.0003333333333333333,0.0011666666666666668
GaiaDR3_1719109695867245312,17.742855072021484,17.78879216702779,118,119.7275,146,0.0,0.00025,0.0011666666666666668
GaiaDR3_6185371175372936064,17.758270263671875,17.788376423835754,119,119.978,138,0.0,0.0005833333333333334,0.00125
GaiaDR3_5681746853591389568,17.731887817382812,17.788209603468577,120,120.13683333333333,153,0.0,0.00025,0.0015
GaiaDR3_1245635078135991296,17.740510940551758,17.787962361653644,121,120.265,148,8.333333333333333e-05,0.00025,0.0006666666666666666
GaiaDR3_1666750569898974208,17.71794319152832,17.787751816749573,122,120.476,162,0.0,0.00016666666666666666,0.0006666666666666666
GaiaDR3_5121833510769131136,17.720138549804688,17.78761825354894,123,120.52658333333333,161,0.0,8.333333333333333e-05,0.0009166666666666666
GaiaDR3_4511443341484192256,17.821041107177734,17.786347073396048,124,121.48108333333333,90,0.0,0.00016666666666666666,0.0005833333333333334
GaiaDR3_1997935055713474304,17.768573760986328,17.78558281993866,125,121.969,132,0.0,0.0,0.0004166666666666667
GaiaDR3_5145462973426822656,17.82157325744629,17.78418361345927,126,123.08033333333333,89,0.0,0.00025,0.0006666666666666666
GaiaDR3_2529964882439353728,17.832660675048828,17.782389207522073,127,124.31625,83,0.0,8.333333333333333e-05,0.0004166666666666667
GaiaDR3_939730323150038400,17.751264572143555,17.782042767047884,128,124.56366666666666,142,0.0,0.0003333333333333333,0.0009166666666666666
GaiaDR3_1346883876962000000,17.75324821472168,17.780454615751903,129,125.68775,140,0.0,0.00025,0.0010833333333333333
GaiaDR3_2428675569186550784,17.83649444580078,17.777048277537027,130,128.10041666666666,77,0.0,0.00025,0.00075
GaiaDR3_3981156747469092864,17.727893829345703,17.77554510084788,131,129.08533333333332,156,0.0,8.333333333333333e-05,0.00075
GaiaDR3_4308239608270863104,17.78177833557129,17.77428582159678,132,130.09258333333332,118,0.0,0.00016666666666666666,0.0005833333333333334
GaiaDR3_1430581420783430528,17.76149559020996,17.771743621667227,133,131.80908333333332,135,0.0,0.0,0.0005
