,R-hat,ESS Bulk,ESS Tail,MCSE Mean,Status
ztfgc_beta[0],1.0000,11244,10197,0.0000,Pass
ztfgc_beta[1],1.0000,13925,9225,0.0000,Pass
ztfgc_beta[2],1.0000,12355,9441,0.0000,Pass
ztfgc_beta[3],1.0000,14105,8749,0.0000,Pass
ztfgc_beta[4],1.0000,30177,8009,0.0060,Pass
ztfgc_beta[5],1.0000,27819,8509,0.0060,Pass
ztfgc_beta[6],1.0000,12863,10399,0.0000,Pass
ztfgc_init_artist_effect[0],1.0000,26056,8580,0.0000,Pass
ztfgc_init_artist_effect[1],1.0000,25329,8955,0.0000,Pass
ztfgc_init_artist_effect[2],1.0000,24979,9444,0.0000,Pass
ztfgc_init_artist_effect[3],1.0000,26410,8490,0.0000,Pass
ztfgc_init_artist_effect[4],1.0000,25916,8437,0.0000,Pass
ztfgc_init_artist_effect[5],1.0000,25770,9094,0.0000,Pass
ztfgc_init_artist_effect[6],1.0000,27476,7940,0.0000,Pass
ztfgc_init_artist_effect[7],1.0000,24999,8371,0.0000,Pass
ztfgc_init_artist_effect[8],1.0000,22014,8966,0.0000,Pass
ztfgc_init_artist_effect[9],1.0000,27150,9425,0.0000,Pass
ztfgc_init_artist_effect[10],1.0000,24732,9331,0.0000,Pass
ztfgc_init_artist_effect[11],1.0000,25587,8696,0.0000,Pass
ztfgc_init_artist_effect[12],1.0000,25189,7929,0.0000,Pass
ztfgc_init_artist_effect[13],1.0000,24878,8480,0.0000,Pass
ztfgc_init_artist_effect[14],1.0000,23989,9139,0.0000,Pass
ztfgc_init_artist_effect[15],1.0000,26803,8243,0.0000,Pass
ztfgc_init_artist_effect[16],1.0000,27235,9177,0.0000,Pass
ztfgc_init_artist_effect[17],1.0000,26432,9189,0.0000,Pass
ztfgc_init_artist_effect[18],1.0000,26810,9139,0.0000,Pass
ztfgc_init_artist_effect[19],1.0000,24529,8937,0.0000,Pass
ztfgc_init_artist_effect[20],1.0000,25678,8648,0.0000,Pass
ztfgc_init_artist_effect[21],1.0000,27905,8275,0.0000,Pass
ztfgc_init_artist_effect[22],1.0000,26558,8440,0.0000,Pass
ztfgc_init_artist_effect[23],1.0000,25012,8747,0.0000,Pass
ztfgc_init_artist_effect[24],1.0000,27903,9171,0.0000,Pass
ztfgc_init_artist_effect[25],1.0000,25596,9626,0.0000,Pass
ztfgc_init_artist_effect[26],1.0000,27291,8988,0.0000,Pass
ztfgc_init_artist_effect[27],1.0000,22810,9424,0.0000,Pass
ztfgc_init_artist_effect[28],1.0000,24167,8231,0.0000,Pass
ztfgc_init_artist_effect[29],1.0000,26762,8980,0.0000,Pass
ztfgc_init_artist_effect[30],1.0000,27025,9712,0.0000,Pass
ztfgc_init_artist_effect[31],1.0000,25719,8916,0.0000,Pass
ztfgc_init_artist_effect[32],1.0000,25284,8809,0.0000,Pass
ztfgc_init_artist_effect[33],1.0000,27276,7891,0.0000,Pass
ztfgc_init_artist_effect[34],1.0000,24828,9717,0.0000,Pass
ztfgc_init_artist_effect[35],1.0000,26217,8860,0.0000,Pass
ztfgc_init_artist_effect[36],1.0000,28638,8352,0.0000,Pass
ztfgc_init_artist_effect[37],1.0000,26957,8448,0.0000,Pass
ztfgc_init_artist_effect[38],1.0000,25529,9819,0.0000,Pass
ztfgc_init_artist_effect[39],1.0000,24627,9319,0.0000,Pass
ztfgc_init_artist_effect[40],1.0000,27661,8472,0.0000,Pass
ztfgc_init_artist_effect[41],1.0000,26330,8546,0.0000,Pass
ztfgc_init_artist_effect[42],1.0000,24456,9066,0.0000,Pass
ztfgc_init_artist_effect[43],1.0000,28293,8964,0.0000,Pass
ztfgc_init_artist_effect[44],1.0000,24815,9712,0.0000,Pass
ztfgc_init_artist_effect[45],1.0000,24842,8930,0.0000,Pass
ztfgc_init_artist_effect[46],1.0000,25303,9223,0.0000,Pass
ztfgc_init_artist_effect[47],1.0000,24986,8287,0.0000,Pass
ztfgc_init_artist_effect[48],1.0000,23007,9791,0.0000,Pass
ztfgc_init_artist_effect[49],1.0000,25043,8249,0.0000,Pass
ztfgc_init_artist_effect[50],1.0000,23601,8557,0.0000,Pass
ztfgc_init_artist_effect[51],1.0000,23247,9114,0.0000,Pass
ztfgc_init_artist_effect[52],1.0000,25945,9257,0.0000,Pass
ztfgc_init_artist_effect[53],1.0000,27851,8706,0.0000,Pass
ztfgc_init_artist_effect[54],1.0000,24949,9112,0.0000,Pass
