WDJname,GaiaEDR3,RA_ICRS,DE_ICRS,Pwd,Gmag,BPmag,RPmag,sepsi,o_Gmag,RFG
"WDJ030342.24+005310.43 ",152935195517952,45.92584336054,0.8861107939,0.995959,17.9801,18.0001,17.9989,0.888095,174,606.334
"WDJ025709.00+004627.95 ",288175125714560,44.28742849319,0.77434630857,0.997876,17.4675,17.4906,17.5178,0.0,155,591.824
"WDJ025746.40+010106.05 ",298895364329216,44.44328500713,1.01835277186,0.998798,17.7831,17.737,17.9367,1.664923,216,618.445
"WDJ030507.85+023758.84 ",1003751036985984,46.28280926394,2.63297167686,0.999747,17.8589,17.791,18.0106,0.0,242,703.39
"WDJ025713.76+015253.01 ",1268321022907264,44.30777209361,1.88095254927,0.987622,17.2582,17.5093,16.8472,0.89522,156,795.957
"WDJ025527.70+023714.08 ",1559111783825792,43.86550114656,2.6201531891,0.993362,17.2064,17.3131,17.0177,0.0,238,1034.854
"WDJ025513.79+030249.59 ",1608138835023488,43.80833049471,3.04648654259,1.0,17.9303,18.2053,17.583,1.372479,164,679.607
"WDJ030454.47+033601.41 ",1880233603259648,46.22758701741,3.60007319334,0.99103,17.3287,17.475,17.092,0.719373,234,949.178
"WDJ025729.76+030819.43 ",1973795170585088,44.37398116553,3.13848736007,0.99672,17.7539,17.754,17.8018,2.49946,166,540.847
"WDJ031248.30+034152.78 ",2491119687018112,48.20143094385,3.69797035742,0.995492,17.6384,17.6671,17.6783,0.95385,244,686.51
"WDJ030933.78+031524.08 ",2544510424850944,47.39077050942,3.25640795788,0.877855,17.9978,18.1493,17.7045,2.976552,218,628.794
"WDJ030723.53+031341.86 ",2555303678311296,46.84852338885,3.22814531155,1.0,17.0758,17.0795,17.1299,0.0,249,857.557
"WDJ031906.76+042046.49 ",2961465850236160,49.77817373867,4.34632819065,0.999179,17.8054,17.7969,17.9126,1.348067,203,616.621
"WDJ031646.27+044553.90 ",3143095722559872,49.19294992077,4.7649493051,0.999769,16.7197,16.6559,16.859,0.463627,214,864.962
"WDJ031718.02+050242.52 ",3250362530184064,49.32513405589,5.04496230079,0.994516,17.7017,17.7698,17.6858,0.0,221,702.492
"WDJ025523.09+035503.49 ",5079503202624256,43.84619680274,3.91748761134,0.999572,17.8823,17.8393,18.0171,0.180353,227,668.605
"WDJ025012.49+055008.02 ",6407197852445440,42.55184514167,5.8354326545,0.997391,16.9416,16.9437,16.9501,0.0,206,948.407
"WDJ024555.15+062055.24 ",6606385551366912,41.47985466043,6.34866962172,0.999679,17.061,17.0045,17.1985,0.0,192,900.243
"WDJ024852.88+061928.84 ",6641226326002432,42.22035860564,6.32437685193,0.998376,17.0866,17.1085,17.12,2.565855,213,764.424
"WDJ030350.56+060748.75 ",6963383233077632,45.9617000348,6.13044908439,0.996008,14.9644,14.78,14.8389,5.220329,144,1536.543
"WDJ030243.79+062637.14 ",7033270940879744,45.68268000011,6.44365804912,0.996884,17.7392,17.7921,17.7553,0.637459,150,521.825
"WDJ025959.15+081156.43 ",8578256576520320,44.99859716662,8.19867282452,0.986339,15.781,16.0149,15.3958,1.256701,211,1039.666
"WDJ032056.38+065105.19 ",10285381522061568,50.2348885354,6.85137072999,0.998548,17.6892,17.6651,17.7396,0.0,194,716.787
"WDJ032239.32+091959.77 ",11250374774677632,50.66385632673,9.33317983504,0.901908,17.4517,17.5663,17.181,1.0368,159,714.477
"WDJ033823.02+081428.72 ",11438047665209600,54.59607829895,8.24128006673,0.998662,17.9684,17.9253,18.0609,1.606287,202,602.247
"WDJ033435.11+082315.20 ",11491309555199872,53.64649158723,8.38747169081,0.998993,17.7061,17.6644,17.7387,2.44937,169,564.298
"WDJ033958.55+094911.40 ",12254267546754176,54.99402565256,9.81986369185,0.989794,16.5363,16.5366,16.5911,1.178292,310,833.314
"WDJ033235.90+113132.48 ",13469296613857152,53.14961807307,11.52573547059,0.999801,16.3999,16.3492,16.5378,0.538236,232,1060.538
"WDJ031009.16+075732.08 ",13611477211053824,47.53783087789,7.95850408503,0.9951,16.2233,16.2753,16.1403,0.0,194,929.756
"WDJ031136.25+092700.97 ",14068801033725952,47.90126802137,9.4501116375,0.997954,17.6237,17.608,17.6982,0.0,196,638.044
"WDJ031743.17+090955.15 ",14141304376849280,49.43015798628,9.16528077882,0.999788,15.8405,15.7664,16.0038,0.890865,202,1253.534
"WDJ030746.74+092912.72 ",14856811568563072,46.94504519254,9.4869111027,0.994634,17.8639,17.8706,17.8409,0.0,212,575.927
"WDJ030711.85+093648.75 ",14862584004642688,46.80009621398,9.61231932912,0.997542,17.4916,17.6951,17.1884,0.205799,238,979.215
"WDJ031412.39+104609.38 ",15375196941202432,48.55182197488,10.7692437902,0.996694,17.7219,17.7572,17.7311,0.0,224,677.748
"WDJ032621.06+113056.95 ",16426811093797760,51.58753158351,11.51565942849,0.997752,15.9228,15.8899,15.8852,0.812836,252,1441.647
"WDJ032410.55+114852.91 ",16679664408473344,51.04536790535,11.81366318074,0.994531,17.7351,17.8934,17.51,0.0,231,764.392
"WDJ032821.47+120908.10 ",16751094008913280,52.08972745581,12.15212265423,0.999344,17.6982,17.6737,17.7767,0.424937,213,689.667
"WDJ032856.18+123203.77 ",16800782486322560,52.23406107351,12.53433064932,0.990278,17.7538,17.766,17.75,0.0,167,534.649
"WDJ031321.01+121346.35 ",17293531198591232,48.33717556281,12.2291092672,0.993978,17.079,17.1497,16.9676,0.341726,179,803.257
"WDJ032155.58+122900.43 ",17483647926494720,50.48154502584,12.4835614154,0.992494,17.5291,17.5433,17.4181,0.44347,215,816.031
"WDJ032619.20+133108.87 ",17709047809907584,51.58057065519,13.51891396433,0.994576,17.3315,17.339,17.3613,0.85069,198,834.608
"WDJ023825.14+052701.78 ",18074528051956352,39.60471464726,5.45043795982,0.997575,17.2205,17.2491,17.2344,0.010183,207,806.699
"WDJ023547.65+053524.47 ",18117653818752512,38.94866016255,5.59002310596,0.99494,15.7857,15.6649,16.0242,6.210822,188,1003.297
