WDJname,GaiaEDR3,RA_ICRS,DE_ICRS,Pwd,Gmag,BPmag,RPmag,sepsi,o_Gmag,RFG,sigma_G_nobs,in_core,forced_member,n_variants
WDJ063313.84+575609.40 ,1004340654352214656,98.30762274978,57.93593289818,0.953962,17.6006,17.5175,17.7231,0.0,435,361.407,0.062657,True,False,4
WDJ084952.49+471247.88 ,1013776353903293056,132.46816044852,47.21292611476,0.997079,17.7164,17.7378,17.7003,0.0,598,639.542,0.041515,True,False,4
WDJ091233.53+531313.09 ,1022716139350977792,138.13980309396,53.22029085675,0.995464,17.7324,17.7869,17.7235,0.0,372,614.634,0.034071,True,False,4
WDJ091556.08+532523.86 ,1022780838739029120,138.97555324978,53.41831058433,0.995738,13.7833,13.9288,13.5132,10.758098,412,1382.079,0.015946,True,False,4
WDJ093250.57+554315.39 ,1024785484658469120,143.2104416565,55.72102576137,0.995783,17.6733,17.713,17.6583,1.393079,350,349.72,0.058082,True,False,4
WDJ094213.14+573342.49 ,1025369256613064192,145.55490792677,57.56187902609,0.997639,17.4672,17.5014,17.4741,0.0,531,637.24,0.039262,True,False,4
WDJ083035.14+564459.53 ,1034050485029928704,127.64650892143,56.74969390849,0.999543,17.4852,17.3861,17.7059,0.0,282,542.035,0.033637,True,False,4
WDJ091433.60+581238.12 ,1038176780370360576,138.63993464649,58.21059815516,0.902883,17.7262,17.6088,17.8387,3.393965,411,543.038,0.040534,True,False,4
WDJ092253.62+611023.66 ,1039815430652482560,140.72359933348,61.17334344234,0.990394,17.7858,17.7372,17.5729,9.59618,640,852.829,0.032207,True,False,4
WDJ020127.21+234952.82 ,103999471976858496,30.36333948974,23.83131501344,0.985204,16.967,16.839,17.2529,0.0,191,275.489,0.054467,True,False,4
WDJ113443.00+664406.30 ,1057476580987879808,173.67928265673,66.73508872432,0.995714,17.2047,16.9857,17.288,5.705137,419,696.484,0.031910,True,False,4
WDJ110225.15+703709.88 ,1072975022015600000,165.60458467558,70.61937575203,0.881642,17.419,16.9893,17.059,2.29193,394,534.089,0.040351,True,False,4
WDJ080034.68+563332.50 ,1081519288218904960,120.14441994854,56.55859380704,0.99445,16.5949,16.5662,16.6557,1.385037,441,975.64,0.023370,True,False,4
WDJ073121.39+595737.01 ,1085903148454238208,112.83923596487,59.96025075951,0.988436,16.0905,15.9159,16.4579,10.408675,380,445.651,0.047492,True,False,4
WDJ082954.01+640407.13 ,1090886925425489664,127.4748847715,64.06840436939,0.997054,17.5349,17.5703,17.5303,0.0,520,800.232,0.030939,True,False,4
WDJ080026.64+633414.85 ,1094376947131876352,120.11098060638,63.57076835826,0.983118,17.8032,17.6012,18.0749,2.906838,455,651.568,0.035544,True,False,4
WDJ061535.10+711233.87 ,1107590946593313920,93.89628740205,71.20944064468,0.916421,17.2276,17.1455,17.4005,0.0,593,976.719,0.027070,True,False,4
WDJ074629.95+703005.78 ,1110291480292939136,116.62429654803,70.50163167878,0.9954,17.7105,17.7392,17.6727,0.0,494,600.58,0.040181,True,False,4
WDJ071709.79+740040.53 ,1112171030998592256,109.29248612458,74.0108902904,0.996489,14.9984,14.9483,15.0923,5.580595,491,1146.146,0.020991,True,False,4
WDJ061851.11+772728.75 ,1116797359314558208,94.71316162593,77.45763002587,0.997059,16.8178,16.8524,16.8059,0.514594,468,745.846,0.031492,True,False,4
WDJ024849.59+264332.15 ,114808397128552576,42.20650951067,26.72555018121,0.99963,17.2318,17.1872,17.3403,2.459993,151,518.669,0.025723,True,False,4
WDJ105748.50+865658.09 ,1151452939325236864,164.45372293583,86.94948797922,0.999572,17.4958,17.4282,17.6858,0.0,426,758.389,0.029549,True,False,4
WDJ083907.09+865815.69 ,1151978952560241024,129.77621341519,86.97087242996,0.998745,17.8835,17.8509,17.9247,4.105587,404,603.154,0.036182,True,False,4
WDJ152149.03+043928.30 ,1155921079702524160,230.4540760706,4.65779033348,0.966072,17.8013,17.8294,17.4689,10.688474,204,252.189,0.061491,True,False,4
WDJ151215.73+065156.43 ,1157401396015448960,228.065483423,6.86566107396,0.93685,17.2203,17.0424,17.556,2.19972,217,465.764,0.034339,True,False,4
WDJ145545.58+041508.67 ,1158050898150073472,223.93981445384,4.25236934734,0.97598,16.8725,16.7213,17.1983,0.575444,217,630.488,0.025367,True,False,4
WDJ150626.20+063846.26 ,1160300056558791168,226.60886318388,6.64582176879,0.983248,16.5719,16.6339,16.5011,0.513313,164,405.569,0.034283,True,False,4
WDJ151826.69+065813.27 ,1163266672074075008,229.61114990659,6.97032646126,0.875555,17.5196,17.583,17.4463,0.0,238,475.996,0.035189,True,False,4
WDJ143440.09+060702.67 ,1171325095873664640,218.66704795602,6.11737248686,0.944232,17.9528,17.8386,17.9504,4.432203,199,340.303,0.045008,True,False,4
WDJ143041.14+122623.43 ,1179312330589760768,217.67133490947,12.43982973121,0.999809,17.3814,17.3364,17.5288,0.0,268,660.933,0.026893,True,False,4
WDJ145832.64+100818.11 ,1180021786172275712,224.63586279934,10.13832413384,0.999575,16.4491,16.3531,16.628,0.842197,221,704.521,0.022910,True,False,4
WDJ150552.81+135057.00 ,1183379213647590016,226.46998414031,13.84895422803,0.998639,16.5871,16.5977,16.6345,0.257622,170,661.694,0.021394,True,False,4
WDJ145540.89+175351.74 ,1188363918331170048,223.92037863971,17.89776130213,0.994867,17.4443,17.5007,17.3924,0.0,263,250.205,0.070373,True,False,4
WDJ154119.84+120914.79 ,1190316479183748992,235.33267051293,12.15400217285,0.984521,17.0316,16.9674,17.1642,0.0,311,455.841,0.042004,True,False,4
WDJ155256.12+125444.43 ,1191504471436192512,238.23369723378,12.91207887987,0.876278,16.5311,16.4344,16.6467,1.192292,348,75.261,0.269119,True,False,4
WDJ154955.89+175600.82 ,1196820816314793984,237.48252434549,17.93352395117,0.999838,16.0803,16.0345,16.228,2.14343,416,1158.369,0.019117,True,False,4
