source_id,band,rows_total,rows_kept,rows_dropped,drop_catflags,drop_invalid_catflags,drop_invalid_magerr,drop_invalid_mag,drop_chi,drop_invalid_mjd,drop_unsupported_band
103999471976858496,zg,675,675,0,0,0,0,0,0,0,0
103999471976858496,zr,933,932,1,1,0,0,0,0,0,0
114808397128552576,zg,908,870,38,38,0,0,0,0,0,0
114808397128552576,zr,1591,1587,4,4,0,0,0,0,0,0
1191504471436192512,zg,608,606,2,2,0,0,0,0,0,0
1191504471436192512,zr,905,904,1,1,0,0,0,0,0,0
1228266814506156928,zg,1058,1048,10,0,0,0,0,10,0,0
1228266814506156928,zr,1604,1599,5,1,0,0,0,4,0,0
1410345596469085184,zg,1913,1912,1,1,0,0,0,0,0,0
1410345596469085184,zr,1964,1964,0,0,0,0,0,0,0,0
1510467090935595008,zg,955,955,0,0,0,0,0,0,0,0
1510467090935595008,zr,819,818,1,0,0,0,0,1,0,0
1893101535448502400,zg,1192,1192,0,0,0,0,0,0,0,0
1893101535448502400,zr,1338,1338,0,0,0,0,0,0,0,0
1893512958955407232,zg,1250,1250,0,0,0,0,0,0,0,0
1893512958955407232,zr,1461,1459,2,2,0,0,0,0,0,0
2833849800205759360,zg,1310,1309,1,1,0,0,0,0,0,0
2833849800205759360,zr,1576,1575,1,1,0,0,0,0,0,0
2935237657195591424,zg,258,258,0,0,0,0,0,0,0,0
2935237657195591424,zr,492,492,0,0,0,0,0,0,0,0
3345661467822106624,zg,438,438,0,0,0,0,0,0,0,0
3345661467822106624,zr,668,667,1,1,0,0,0,0,0,0
3446909137068558464,zg,517,517,0,0,0,0,0,0,0,0
3446909137068558464,zr,865,864,1,1,0,0,0,0,0,0
3750072904055666176,zg,213,212,1,1,0,0,0,0,0,0
3750072904055666176,zr,215,215,0,0,0,0,0,0,0,0
3984115430179696128,zg,294,294,0,0,0,0,0,0,0,0
3984115430179696128,zr,426,426,0,0,0,0,0,0,0,0
4318508939464901760,zg,1701,1700,1,0,0,0,0,1,0,0
4318508939464901760,zr,3195,3192,3,3,0,0,0,0,0,0
5146019876066016000,zg,64,64,0,0,0,0,0,0,0,0
5146019876066016000,zr,61,61,0,0,0,0,0,0,0,0
6555925496084361344,zg,0,0,0,0,0,0,0,0,0,0
6555925496084361344,zr,0,0,0,0,0,0,0,0,0,0
6770227729752288256,zg,253,245,8,8,0,0,0,0,0,0
6770227729752288256,zr,644,639,5,3,0,0,0,2,0,0
6844375121726139520,zg,335,335,0,0,0,0,0,0,0,0
6844375121726139520,zr,413,413,0,0,0,0,0,0,0,0
930093722208184448,zg,836,836,0,0,0,0,0,0,0,0
930093722208184448,zr,1158,1158,0,0,0,0,0,0,0,0
