source_id,band,n_exp,baseline_days,median_magerr,median_exposures_per_night
103999471976858496,zg,675,2654.95766957,0.01698979,1.000
103999471976858496,zr,932,2662.99159873,0.01828821,1.000
114808397128552576,zg,870,2762.14874494,0.01763665,1.000
114808397128552576,zr,1587,2669.89432541,0.02051246,2.000
1191504471436192512,zg,606,2718.71823447,0.01410206,1.000
1191504471436192512,zr,904,2724.74994769,0.01541158,1.000
1228266814506156928,zg,1048,2699.85066542,0.01444233,1.000
1228266814506156928,zr,1599,2685.86191594,0.01666097,2.000
1410345596469085184,zg,1912,2765.74697584,0.02188628,2.000
1410345596469085184,zr,1964,2770.70229800,0.02345934,2.000
1510467090935595008,zg,955,2656.97656601,0.01527120,1.000
1510467090935595008,zr,818,2660.84327125,0.01638206,1.000
1893101535448502400,zg,1192,2734.75004465,0.01206729,1.000
1893101535448502400,zr,1338,2750.80124337,0.01451062,1.000
1893512958955407232,zg,1250,2734.75009552,0.02120727,1.000
1893512958955407232,zr,1459,2750.80127918,0.02387270,1.000
2833849800205759360,zg,1309,2706.78411802,0.01124576,1.000
2833849800205759360,zr,1575,2714.80440690,0.01193783,2.000
2935237657195591424,zg,258,2567.01192306,0.01606507,1.000
2935237657195591424,zr,492,2556.94941502,0.01754733,1.000
3345661467822106624,zg,438,2762.26827938,0.02528025,1.000
3345661467822106624,zr,667,2752.30922258,0.02814603,1.000
3446909137068558464,zg,517,2764.25932852,0.01368510,1.000
3446909137068558464,zr,864,2752.22183776,0.01323659,1.000
3750072904055666176,zg,212,2618.97366196,0.02253286,1.000
3750072904055666176,zr,215,2604.97099110,0.02109480,1.000
3984115430179696128,zg,294,2166.13306079,0.02051799,1.000
3984115430179696128,zr,426,2136.16639007,0.02174116,1.000
4318508939464901760,zg,1700,2765.69409564,0.02273545,2.000
4318508939464901760,zr,3192,2751.62028931,0.02337688,2.000
5146019876066016000,zg,64,1910.80310510,0.02633182,1.000
5146019876066016000,zr,61,1901.86838766,0.03230963,2.000
6770227729752288256,zg,245,2728.61096956,0.01888264,1.000
6770227729752288256,zr,639,2713.68655595,0.01557202,1.000
6844375121726139520,zg,335,2546.99951111,0.01466765,1.000
6844375121726139520,zr,413,2395.62312138,0.01398738,1.000
930093722208184448,zg,836,2746.19067121,0.01940373,1.000
930093722208184448,zr,1158,2731.29434383,0.02398666,1.000
