oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid,source_id,band,night_mjd,wdj_name,wd_class,paper_variable,paper_periodic,bjd_tdb
604103100006917,54248304,2458296.9802463101,58296.483044000001,16.917614,0.0177031122,0,zg,30.363301100000001,23.831403600000002,0.725000024,-0.00300000003,20180627483032,604,0x3,0x1,19.4200001,26.2383842,0.0374238677,-0.0575410537,8.82756503e-05,30,1.58299994,1,103999471976858496,zg,58296,,periodic/transit,True,True,2458296.9808996683
604103100006917,54646425,2458300.9617949859,58300.464259300003,16.8043022,0.0171420276,0,zg,30.363258099999999,23.831361699999999,0.976999998,-0.023,20180701464236,604,0x3,0x1,20.25,26.1874409,0.0383963473,-0.0779288933,4.43268837e-05,30,1.66900003,1,103999471976858496,zg,58300,,periodic/transit,True,True,2458300.9624482593
604103100006917,54945435,2458303.9521457972,58303.4543519,16.7604599,0.0169418976,0,zg,30.363268699999999,23.831405499999999,1.09800005,0.00300000003,20180704454340,604,0x3,0x1,20.4200001,26.1697407,0.0345413573,-0.103222102,3.08843009e-05,30,1.69000006,1,103999471976858496,zg,58303,,periodic/transit,True,True,2458303.9527990115
604103100006917,55946733,2458313.9660368878,58313.467338000002,16.6999512,0.0166802574,0,zg,30.363308199999999,23.831339700000001,0.712000012,0.0270000007,20180714467326,604,0x3,0x1,21.2199993,26.0690632,0.0334934331,-0.0218980089,2.10380804e-05,30,1.34000003,1,103999471976858496,zg,58313,,periodic/transit,True,True,2458313.9666898949
604103100006917,56543357,2458319.9328360176,58319.433576399999,16.9202061,0.0177167282,0,zg,30.3633028,23.831359500000001,0.333000004,-0.0270000007,20180720433519,604,0x3,0x1,21.8400002,26.2174263,0.0243744049,-0.0648716316,1.07230517e-05,30,1.46599996,1,103999471976858496,zg,58319,,periodic/transit,True,True,2458319.9334888975
604103100006917,56846460,2458322.964154786,58322.464606499998,16.726696,0.0167938676,0,zg,30.363302399999998,23.8313506,0.787,-0.0399999991,20180723464549,604,0x3,0x1,21.6499996,26.2989712,0.0261583235,-0.0711601377,1.23762375e-05,30,1.22399998,1,103999471976858496,zg,58322,,periodic/transit,True,True,2458322.9648075998
604103100006917,57144443,2458325.9442664585,58325.444432900003,16.8083267,0.017160859,0,zg,30.363312799999999,23.8313667,0.630999982,0.0120000001,20180726444375,604,0x3,0x1,20.2099991,26.1989651,0.0401362069,-0.0315510035,4.65941011e-05,30,1.28299999,1,103999471976858496,zg,58325,,periodic/transit,True,True,2458325.9449192090
604103100006917,57747548,2458331.9758989317,58331.475486099996,16.7632656,0.016954435,0,zg,30.3632992,23.8313454,0.989000022,0.0670000017,20180801475440,604,0x3,0x1,20.6000004,26.2513161,0.0342706367,-0.0347422026,2.97147926e-05,30,1.10000002,1,103999471976858496,zg,58331,,periodic/transit,True,True,2458331.9765515472
1600111100002909,57846768,2458332.9681932605,58332.467685199998,16.9485168,0.0152917663,0,zg,30.3633028,23.8313785,0.651000023,-0.00600000005,20180802467662,1600,0xb,0x1,19.5300007,25.7501831,0.0393333957,-0.0219589174,9.31488466e-05,30,1.12699997,2,103999471976858496,zg,58332,,periodic/transit,True,True,2458332.9688458545
604103100006917,58148590,2458335.9866999323,58335.485902799999,16.6967888,0.0166670308,0,zg,30.363308199999999,23.8313481,1.37699997,-0.104000002,20180805485903,604,0x3,0x1,21.1000004,26.3017426,0.0319542736,-0.0744348243,1.96329165e-05,30,1.05400002,1,103999471976858496,zg,58335,,periodic/transit,True,True,2458335.9873524588
604103100006917,58445483,2458338.9559179731,58338.454837999998,16.7924728,0.0170871262,0,zg,30.363312199999999,23.831346700000001,0.578999996,0.0170000009,20180808454757,604,0x3,0x1,21.8099995,26.2592525,0.0260067098,-0.0553657375,1.21909661e-05,30,1.10399997,1,103999471976858496,zg,58338,,periodic/transit,True,True,2458338.9565704330
604103100006917,58845534,2458342.9568046546,58342.455347199997,16.8076286,0.0171575826,0,zg,30.363320699999999,23.831342200000002,0.263999999,0.00999999978,20180812455301,604,0x3,0x1,21.8099995,26.1500988,0.0255818721,-0.0710853934,1.18140088e-05,30,1.07700002,1,103999471976858496,zg,58342,,periodic/transit,True,True,2458342.9574570241
604103100006917,59142409,2458345.9258310478,58345.424097199997,16.777216,0.0170173123,0,zg,30.363320900000002,23.8313305,1.15600002,-0.0879999995,20180815424074,604,0x3,0x1,21.8400002,26.2137089,0.0239828695,-0.0745470449,1.04238989e-05,30,1.13999999,3,103999471976858496,zg,58345,,periodic/transit,True,True,2458345.9264833485
604103100006917,59142502,2458345.9267570339,58345.425023099997,16.7854538,0.0170548707,0,zg,30.363314500000001,23.831349100000001,1.30799997,-0.0419999994,20180815425012,604,0x3,0x1,21.8600006,26.2169857,0.0254634768,-0.079935208,1.17049012e-05,30,1.13699996,1,103999471976858496,zg,58345,,periodic/transit,True,True,2458345.9274093350
604103100006917,59246967,2458346.9715062049,58346.4696759,16.8630943,0.01742501,0,zg,30.363306999999999,23.831336,0.569999993,-0.0379999988,20180816469676,604,0x3,0x1,22,26.1715355,0.0254526716,-0.0597459301,1.17737027e-05,30,1.03499997,3,103999471976858496,zg,58346,,periodic/transit,True,True,2458346.9721584804
604103100006917,59346940,2458347.9713317188,58347.469409700003,16.7873001,0.0170633346,0,zg,30.3633165,23.831341999999999,0.787999988,0.0460000001,20180817469410,604,0x3,0x1,22.0699997,26.250946,0.0254202038,-0.0549221821,1.15559669e-05,30,1.03199995,3,103999471976858496,zg,58347,,periodic/transit,True,True,2458347.9719839725
604103100006917,59350357,2458348.0055015492,58347.503576399999,16.7993927,0.0171191581,0,zg,30.363314599999999,23.831339799999999,0.365999997,0.0359999985,20180817503565,604,0x3,0x1,21.5699997,26.2600975,0.028058501,-0.0485719591,1.41637929e-05,30,1.00999999,1,103999471976858496,zg,58347,,periodic/transit,True,True,2458348.0061538019
1600111100002909,59350402,2458348.0059529911,58347.504027800001,16.7879829,0.0143944444,0,zg,30.363309900000001,23.831352599999999,0.750999987,0.00200000009,20180817504028,1600,0xb,0x1,21.5200005,26.2699642,0.0287309662,-0.0425958149,1.49273237e-05,30,1.02199996,2,103999471976858496,zg,58347,,periodic/transit,True,True,2458348.0066052433
604103100006917,59446585,2458348.9678694271,58348.465856499999,16.7210045,0.0167694185,0,zg,30.363314299999999,23.831348299999998,0.637000024,0.0670000017,20180818465856,604,0x3,0x1,21.9200001,26.2620544,0.0249267276,-0.0475840531,1.12762082e-05,30,1.03299999,3,103999471976858496,zg,58348,,periodic/transit,True,True,2458348.9685216574
604103100006917,59447555,2458348.9775694134,58348.475555600002,16.7263451,0.0167923532,0,zg,30.363287700000001,23.831356499999998,1.09800005,0.108999997,20180818475278,604,0x3,0x1,21.6399994,26.2583923,0.0274845921,-0.021698175,1.36643957e-05,30,1.023,1,103999471976858496,zg,58348,,periodic/transit,True,True,2458348.9782216419
604103100006917,59543439,2458349.936498872,58349.434398099998,16.687254,0.0166274179,0,zg,30.363310200000001,23.831349700000001,0.985000014,0.0719999969,20180819434387,604,0x3,0x1,22.0699997,26.2870865,0.0252396669,-0.071746327,1.13916149e-05,30,1.08200002,3,103999471976858496,zg,58349,,periodic/transit,True,True,2458349.9371510795
604103100006917,59645119,2458350.9533845494,58350.451192100001,16.9059258,0.0176421851,0,zg,30.363312799999999,23.831340000000001,0.518999994,0.0120000001,20180820451181,604,0x3,0x1,22.2199993,26.2968502,0.0242788084,-0.0718768314,1.05383888e-05,30,1.04499996,3,103999471976858496,zg,58350,,periodic/transit,True,True,2458350.9540367336
604103100006917,59743002,2458351.9323032205,58351.430023100002,16.8471184,0.0173464082,0,zg,30.3633062,23.831345299999999,0.657999992,-0.0350000001,20180821429977,604,0x3,0x1,22.0900002,26.2712154,0.0253789052,-0.0424892306,1.13660581e-05,30,1.08000004,1,103999471976858496,zg,58351,,periodic/transit,True,True,2458351.9329553815
604103100006917,59744668,2458351.9489714145,58351.446689800003,16.8029938,0.01713592,0,zg,30.363312400000002,23.831347099999999,1.13499999,0.0179999992,20180821446609,604,0x3,0x1,22.1499996,26.2738991,0.024756968,-0.0555769019,1.09028952e-05,30,1.04799998,3,103999471976858496,zg,58351,,periodic/transit,True,True,2458351.9496235759
604103100006917,59843054,2458352.9329131418,58352.430544000003,16.8154449,0.017194353,0,zg,30.363307500000001,23.831349800000002,0.893000007,0.0140000004,20180822430486,604,0x3,0x1,22.1700001,26.2639561,0.0258985665,-0.063123472,1.22797619e-05,30,1.07299995,3,103999471976858496,zg,58352,,periodic/transit,True,True,2458352.9335652799
1600111100002909,60641655,2458360.9196059592,58360.416550900001,16.8336258,0.0146355396,0,zg,30.363329199999999,23.831412799999999,0.776000023,0.00700000022,20180830416493,1600,0xb,0x1,20.0499992,26.3430157,0.0377346426,-0.0156916101,5.02888433e-05,30,1.06500006,2,103999471976858496,zg,58360,,periodic/transit,True,True,2458360.9202579125
604103100006917,60644184,2458360.9448974659,58360.441840300002,16.8733902,0.0174763501,0,zg,30.363292900000001,23.831370700000001,0.754000008,0.0270000007,20180830441748,604,0x3,0x1,20.2800007,26.3343849,0.0382322147,-0.0175461657,4.1226318e-05,30,1.02100003,3,103999471976858496,zg,58360,,periodic/transit,True,True,2458360.9455494145
604103100006917,60848663,2458362.9898567195,58362.486631899999,16.736599,0.0168367438,0,zg,30.363319499999999,23.8313636,0.597000003,0.0410000011,20180901486539,604,0x3,0x1,20.7399998,26.3357944,0.0321262702,-0.0243407078,2.40944173e-05,30,1.01499999,3,103999471976858496,zg,58362,,periodic/transit,True,True,2458362.9905086211
604103100006917,60937894,2458363.8822436333,58363.378946800003,16.722374,0.0167752896,0,zg,30.363299600000001,23.831354600000001,0.833999991,-0.0340000018,20180902378912,604,0x3,0x1,20.7700005,26.2853222,0.0362424552,-0.0472947024,2.83050213e-05,30,1.12300003,1,103999471976858496,zg,58363,,periodic/transit,True,True,2458363.8828955120
604103100006917,60937986,2458363.8831580067,58363.379861100002,16.6887245,0.0166335031,0,zg,30.363309900000001,23.831355599999998,0.632000029,0.00400000019,20180902379850,604,0x3,0x1,20.9200001,26.2685127,0.0332706831,-0.0414955206,2.33709125e-05,30,1.12,3,103999471976858496,zg,58363,,periodic/transit,True,True,2458363.8838098859
1600111100002909,60938980,2458363.8931009104,58363.3898032,16.7173653,0.0140419304,0,zg,30.3633138,23.831358399999999,0.538999975,0.0260000005,20180902389780,1600,0xb,0x1,20.8299999,26.2901268,0.0324898586,-0.0321721435,2.29261877e-05,30,1.10500002,2,103999471976858496,zg,58363,,periodic/transit,True,True,2458363.8937527896
604103100006917,61042133,2458364.9247111012,58364.421330999998,16.9136124,0.0176821761,0,zg,30.363320300000002,23.831351900000001,0.462000012,-0.00800000038,20180903421285,604,0x3,0x1,21.2199993,26.2755032,0.0308315437,-0.0478548184,1.78889295e-05,30,1.03100002,3,103999471976858496,zg,58364,,periodic/transit,True,True,2458364.9253629562
1600111100002909,61043275,2458364.9361356087,58364.432754599999,16.8964043,0.0149850696,0,zg,30.363329400000001,23.831398499999999,0.449000001,0.00700000022,20180903432743,1600,0xb,0x1,20.8799992,26.2761555,0.0330982767,-0.0298068225,2.23870302e-05,30,1.02900004,2,103999471976858496,zg,58364,,periodic/transit,True,True,2458364.9367874656
604103100006917,61140355,2458365.9070108314,58365.403553199998,16.7942982,0.0170955583,0,zg,30.363306999999999,23.831341500000001,0.908999979,-0.0370000005,20180904403542,604,0x3,0x1,21.6700001,26.3265991,0.0269463584,-0.0701915845,1.29745767e-05,30,1.05299997,3,103999471976858496,zg,58365,,periodic/transit,True,True,2458365.9076626617
1600111100002909,61145577,2458365.9592372375,58365.455775499999,16.7804356,0.0143555999,0,zg,30.363318100000001,23.831360199999999,0.758000016,0.0280000009,20180904455741,1600,0xb,0x1,21.5799999,26.3345222,0.0261606462,-0.0454307348,1.18817989e-05,30,1.01800001,2,103999471976858496,zg,58365,,periodic/transit,True,True,2458365.9598890678
604103100006917,61242598,2458366.9295211807,58366.4259838,16.777359,0.0170179624,0,zg,30.363326000000001,23.831339,0.828000009,-0.0340000018,20180905425938,604,0x3,0x1,21.8199997,26.335556,0.025156511,-0.0679349452,1.1273205e-05,30,1.01999998,1,103999471976858496,zg,58366,,periodic/transit,True,True,2458366.9301729877
604103100006917,61242690,2458366.9304471519,58366.4269097,16.7717285,0.0169924721,0,zg,30.363329100000001,23.831348800000001,0.754999995,-0.0579999983,20180905426898,604,0x3,0x1,21.8799992,26.3298931,0.0252407268,-0.067939572,1.14216564e-05,30,1.01900005,3,103999471976858496,zg,58366,,periodic/transit,True,True,2458366.9310989594
1600111100002909,61245180,2458366.9553449838,58366.451805600002,16.7308922,0.014107584,0,zg,30.363324899999999,23.8313585,0.690999985,0.0240000002,20180905451794,1600,0xb,0x1,21.7199993,26.3377094,0.0247787014,-0.046887558,1.05795316e-05,30,1.01800001,2,103999471976858496,zg,58366,,periodic/transit,True,True,2458366.9559967909
604103100006917,61340710,2458367.9107194482,58367.407106500003,16.669796,0.0165559165,0,zg,30.363318100000001,23.831343700000001,1.40499997,-0.0700000003,20180906407083,604,0x3,0x1,21.9599991,26.3424644,0.0247731209,-0.103711858,1.11235922e-05,30,1.03900003,3,103999471976858496,zg,58367,,periodic/transit,True,True,2458367.9113712311
1600111100002909,61345197,2458367.9555955864,58367.451979199999,16.7538528,0.0142210368,0,zg,30.363328500000001,23.831381,0.635999978,0.0299999993,20180906451968,1600,0xb,0x1,21.6200008,26.3187561,0.0293045659,-0.0327018276,1.47588207e-05,30,1.01800001,2,103999471976858496,zg,58367,,periodic/transit,True,True,2458367.9562473707
604103100006917,61440988,2458368.9135735012,58368.409884300003,16.855484,0.0173874069,0,zg,30.363320999999999,23.831356,0.578999996,-0.0280000009,20180907409884,604,0x3,0x1,21.8999996,26.3460693,0.0271123182,-0.0884854347,1.31148154e-05,30,1.03100002,3,103999471976858496,zg,58368,,periodic/transit,True,True,2458368.9142252612
604103100006917,61545145,2458369.9552256255,58369.451458299998,16.7817612,0.0170379989,0,zg,30.3633326,23.831338299999999,2.47199988,-0.0729999989,20180908451412,604,0x3,0x1,22.0200005,26.3439407,0.0260820445,-0.0950041488,1.21902094e-05,30,1.00800002,3,103999471976858496,zg,58369,,periodic/transit,True,True,2458369.9558773600
604103100006917,61545243,2458369.956197998,58369.452430600002,16.7874985,0.0170642491,0,zg,30.363325799999998,23.831340999999998,1.88199997,-0.123999998,20180908452396,604,0x3,0x1,22.1200008,26.3347054,0.0249892212,-0.0887980014,1.11993286e-05,30,1.00800002,1,103999471976858496,zg,58369,,periodic/transit,True,True,2458369.9568497324
604103100006917,61638731,2458370.8911513416,58370.387314799998,16.8089104,0.0171635896,0,zg,30.3633062,23.831344699999999,1.25399995,-0.0879999995,20180909387303,604,0x3,0x1,21.7900009,26.3523388,0.0271527264,-0.0944871828,1.32771775e-05,30,1.05700004,3,103999471976858496,zg,58370,,periodic/transit,True,True,2458370.8918030518
604103100006917,61738429,2458371.8882032586,58371.384294000003,16.7361107,0.0168346185,0,zg,30.363313699999999,23.831369200000001,2.21099997,-0.0450000018,20180910384282,604,0x3,0x1,21.75,26.3891354,0.0277001578,-0.13180165,1.38784744e-05,30,1.05799997,3,103999471976858496,zg,58371,,periodic/transit,True,True,2458371.8888549465
604103100006917,61841171,2458372.9156960724,58372.411713000001,16.7716026,0.0169919003,0,zg,30.3633326,23.831347300000001,1.01999998,-0.0579999983,20180911411319,604,0x3,0x1,21.8099995,26.3488941,0.0241264477,-0.0747943968,1.04672599e-05,30,1.01900005,1,103999471976858496,zg,58372,,periodic/transit,True,True,2458372.9163477356
604103100006917,61841277,2458372.916760949,58372.412777799997,16.7613106,0.0169456974,0,zg,30.363321899999999,23.831348500000001,1.57200003,-0.074000001,20180911412697,604,0x3,0x1,21.8999996,26.350544,0.0253588874,-0.0803642422,1.16428255e-05,30,1.01800001,3,103999471976858496,zg,58372,,periodic/transit,True,True,2458372.9174126117
1600111100002909,61843214,2458372.9361257311,58372.432141199999,16.8119583,0.0145197529,0,zg,30.363314899999999,23.831356400000001,0.713,-0.0179999992,20180911432130,1600,0xb,0x1,21.9599991,26.349268,0.0238489769,-0.0589456894,9.7855509e-06,30,1.01800001,2,103999471976858496,zg,58372,,periodic/transit,True,True,2458372.9367773929
604103100006917,61940660,2458373.9106622208,58373.406608800004,16.8984222,0.0176034439,0,zg,30.363327699999999,23.831354399999999,0.990999997,-0.0520000011,20180912406562,604,0x3,0x1,21.8500004,26.3402214,0.0248420052,-0.0771100223,1.10454293e-05,30,1.02100003,3,103999471976858496,zg,58373,,periodic/transit,True,True,2458373.9113138597
604103100006917,62042815,2458374.9322841871,58374.428159700001,16.7516441,0.0169027448,0,zg,30.363335899999999,23.831364799999999,1.21200001,-0.0270000007,20180913428125,604,0x3,0x1,21.8299999,26.3748684,0.0254632402,-0.105218299,1.17553982e-05,30,1.00800002,3,103999471976858496,zg,58374,,periodic/transit,True,True,2458374.9329358018
1600111100002909,62043331,2458374.937435043,58374.433310200002,16.78339,0.0143707702,0,zg,30.363336199999999,23.8313521,0.824999988,0.00999999978,20180913433299,1600,0xb,0x1,21.9200001,26.3545666,0.0246770754,-0.0613743439,1.05002173e-05,30,1.01800001,2,103999471976858496,zg,58374,,periodic/transit,True,True,2458374.9380866573
604103100006917,62143225,2458375.9364500619,58375.4322569,16.7370415,0.0168386716,0,zg,30.363326199999999,23.831349899999999,1.38999999,-0.0879999995,20180914432222,604,0x3,0x1,21.9699993,26.3720055,0.0268335696,-0.103418969,1.29845685e-05,30,1.00800002,3,103999471976858496,zg,58375,,periodic/transit,True,True,2458375.9371016510
