source_id,night_mjd,night_date,mag_binned,mag_err,n_exp,wd_class,year
GaiaDR3_103999471976858496,58296,2018-06-27,16.917614,0.017703,1,periodic/transit,2018
GaiaDR3_103999471976858496,58300,2018-07-01,16.804302,0.017142,1,periodic/transit,2018
GaiaDR3_103999471976858496,58303,2018-07-04,16.76046,0.016942,1,periodic/transit,2018
GaiaDR3_103999471976858496,58313,2018-07-14,16.699951,0.01668,1,periodic/transit,2018
GaiaDR3_103999471976858496,58319,2018-07-20,16.920206,0.017717,1,periodic/transit,2018
GaiaDR3_103999471976858496,58322,2018-07-23,16.726696,0.016794,1,periodic/transit,2018
GaiaDR3_103999471976858496,58325,2018-07-26,16.808327,0.017161,1,periodic/transit,2018
GaiaDR3_103999471976858496,58331,2018-08-01,16.763266,0.016954,1,periodic/transit,2018
GaiaDR3_103999471976858496,58332,2018-08-02,16.948517,0.015292,1,periodic/transit,2018
GaiaDR3_103999471976858496,58335,2018-08-05,16.696789,0.016667,1,periodic/transit,2018
GaiaDR3_103999471976858496,58338,2018-08-08,16.792473,0.017087,1,periodic/transit,2018
GaiaDR3_103999471976858496,58342,2018-08-12,16.807629,0.017158,1,periodic/transit,2018
GaiaDR3_103999471976858496,58345,2018-08-15,16.781335,0.012046,2,periodic/transit,2018
GaiaDR3_103999471976858496,58346,2018-08-16,16.863094,0.017425,1,periodic/transit,2018
GaiaDR3_103999471976858496,58347,2018-08-17,16.787983,0.009852,3,periodic/transit,2018
GaiaDR3_103999471976858496,58348,2018-08-18,16.723675,0.011866,2,periodic/transit,2018
GaiaDR3_103999471976858496,58349,2018-08-19,16.687254,0.016627,1,periodic/transit,2018
GaiaDR3_103999471976858496,58350,2018-08-20,16.905926,0.017642,1,periodic/transit,2018
GaiaDR3_103999471976858496,58351,2018-08-21,16.825056,0.0156,2,periodic/transit,2018
GaiaDR3_103999471976858496,58352,2018-08-22,16.815445,0.017194,1,periodic/transit,2018
GaiaDR3_103999471976858496,58360,2018-08-30,16.853508,0.014059,2,periodic/transit,2018
GaiaDR3_103999471976858496,58362,2018-09-01,16.736599,0.016837,1,periodic/transit,2018
GaiaDR3_103999471976858496,58363,2018-09-02,16.717365,0.010482,3,periodic/transit,2018
GaiaDR3_103999471976858496,58364,2018-09-03,16.905008,0.01155,2,periodic/transit,2018
GaiaDR3_103999471976858496,58365,2018-09-04,16.787367,0.01112,2,periodic/transit,2018
GaiaDR3_103999471976858496,58366,2018-09-05,16.771728,0.014641,3,periodic/transit,2018
GaiaDR3_103999471976858496,58367,2018-09-06,16.711824,0.029719,2,periodic/transit,2018
GaiaDR3_103999471976858496,58368,2018-09-07,16.855484,0.017387,1,periodic/transit,2018
GaiaDR3_103999471976858496,58369,2018-09-08,16.78463,0.012057,2,periodic/transit,2018
GaiaDR3_103999471976858496,58370,2018-09-09,16.80891,0.017164,1,periodic/transit,2018
GaiaDR3_103999471976858496,58371,2018-09-10,16.736111,0.016835,1,periodic/transit,2018
GaiaDR3_103999471976858496,58372,2018-09-11,16.771603,0.015455,3,periodic/transit,2018
GaiaDR3_103999471976858496,58373,2018-09-12,16.898422,0.017603,1,periodic/transit,2018
GaiaDR3_103999471976858496,58374,2018-09-13,16.767517,0.011224,2,periodic/transit,2018
GaiaDR3_103999471976858496,58375,2018-09-14,16.745226,0.011932,2,periodic/transit,2018
GaiaDR3_103999471976858496,58376,2018-09-15,16.842701,0.017325,1,periodic/transit,2018
GaiaDR3_103999471976858496,58377,2018-09-16,16.819668,0.017214,1,periodic/transit,2018
GaiaDR3_103999471976858496,58378,2018-09-17,16.775093,0.009802,3,periodic/transit,2018
GaiaDR3_103999471976858496,58379,2018-09-18,16.757803,0.01693,1,periodic/transit,2018
GaiaDR3_103999471976858496,58382,2018-09-21,16.847597,0.017349,1,periodic/transit,2018
GaiaDR3_103999471976858496,58383,2018-09-22,16.798313,0.017114,1,periodic/transit,2018
GaiaDR3_103999471976858496,58384,2018-09-23,16.728881,0.044281,2,periodic/transit,2018
GaiaDR3_103999471976858496,58385,2018-09-24,16.737375,0.033703,3,periodic/transit,2018
GaiaDR3_103999471976858496,58386,2018-09-25,16.827639,0.017252,1,periodic/transit,2018
GaiaDR3_103999471976858496,58390,2018-09-29,16.711258,0.010869,2,periodic/transit,2018
GaiaDR3_103999471976858496,58397,2018-10-06,16.798183,0.017114,1,periodic/transit,2018
GaiaDR3_103999471976858496,58425,2018-11-03,16.748383,0.016888,1,periodic/transit,2018
GaiaDR3_103999471976858496,58426,2018-11-04,16.66275,0.013786,1,periodic/transit,2018
GaiaDR3_103999471976858496,58427,2018-11-05,16.874807,0.014862,1,periodic/transit,2018
GaiaDR3_103999471976858496,58428,2018-11-06,16.87303,0.017475,1,periodic/transit,2018
GaiaDR3_103999471976858496,58430,2018-11-08,16.77245,0.014315,1,periodic/transit,2018
GaiaDR3_103999471976858496,58431,2018-11-09,16.659145,0.016513,1,periodic/transit,2018
GaiaDR3_103999471976858496,58434,2018-11-12,16.793196,0.01709,1,periodic/transit,2018
GaiaDR3_103999471976858496,58436,2018-11-14,16.661173,0.013778,1,periodic/transit,2018
GaiaDR3_103999471976858496,58437,2018-11-15,16.921345,0.017723,1,periodic/transit,2018
GaiaDR3_103999471976858496,58469,2018-12-17,16.901821,0.017621,1,periodic/transit,2018
GaiaDR3_103999471976858496,58472,2018-12-20,16.661451,0.013323,4,periodic/transit,2018
GaiaDR3_103999471976858496,58474,2018-12-22,16.87376,0.017478,1,periodic/transit,2018
GaiaDR3_103999471976858496,58475,2018-12-23,16.792916,0.012084,2,periodic/transit,2018
GaiaDR3_103999471976858496,58483,2018-12-31,16.893227,0.014967,1,periodic/transit,2018
GaiaDR3_103999471976858496,58487,2019-01-04,16.922802,0.01773,1,periodic/transit,2019
GaiaDR3_103999471976858496,58490,2019-01-07,16.736595,0.011905,2,periodic/transit,2019
GaiaDR3_103999471976858496,58491,2019-01-08,16.795139,0.017099,1,periodic/transit,2019
GaiaDR3_103999471976858496,58493,2019-01-10,16.791729,0.020631,2,periodic/transit,2019
GaiaDR3_103999471976858496,58494,2019-01-11,16.748653,0.01689,1,periodic/transit,2019
GaiaDR3_103999471976858496,58503,2019-01-20,16.748971,0.020029,2,periodic/transit,2019
GaiaDR3_103999471976858496,58505,2019-01-22,16.921637,0.017724,1,periodic/transit,2019
GaiaDR3_103999471976858496,58509,2019-01-26,16.870362,0.012347,2,periodic/transit,2019
GaiaDR3_103999471976858496,58510,2019-01-27,16.929857,0.017768,1,periodic/transit,2019
GaiaDR3_103999471976858496,58511,2019-01-28,16.787247,0.017063,1,periodic/transit,2019
GaiaDR3_103999471976858496,58522,2019-02-08,16.688448,0.016632,1,periodic/transit,2019
GaiaDR3_103999471976858496,58523,2019-02-09,16.854393,0.017382,1,periodic/transit,2019
GaiaDR3_103999471976858496,58534,2019-02-20,16.802885,0.030552,2,periodic/transit,2019
GaiaDR3_103999471976858496,58539,2019-02-25,16.782538,0.01205,2,periodic/transit,2019
GaiaDR3_103999471976858496,58557,2019-03-15,16.809071,0.036817,2,periodic/transit,2019
GaiaDR3_103999471976858496,58655,2019-06-21,16.857706,0.017398,1,periodic/transit,2019
GaiaDR3_103999471976858496,58667,2019-07-03,16.720573,0.016768,1,periodic/transit,2019
GaiaDR3_103999471976858496,58670,2019-07-06,16.804176,0.017141,1,periodic/transit,2019
GaiaDR3_103999471976858496,58673,2019-07-09,16.793266,0.017091,1,periodic/transit,2019
GaiaDR3_103999471976858496,58676,2019-07-12,16.725506,0.016789,1,periodic/transit,2019
GaiaDR3_103999471976858496,58680,2019-07-16,16.740551,0.016854,1,periodic/transit,2019
GaiaDR3_103999471976858496,58681,2019-07-17,16.881313,0.017516,1,periodic/transit,2019
GaiaDR3_103999471976858496,58682,2019-07-18,16.797497,0.01711,1,periodic/transit,2019
GaiaDR3_103999471976858496,58683,2019-07-19,16.777479,0.012034,2,periodic/transit,2019
GaiaDR3_103999471976858496,58684,2019-07-20,16.721792,0.016773,1,periodic/transit,2019
