source_id,mag_binned,mag_err,n_exp,n_nights,wd_class,month_date,month_id,year
GaiaDR3_103999471976858496,16.917614,0.017703,1,1,periodic/transit,2018-06-01,2018-06,2018
GaiaDR3_103999471976858496,16.782381,0.017042,6,6,periodic/transit,2018-07-01,2018-07,2018
GaiaDR3_103999471976858496,16.800051,0.016647000000000002,20,14,periodic/transit,2018-08-01,2018-08,2018
GaiaDR3_103999471976858496,16.773410499999997,0.016883500000000003,42,24,periodic/transit,2018-09-01,2018-09,2018
GaiaDR3_103999471976858496,16.798183,0.017114,1,1,periodic/transit,2018-10-01,2018-10,2018
GaiaDR3_103999471976858496,16.77245,0.016513,9,9,periodic/transit,2018-11-01,2018-11,2018
GaiaDR3_103999471976858496,16.87376,0.014967,9,5,periodic/transit,2018-12-01,2018-12,2018
GaiaDR3_103999471976858496,16.793433999999998,0.0174115,14,10,periodic/transit,2019-01-01,2019-01,2019
GaiaDR3_103999471976858496,16.7927115,0.017007,6,4,periodic/transit,2019-02-01,2019-02,2019
GaiaDR3_103999471976858496,16.809071,0.036817,2,1,periodic/transit,2019-03-01,2019-03,2019
GaiaDR3_103999471976858496,16.857706,0.017398,1,1,periodic/transit,2019-06-01,2019-06,2019
GaiaDR3_103999471976858496,16.793266,0.017091,20,17,periodic/transit,2019-07-01,2019-07,2019
GaiaDR3_103999471976858496,16.788407,0.016612,32,21,periodic/transit,2019-08-01,2019-08,2019
GaiaDR3_103999471976858496,16.788725,0.01321,19,10,periodic/transit,2019-09-01,2019-09,2019
GaiaDR3_103999471976858496,16.792452,0.017031,49,27,periodic/transit,2019-10-01,2019-10,2019
GaiaDR3_103999471976858496,16.785072,0.016943,23,13,periodic/transit,2019-11-01,2019-11,2019
GaiaDR3_103999471976858496,16.770536999999997,0.0172225,9,6,periodic/transit,2019-12-01,2019-12,2019
GaiaDR3_103999471976858496,16.786169,0.016612,18,13,periodic/transit,2020-01-01,2020-01,2020
GaiaDR3_103999471976858496,16.800678,0.016853,25,17,periodic/transit,2020-02-01,2020-02,2020
GaiaDR3_103999471976858496,16.913409,0.012503,2,1,periodic/transit,2020-03-01,2020-03,2020
GaiaDR3_103999471976858496,16.7763415,0.016827,22,16,periodic/transit,2020-07-01,2020-07,2020
GaiaDR3_103999471976858496,16.795046,0.012403,46,23,periodic/transit,2020-08-01,2020-08,2020
GaiaDR3_103999471976858496,16.810207,0.017006,20,15,periodic/transit,2020-09-01,2020-09,2020
GaiaDR3_103999471976858496,16.7506695,0.016898,10,10,periodic/transit,2020-10-01,2020-10,2020
GaiaDR3_103999471976858496,16.7787945,0.0170245,8,8,periodic/transit,2020-11-01,2020-11,2020
GaiaDR3_103999471976858496,16.752509500000002,0.0169495,19,12,periodic/transit,2020-12-01,2020-12,2020
GaiaDR3_103999471976858496,16.775791,0.016883,12,11,periodic/transit,2021-01-01,2021-01,2021
GaiaDR3_103999471976858496,16.79302,0.01709,7,7,periodic/transit,2021-02-01,2021-02,2021
GaiaDR3_103999471976858496,16.775436,0.017009,1,1,periodic/transit,2021-03-01,2021-03,2021
GaiaDR3_103999471976858496,16.775267,0.017009,6,6,periodic/transit,2021-07-01,2021-07,2021
GaiaDR3_103999471976858496,16.785473,0.017055,8,7,periodic/transit,2021-08-01,2021-08,2021
GaiaDR3_103999471976858496,16.776771,0.017015,15,13,periodic/transit,2021-09-01,2021-09,2021
GaiaDR3_103999471976858496,16.71801,0.016758000000000002,6,6,periodic/transit,2021-10-01,2021-10,2021
GaiaDR3_103999471976858496,16.7297765,0.0168075,6,6,periodic/transit,2021-11-01,2021-11,2021
GaiaDR3_103999471976858496,16.797039,0.0171405,2,2,periodic/transit,2022-02-01,2022-02,2022
GaiaDR3_103999471976858496,16.787388,0.017064,1,1,periodic/transit,2022-03-01,2022-03,2022
GaiaDR3_103999471976858496,16.799383,0.017119,1,1,periodic/transit,2022-06-01,2022-06,2022
GaiaDR3_103999471976858496,16.895665,0.01759,2,2,periodic/transit,2022-07-01,2022-07,2022
GaiaDR3_103999471976858496,16.776199499999997,0.017013,8,8,periodic/transit,2022-08-01,2022-08,2022
GaiaDR3_103999471976858496,16.7836625,0.0170685,14,10,periodic/transit,2022-09-01,2022-09,2022
GaiaDR3_103999471976858496,16.7647325,0.016924,14,14,periodic/transit,2022-10-01,2022-10,2022
GaiaDR3_103999471976858496,16.767002,0.016923,10,9,periodic/transit,2022-11-01,2022-11,2022
GaiaDR3_103999471976858496,16.689892,0.016556,8,7,periodic/transit,2022-12-01,2022-12,2022
GaiaDR3_103999471976858496,16.7041835,0.0167145,2,2,periodic/transit,2023-01-01,2023-01,2023
GaiaDR3_103999471976858496,16.748548,0.016889,6,5,periodic/transit,2023-02-01,2023-02,2023
GaiaDR3_103999471976858496,16.659561,0.016515,1,1,periodic/transit,2023-07-01,2023-07,2023
GaiaDR3_103999471976858496,16.7628815,0.0169365,9,8,periodic/transit,2023-08-01,2023-08,2023
GaiaDR3_103999471976858496,16.7620715,0.01695,11,10,periodic/transit,2023-09-01,2023-09,2023
GaiaDR3_103999471976858496,16.7900725,0.017076,8,8,periodic/transit,2023-10-01,2023-10,2023
GaiaDR3_103999471976858496,16.8567565,0.017394,6,6,periodic/transit,2023-11-01,2023-11,2023
GaiaDR3_103999471976858496,16.877792499999998,0.0174985,2,2,periodic/transit,2023-12-01,2023-12,2023
GaiaDR3_103999471976858496,16.7525035,0.016922,2,2,periodic/transit,2024-01-01,2024-01,2024
GaiaDR3_103999471976858496,16.779709,0.017029,3,3,periodic/transit,2024-02-01,2024-02,2024
GaiaDR3_103999471976858496,16.690867500000003,0.0166425,4,4,periodic/transit,2024-07-01,2024-07,2024
GaiaDR3_103999471976858496,16.756117,0.016923,8,8,periodic/transit,2024-08-01,2024-08,2024
GaiaDR3_103999471976858496,16.7621335,0.0169495,12,12,periodic/transit,2024-09-01,2024-09,2024
GaiaDR3_103999471976858496,16.722149,0.016774499999999998,8,8,periodic/transit,2024-10-01,2024-10,2024
GaiaDR3_103999471976858496,16.806493500000002,0.017153,8,8,periodic/transit,2024-11-01,2024-11,2024
GaiaDR3_103999471976858496,16.755005,0.0169185,10,10,periodic/transit,2024-12-01,2024-12,2024
GaiaDR3_103999471976858496,16.762114,0.016949,5,5,periodic/transit,2025-01-01,2025-01,2025
GaiaDR3_103999471976858496,16.750279499999998,0.0168995,4,4,periodic/transit,2025-02-01,2025-02,2025
GaiaDR3_103999471976858496,16.762352999999997,0.016954999999999998,6,6,periodic/transit,2025-08-01,2025-08,2025
GaiaDR3_103999471976858496,16.695846500000002,0.016665,4,4,periodic/transit,2025-09-01,2025-09,2025
GaiaDR3_103999471976858496,16.7950765,0.017103,2,2,periodic/transit,2025-10-01,2025-10,2025
GaiaDR3_114808397128552576,17.054989,0.017364,1,1,unclassified,2018-03-01,2018-03,2018
GaiaDR3_114808397128552576,17.088807,0.012832,9,5,unclassified,2018-07-01,2018-07,2018
GaiaDR3_114808397128552576,17.083122,0.012796,17,9,unclassified,2018-08-01,2018-08,2018
GaiaDR3_114808397128552576,17.087543,0.01755,32,19,unclassified,2018-09-01,2018-09,2018
GaiaDR3_114808397128552576,17.089955,0.012832,2,1,unclassified,2018-10-01,2018-10,2018
GaiaDR3_114808397128552576,17.079254,0.017673,19,12,unclassified,2018-11-01,2018-11,2018
GaiaDR3_114808397128552576,17.0902275,0.014374999999999999,7,2,unclassified,2018-12-01,2018-12,2018
GaiaDR3_114808397128552576,17.083702,0.017528,11,7,unclassified,2019-01-01,2019-01,2019
GaiaDR3_114808397128552576,17.0772235,0.015133,3,2,unclassified,2019-02-01,2019-02,2019
GaiaDR3_114808397128552576,17.085954,0.0151785,3,2,unclassified,2019-03-01,2019-03,2019
GaiaDR3_114808397128552576,17.077537,0.017582,14,11,unclassified,2019-07-01,2019-07,2019
GaiaDR3_114808397128552576,17.08396,0.017444,21,13,unclassified,2019-08-01,2019-08,2019
GaiaDR3_114808397128552576,17.0932155,0.017706,13,12,unclassified,2019-09-01,2019-09,2019
GaiaDR3_114808397128552576,17.089116,0.015023,26,15,unclassified,2019-10-01,2019-10,2019
GaiaDR3_114808397128552576,17.081634,0.012227,62,18,unclassified,2019-11-01,2019-11,2019
GaiaDR3_114808397128552576,17.083519,0.012815,13,7,unclassified,2019-12-01,2019-12,2019
GaiaDR3_114808397128552576,17.078618499999997,0.0174025,25,14,unclassified,2020-01-01,2020-01,2020
GaiaDR3_114808397128552576,17.085669,0.012877,19,11,unclassified,2020-02-01,2020-02,2020
GaiaDR3_114808397128552576,17.08461,0.012801,2,1,unclassified,2020-03-01,2020-03,2020
GaiaDR3_114808397128552576,17.0950165,0.0181435,8,8,unclassified,2020-07-01,2020-07,2020
GaiaDR3_114808397128552576,17.087669,0.013253,39,21,unclassified,2020-08-01,2020-08,2020
GaiaDR3_114808397128552576,17.090681,0.017516,28,17,unclassified,2020-09-01,2020-09,2020
GaiaDR3_114808397128552576,17.082783,0.017523,17,13,unclassified,2020-10-01,2020-10,2020
GaiaDR3_114808397128552576,17.089602499999998,0.015631,18,12,unclassified,2020-11-01,2020-11,2020
GaiaDR3_114808397128552576,17.080748,0.017584000000000002,16,16,unclassified,2020-12-01,2020-12,2020
GaiaDR3_114808397128552576,17.082733,0.017522,17,13,unclassified,2021-01-01,2021-01,2021
GaiaDR3_114808397128552576,17.086509,0.017513,20,16,unclassified,2021-02-01,2021-02,2021
GaiaDR3_114808397128552576,17.088833,0.012936,5,3,unclassified,2021-03-01,2021-03,2021
GaiaDR3_114808397128552576,17.0849895,0.018688,5,4,unclassified,2021-07-01,2021-07,2021
GaiaDR3_114808397128552576,17.0967615,0.017539,17,12,unclassified,2021-08-01,2021-08,2021
GaiaDR3_114808397128552576,17.081596,0.0164135,18,12,unclassified,2021-09-01,2021-09,2021
GaiaDR3_114808397128552576,17.093147,0.01286,9,5,unclassified,2021-10-01,2021-10,2021
GaiaDR3_114808397128552576,17.0828545,0.012842,13,8,unclassified,2021-11-01,2021-11,2021
GaiaDR3_114808397128552576,17.078276,0.016544999999999997,9,6,unclassified,2022-02-01,2022-02,2022
GaiaDR3_114808397128552576,17.082301,0.012786,2,1,unclassified,2022-03-01,2022-03,2022
GaiaDR3_114808397128552576,17.085589,0.021716,5,1,unclassified,2022-06-01,2022-06,2022
GaiaDR3_114808397128552576,17.10498,0.018839,1,1,unclassified,2022-07-01,2022-07,2022
GaiaDR3_114808397128552576,17.082656,0.0161715,16,10,unclassified,2022-08-01,2022-08,2022
GaiaDR3_114808397128552576,17.086925,0.017506,19,13,unclassified,2022-09-01,2022-09,2022
GaiaDR3_114808397128552576,17.09647,0.017716,18,15,unclassified,2022-10-01,2022-10,2022
GaiaDR3_114808397128552576,17.085531,0.017604,18,18,unclassified,2022-11-01,2022-11,2022
GaiaDR3_114808397128552576,17.0930865,0.0135515,7,4,unclassified,2022-12-01,2022-12,2022
GaiaDR3_114808397128552576,17.091459,0.01766,4,3,unclassified,2023-01-01,2023-01,2023
GaiaDR3_114808397128552576,17.090801,0.017569,5,5,unclassified,2023-02-01,2023-02,2023
GaiaDR3_114808397128552576,17.1025725,0.018821499999999998,2,2,unclassified,2023-07-01,2023-07,2023
GaiaDR3_114808397128552576,17.08359,0.017488,14,11,unclassified,2023-08-01,2023-08,2023
GaiaDR3_114808397128552576,17.0762295,0.017467499999999997,17,12,unclassified,2023-09-01,2023-09,2023
