tic,paper,period_s,amp_ppt
5624184,romero2022,503.99,6.28
5624184,romero2022,445.92,4.77
5624184,romero2022,431.31,4.66
7675859,romero2022,353.25,27.39
7675859,romero2022,356.09,14.32
7675859,romero2022,360.32,9.33
7675859,romero2022,798.66,12.08
7675859,romero2022,743.44,11.09
8445665,romero2022,812.76,18.2
8445665,romero2022,638.22,15.05
8445665,romero2022,1018.48,8.97
8445665,romero2022,578.05,8.92
8445665,romero2022,356.87,8.84
13566624,romero2022,421.87,8.92
13566624,romero2022,407.63,7.83
21187072,romero2022,1076.86,6.79
21187072,romero2022,1074.27,4.99
21187072,romero2022,1070.74,3.92
24603397,romero2022,262.65,3.13
29862344,romero2022,737.57,3.37
29862344,romero2022,857.43,4.03
29862344,romero2022,898.93,2.74
29862344,romero2022,352.09,2.22
33717565,romero2022,364.92,10.33
33717565,romero2022,526.98,4.47
46847635,romero2022,415.81,9.66
55650407,romero2022,320.76,1.65
55650407,romero2022,262.46,7.21
55650407,romero2022,200.08,4.42
55650407,romero2022,126.84,1.84
63281499,romero2022,320.52,8.542
63281499,romero2022,383.7,2.93
65144290,romero2022,278.172,7.272
72637474,romero2022,901.16,2.69
72637474,romero2022,814.44,2.56
72637474,romero2022,966.24,2.55
79353860,romero2022,945.19,4.29
79353860,romero2022,842.43,3.5
79353860,romero2022,525.56,3.6
116373308,romero2022,361.81,59.3
141976247,romero2022,261.72,0.86
149863849,romero2022,397.98,6.9
149863849,romero2022,397.04,6.43
149863849,romero2022,491.21,7.45
149863849,romero2022,568.09,3.14
149863849,romero2022,487.36,3.07
156064657,romero2022,1418.05,13.45
156064657,romero2022,1546.56,6.05
158068117,romero2022,268.45,2.48
167486543,romero2022,535.26,19.83
167486543,romero2022,534.59,19.55
167486543,romero2022,535.6,9.77
167486543,romero2022,267.29,7.9
188087204,romero2022,742.55,14.44
188087204,romero2022,657.53,13.31
188087204,romero2022,661.35,9.66
188087204,romero2022,541.35,7.29
188087204,romero2022,500.84,6.87
207206751,romero2022,893.48,2.07
207206751,romero2022,776.31,2.03
207206751,romero2022,627.26,1.49
207206751,romero2022,850.45,1.47
207206751,romero2022,906.07,1.38
207206751,romero2022,1220.01,1.3
207206751,romero2022,1270.88,1.18
207206751,romero2022,810.13,1.14
207206751,romero2022,864.16,1.13
207206751,romero2022,939.35,0.93
220555122,romero2022,243.89,2.52
220555122,romero2022,539.45,2.36
220555122,romero2022,137.54,2.29
229581336,romero2022,1106.46,3.33
229581336,romero2022,519.02,2.29
229581336,romero2022,420.18,2.2
230029140,romero2022,288.89,8.63
230029140,romero2022,311.06,9.01
230029140,romero2022,784.77,7.19
230029140,romero2022,400.35,4.64
230029140,romero2022,364.41,4.36
230384389,romero2022,457.17,2.46
230384389,romero2022,707.92,2.57
230384389,romero2022,493.86,1.67
230384389,romero2022,749.61,1.35
230384389,romero2022,1633.57,1.05
230384389,romero2022,1284.58,0.66
231277791,romero2022,711.54,7.03
231277791,romero2022,497.77,5.52
231277791,romero2022,721.02,5.14
231277791,romero2022,500.65,3.64
231277791,romero2022,717.44,3.33
231277791,romero2022,750.86,3.29
231277791,romero2022,762.96,3.2
231277791,romero2022,719.4,3.2
231277791,romero2022,722.74,2.85
231277791,romero2022,767.79,2.8
232979174,romero2022,282.66,3.54
238815671,romero2022,257.59,9.22
238815671,romero2022,287.29,6.86
261400271,romero2022,3052.55,1.46
261400271,romero2022,295.7,0.75
261400271,romero2022,382.92,0.73
273206673,romero2022,583.44,33.65
273206673,romero2022,827.17,32.74
273206673,romero2022,698.89,19.33
273206673,romero2022,746.68,18.62
273206673,romero2022,892.78,18.6
273206673,romero2022,464.4,16.13
273206673,romero2022,844.06,15.22
273206673,romero2022,511.24,14.72
273206673,romero2022,688.93,14.59
273206673,romero2022,663.24,14.49
273206673,romero2022,874.59,14.24
282783760,romero2022,257.76,8.92
287926830,romero2022,316.22,9.24
304024058,romero2022,623.43,2.12
304024058,romero2022,579.48,4.39
304024058,romero2022,506.192,2.62
304024058,romero2022,400.28,2.47
313109945,romero2022,298.89,84.01
313109945,romero2022,266.69,51.83
313109945,romero2022,452.06,34.62
313109945,romero2022,668.61,33.33
313109945,romero2022,529.42,23.81
313109945,romero2022,408.41,16.52
313109945,romero2022,253.55,14.86
317153172,romero2022,786.78,7.84
317153172,romero2022,791.96,6.4
317153172,romero2022,512.05,6.53
317620456,romero2022,15601.32,10.0
317620456,romero2022,261.1,7.44
317620456,romero2022,429.23,6.16
317620456,romero2022,2429.96,6.23
343296348,romero2022,288.27,16.66
343296348,romero2022,287.76,10.01
343296348,romero2022,287.26,10.48
344130696,romero2022,1018.68,2.43
344130696,romero2022,1057.48,2.17
353727306,romero2022,545.81,45.43
353727306,romero2022,470.23,18.7
353727306,romero2022,404.84,16.06
353727306,romero2022,875.58,15.32
353727306,romero2022,463.55,10.47
370239521,romero2022,820.43,1.86
370239521,romero2022,809.26,1.18
370239521,romero2022,575.76,0.83
370239521,romero2022,563.65,0.61
370239521,romero2022,297.24,0.53
380298520,romero2022,550.4,14.68
394015496,romero2022,310.27,4.64
394015496,romero2022,309.79,5.38
394015496,romero2022,309.31,4.08
415337224,romero2022,936.55,15.51
415337224,romero2022,550.81,10.97
415337224,romero2022,953.711,8.78
428670887,romero2022,298.14,17.4
441500792,romero2022,980.52,8.21
441500792,romero2022,786.55,7.66
442962289,romero2022,481.28,16.4
442962289,romero2022,653.63,13.12
442962289,romero2022,498.72,7.83
610337553,romero2022,759.6,32.36
610337553,romero2022,922.68,15.42
631161222,romero2022,679.82,27.33
631161222,romero2022,708.0,13.41
631161222,romero2022,403.63,11.98
631161222,romero2022,466.62,10.4
631161222,romero2022,367.44,10.18
631344957,romero2022,363.14,9.012
632543879,romero2022,461.33,18.61
632543879,romero2022,784.54,16.25
632543879,romero2022,735.89,16.08
632543879,romero2022,652.31,14.1
632543879,romero2022,736.24,13.04
651462582,romero2022,818.15,17.55
651462582,romero2022,683.85,13.73
651462582,romero2022,1018.36,11.88
661119673,romero2022,626.41,82.36
683837451,romero2022,1036.28,6.11
685410570,romero2022,965.5,10.23
685410570,romero2022,812.91,9.05
685410570,romero2022,556.66,7.41
686044219,romero2022,913.0,18.75
686044219,romero2022,875.82,8.95
686044219,romero2022,736.04,17.36
712406809,romero2022,828.22,14.61
712406809,romero2022,510.29,11.16
712406809,romero2022,873.0,9.61
712406809,romero2022,115.924,8.65
712406809,romero2022,624.28,7.92
724128806,romero2022,290.18,10.34
733030384,romero2022,275.49,7.35
733030384,romero2022,411.28,6.26
800153845,romero2022,878.34,42.93
800153845,romero2022,712.44,17.89
804835539,romero2022,1007.21,15.73
804899734,romero2022,394.71,24.02
804899734,romero2022,558.78,11.31
951016050,romero2022,818.45,15.06
951016050,romero2022,644.63,10.63
1001545355,romero2022,516.18,17.79
1001545355,romero2022,761.14,15.78
1001545355,romero2022,955.19,15.47
1001545355,romero2022,1058.1,11.08
1001545355,romero2022,249.97,10.99
1102242692,romero2022,1009.04,9.56
1102242692,romero2022,406.17,7.37
1102346472,romero2022,458.13,27.73
1173423962,romero2022,618.36,38.36
1173423962,romero2022,794.8,30.33
1108505075,romero2022,693.55,45.47
1108505075,romero2022,1323.54,36.69
1108505075,romero2022,1801.77,36.09
1201194272,romero2022,840.92,8.37
1309155088,romero2022,769.06,17.29
1989258883,romero2022,909.04,10.78
1989866634,romero2022,613.97,22.22
2026445610,romero2022,825.25,25.56
2026445610,romero2022,815.53,20.52
2026445610,romero2022,317.74,15.17
2055504010,romero2022,990.32,14.56
2055504010,romero2022,818.73,12.92
2055504010,romero2022,774.69,13.25
1116746,romero2025,303.01,8.61
14448610,romero2025,472.13,5.42
14448610,romero2025,496.91,4.89
14448610,romero2025,634.34,4.7
14448610,romero2025,679.27,3.47
14448610,romero2025,527.92,3.08
14448610,romero2025,373.57,3.04
30545382,romero2025,1160.54,9.82
30545382,romero2025,781.18,8.89
30545382,romero2025,718.18,5.15
30545382,romero2025,1141.29,4.9
72517198,romero2025,848.91,14.28
81848974,romero2025,874.58,9.52
88046487,romero2025,632.15,11.28
88046487,romero2025,885.76,8.64
88046487,romero2025,829.85,6.2
94748632,romero2025,306.97,6.28
94748632,romero2025,257.63,5.69
103700861,romero2025,536.92,5.54
103700861,romero2025,715.9,4.59
114058447,romero2025,1402.65,6.7
114058447,romero2025,1401.0,3.28
114058447,romero2025,319.91,2.92
141179495,romero2025,253.86,4.46
159973152,romero2025,977.55,7.27
159973152,romero2025,922.33,6.43
159973152,romero2025,1023.48,6.07
192937035,romero2025,298.27,5.25
201860926,romero2025,893.74,6.82
201860926,romero2025,880.74,7.31
201860926,romero2025,525.06,5.89
201860926,romero2025,522.77,4.89
201860926,romero2025,520.42,7.53
201860926,romero2025,486.05,4.49
264172524,romero2025,463.08,5.69
264172524,romero2025,336.26,2.78
264172524,romero2025,847.81,2.62
375199799,romero2025,328.12,9.56
375199799,romero2025,305.53,12.98
409732714,romero2025,448.23,1.51
409732714,romero2025,940.48,1.26
423658036,romero2025,372.32,4.344
453210132,romero2025,200.31,6.93
461203226,romero2025,297.78,4.39
461203226,romero2025,259.91,10.29
600589802,romero2025,959.02,25.88
600589802,romero2025,966.99,8.87
