tic,paper,sectors,fap_ppt,cadence_s,nov,n_modes,ra,dec,gmag
1116746,romero2025,f48,7.24,20,False,1,155.75212499999998,24.117916666666666,16.44
5624184,romero2022,f35-f36,4.58,20,False,3,143.20004166666666,-37.741305555555556,15.95
7675859,romero2025old,"25,26,f40,f52-f54",4.09,20,False,6,273.09475,43.352111111111114,16.24
8445665,romero2022,"24,25",8.78,120,False,5,246.15337499999995,32.214666666666666,16.72
13566624,romero2022,34,7.01,120,False,2,132.89520833333333,-7.474527777777778,16.44
14448610,romero2025,f44-46,2.84,20,False,6,110.75083333333335,16.284555555555556,15.08
21187072,romero2025old,"25,26,f40-f41,f52-f54",3.13,20,False,5,276.5251666666667,48.486472222222226,16.28
24603397,romero2022,"5,32",1.94,120,False,1,80.66941666666666,-8.041583333333334,14.71
29862344,romero2022,"03,f30",2.67,20,False,4,24.313166666666667,-17.456305555555556,15.25
30545382,romero2025,"11,f37,f64",3.59,20,False,4,199.12841666666668,-39.40133333333333,15.77
33717565,romero2025old,"27-29,32,35-36,39,f61-f63,f65-f68",1.71,20,False,7,61.401624999999996,-76.47447222222222,16.5
46847635,romero2022,35,8.84,120,False,1,142.31958333333333,-8.675611111111111,16.75
55650407,romero2025old,"11-13,f27-f39,f61-f64",0.36,20,False,11,73.86362500000001,-62.979055555555554,14.97
63281499,romero2025old,"01,f28,f68",2.071,20,False,3,337.24229166666663,-31.09825,15.61
65144290,romero2022,"7,33-34",4.87,120,False,1,107.8085,-25.304166666666667,14.47
72517198,romero2025,f50,8.73,20,False,1,207.26512499999998,14.331916666666666,16.64
72637474,romero2022,"03,f30",2.51,20,False,3,32.03275,-29.52722222222222,15.92
79353860,romero2025old,"01,27,67",2.13,120,False,3,319.56466666666665,-53.222972222222225,15.92
81848974,romero2025,"f36-f37,f63-f64",7.01,20,False,1,168.08929166666664,-51.501083333333334,16.4
88046487,romero2025,f45,5.62,20,False,3,147.52895833333332,18.626083333333334,16.68
94748632,romero2025,f44-f46,3.86,20,False,2,112.938,23.898055555555555,16.14
103700861,romero2025,"f40-f41,f47",4.5,20,False,2,155.80270833333333,67.41847222222222,16.8
114058447,romero2025,f42-f44,2.73,20,False,3,55.293875,19.133444444444443,15.84
116373308,romero2022,18,40.82,120,False,1,45.547625000000004,48.00377777777778,16.33
141179495,romero2025,"22,f49",3.87,20,False,1,180.28962500000003,42.9965,16.11
141976247,romero2022,"1-8,10-13,27-34,f35-f37",0.71,20,False,1,96.36445833333333,-75.67825,15.58
149863849,romero2025old,"f39,f66",1.49,20,False,19,265.95533333333333,-39.14052777777778,13.53
156064657,romero2022,29,6.04,120,False,2,9.348958333333334,-48.36552777777778,16.6
158068117,romero2022,"5-7,32-33",1.98,120,False,1,90.22045833333333,-46.51141666666667,16.09
159973152,romero2025,31,5.444,120,False,3,50.130875,-36.94933333333333,16.5
167486543,romero2022,f32,6.27,20,False,4,72.13379166666667,-10.897194444444445,16.23
188087204,romero2022,36,6.83,120,False,5,161.61583333333334,-25.20438888888889,16.83
192937035,romero2025,"20,47,f60",4.55,20,False,1,122.23658333333334,46.21669444444445,16.23
201860926,romero2025,"29-30,69",4.4,120,False,6,37.983375,-53.96477777777778,16.78
207206751,romero2022,29-30,0.93,120,False,10,48.32775,-56.12638888888889,14.62
220555122,romero2022,"1-3,28,30",2.23,120,False,3,44.08891666666668,-63.477833333333336,15.87
229581336,romero2022,14-25,2.2,120,False,3,270.31404166666664,72.31361111111111,16.05
230029140,romero2022,14-26,3.16,120,False,5,292.2244583333333,61.09686111111111,16.45
230384389,romero2025old,"14-26,f40-f41,f47-f54,f56-f60",0.47,20,False,8,285.8315,60.597944444444444,15.01
231277791,romero2022,29-f30,2.8,20,False,10,42.32595833333333,-53.5765,16.46
232979174,romero2022,"14-16,21-23",2.34,120,False,1,218.5745,65.66652777777779,16.14
238815671,romero2022,"01,f27-28",4.37,20,False,2,328.04841666666664,-63.54344444444444,16.12
264172524,romero2025,"14-16,18-26,f40-f41,f47-f51,f53-f60",2.45,20,False,3,294.58158333333336,69.15313888888889,16.42
273206673,romero2025old,"19,f59",8.02,20,False,15,68.46245833333333,48.84419444444445,15.86
282783760,romero2022,23,6.43,120,False,1,198.61175,17.53588888888889,16.3
287926830,romero2022,15,8.34,120,False,1,327.66925000000003,30.592805555555554,15.94
304024058,romero2025old,"10-11,f36-f38,f63-f64",3.54,20,False,5,140.73433333333332,-68.28019444444445,16.1
313109945,romero2022,"14,15,20-22",13.39,120,False,7,211.4190416666667,74.64980555555556,15.59
317153172,romero2025old,"27,f39,f66-67",3.81,20,False,6,350.63295833333336,-83.22036111111112,16.47
343296348,romero2025old,"12-13,f39,f66",4.41,20,False,2,265.9333333333333,-74.41041666666668,15.85
344130696,romero2022,"12-13,f39",2.0,20,False,2,279.284625,-76.98497222222223,15.39
353727306,romero2025old,"18-19,25,f52,f58-f59",5.0,20,False,10,40.12358333333333,66.61027777777777,15.6
370239521,romero2022,1,0.52,120,False,5,327.6007916666667,-53.977000000000004,14.65
375199799,romero2025,f55,9.17,20,False,2,309.4608333333333,6.207666666666666,16.41
380298520,romero2022,"14,15",9.13,120,False,1,303.43025,34.23222222222223,15.68
394015496,romero2022,"01,27-f28",2.26,20,False,3,329.5995,-58.89827777777778,15.81
409732714,romero2025,"34,f61",1.34,20,False,2,126.01395833333333,-12.328777777777777,14.74
415337224,romero2022,5,7.56,120,False,3,58.726083333333335,7.768416666666667,16.54
423658036,romero2025,"10,f37,f64",3.637,20,False,1,202.35337499999997,-23.871305555555555,16.01
428670887,romero2022,10,9.19,120,False,1,179.669375,-20.497555555555557,16.01
441500792,romero2022,31,5.77,120,False,2,46.701458333333335,-17.39247222222222,16.68
442962289,romero2022,32,6.37,120,False,3,81.4485,-17.563861111111112,16.51
453210132,romero2025,"34,f44-f46",5.85,20,False,1,117.92291666666665,11.341611111111112,16.41
461203226,romero2025,"f37,f64",3.73,20,False,2,181.71204166666664,-38.097,15.67
600589802,romero2025,f57,8.14,20,False,5,15.106500000000002,42.31136111111111,16.56
610337553,romero2022,30,14.19,120,False,2,13.944666666666667,-15.081305555555556,17.36
631161222,romero2025old,"27,29,f68",5.59,20,False,6,21.603041666666666,-71.28663888888889,16.96
631344957,romero2025old,"28-29,f68",6.23,20,False,2,33.36779166666667,-64.61913888888888,16.98
632543879,romero2022,31,13.0,120,False,5,37.097458333333336,13.790916666666666,16.98
640201450,romero2025,42-44,11.03,120,False,1,50.287625,14.182222222222222,17.17
651462582,romero2022,31,11.55,120,False,3,46.887875,-46.887861111111114,17.08
661119673,romero2025old,"19,43-44,f59",18.34,20,False,2,70.74295833333333,32.621,17.37
683837451,romero2022,"27-35,37-39",5.69,120,False,1,74.61295833333334,-65.66761111111111,17.4
685410570,romero2022,31-32,7.36,120,False,3,75.04791666666667,-50.77011111111111,17.04
686044219,romero2022,31-32,7.87,120,False,3,65.454,-35.9805,17.13
712406809,romero2022,f33,7.89,20,False,5,99.82183333333334,1.2248611111111112,16.22
