source_id,wdj_name,gaia_g_mag,bp_rp,in_core,n_variants,known_roster,wd_class,paper_variable,paper_periodic,zg_n_exp,zg_n_nights,zg_n_months,zg_exposure_ratio,zg_nightly_ratio,zg_monthly_ratio,zr_n_exp,zr_n_nights,zr_n_months,zr_exposure_ratio,zr_nightly_ratio,zr_monthly_ratio,census_variable,census_g_nightly,census_g_monthly,census_verdict,zg_median_exp_per_night
9000000000001570023,KIC 1570023,,,True,0,False,dsct_flag1,True,True,724,636,83,0.3359560164904841,0.9153790700093061,0.6894116034439197,1153,672,79,0.6671004018044658,0.9064297338590178,0.5078648180472726,False,False,False,not_variable,1.0
9000000000001573149,KIC 1573149,,,True,0,False,dsct_flag1,True,True,1380,792,84,0.5967051266042503,1.4290386122878738,1.3151452776752404,2198,823,81,0.8603784651538557,1.3547213454967824,0.9163541985986505,False,False,False,not_variable,2.0
9000000000001573174,KIC 1573174,,,True,0,False,dsct_flag1,True,True,1382,791,84,2.608639724787505,5.665927402847979,3.8146375697171964,2232,830,82,2.9970528309556164,4.237018470253982,2.448134856784502,True,True,True,variable,2.0
9000000000001575977,KIC 1575977,,,True,0,False,dsct_flag1,True,True,728,613,79,0.2583173769180057,1.0901474731018965,0.9538602769240543,1161,664,80,0.5619261192853034,1.0955401720392952,0.9243621945686165,False,False,False,not_variable,1.0
9000000000002167444,KIC 2167444,,,True,0,False,dsct_flag1,True,True,784,618,79,0.42943729805812547,1.3336798516078228,0.9280218010571337,1223,681,80,0.7187172659372992,1.3440939850168532,0.7993172314071705,False,False,False,not_variable,1.0
9000000000002168420,KIC 2168420,,,True,0,False,dsct_flag1,True,True,710,602,79,0.4227463649321082,1.4296610832983372,0.990762094345623,1145,663,79,0.7855887507830203,1.8399918631748204,1.4748610827402318,False,False,False,not_variable,1.0
9000000000002300603,KIC 2300603,,,True,0,False,dsct_flag1,True,True,667,628,83,0.30778871578554745,1.664478978610308,0.8930154198728515,1194,669,79,0.8978047845793925,1.407013588962067,0.6199875850284041,False,False,False,not_variable,1.0
9000000000002301163,KIC 2301163,,,True,0,False,dsct_flag1,True,True,153,125,37,0.3570487550583817,1.570753101882374,1.339105591584648,325,126,36,0.8052581483974371,1.515445195085355,1.1898604020202939,False,False,False,not_variable,1.0
9000000000002310586,KIC 2310586,,,True,0,False,dsct_flag1,True,True,675,584,79,0.27507112742722156,1.5180072416919563,1.1836041623585933,1091,643,79,0.6375576926273249,1.4031197845265504,0.973503974462396,False,False,False,not_variable,1.0
9000000000002438249,KIC 2438249,,,True,0,False,dsct_flag1,True,True,728,643,83,0.29995567049212274,0.9398289282801808,0.560603173724382,1235,682,79,0.6530704000237759,1.1501189775926295,0.5394155911430925,False,False,False,not_variable,1.0
9000000000002570760,KIC 2570760,,,True,0,False,dsct_flag1,True,True,735,647,83,0.3603776570944469,0.9346691281648164,0.658104942725469,1237,684,79,0.723344349962264,1.1951795511508392,0.6284891152165384,False,False,False,not_variable,1.0
9000000000002572386,KIC 2572386,,,True,0,False,dsct_flag1,True,True,663,625,83,0.19595567763034932,1.1425684551412314,0.7729485147966776,986,545,79,0.7657492622684468,1.2405643020356194,0.7464290036779639,False,False,False,not_variable,1.0
9000000000002578404,KIC 2578404,,,True,0,False,dsct_flag1,True,True,665,598,79,0.27209879666320397,1.1316109951401858,0.6197046720283005,1058,616,80,0.7583181979125088,1.3731025984889322,1.1053042624005673,False,False,False,not_variable,1.0
9000000000002579147,KIC 2579147,,,True,0,False,dsct_flag1,True,True,420,363,68,0.43702519431247605,1.1613802940663798,1.0365749327057874,792,376,69,0.9312917909715654,1.7801161653643105,1.5351418750945742,False,False,False,not_variable,1.0
9000000000002581626,KIC 2581626,,,True,0,False,dsct_flag1,True,True,727,617,80,2.0944534111858086,6.80616377467532,3.387575718481106,1097,620,80,3.5143699467645035,5.199443120976184,3.515660420621781,True,True,True,variable,1.0
