source_id,external_id,class_label,cache_present,read_status,raw_rows,selected_rows,drop_unsupported_band,drop_catflags,drop_invalid_mag,drop_invalid_magerr,drop_chi,drop_invalid_mjd,nearest_separation_arcsec,ztf_objects_in_cone,selected_ztf_objects,zg_raw_rows,zg_clean_rows,zr_raw_rows,zr_clean_rows,crossmatched
9000000000001570023,KIC 1570023,dsct_flag1,True,ok,5689,1947,0,5,0,0,65,0,0.006147170253011476,15,4,1918,724,3771,1153,True
9000000000001573149,KIC 1573149,dsct_flag1,True,ok,9072,3706,0,49,0,0,79,0,0.0659926713300308,17,6,3209,1380,5863,2198,True
9000000000001573174,KIC 1573174,dsct_flag1,True,ok,9119,3701,0,18,0,0,69,0,0.17082608981590788,21,6,2801,1382,6318,2232,True
9000000000001575977,KIC 1575977,dsct_flag1,True,ok,1898,1898,0,4,0,0,5,0,0.14436037447620506,4,4,732,728,1166,1161,True
9000000000002167444,KIC 2167444,dsct_flag1,True,ok,2015,2015,0,1,0,0,7,0,0.047813763481139145,6,6,789,784,1226,1223,True
9000000000002168420,KIC 2168420,dsct_flag1,True,ok,5062,1863,0,3,0,0,5,0,0.031041688163620965,13,4,1681,710,3381,1145,True
9000000000002300603,KIC 2300603,dsct_flag1,True,ok,1871,1871,0,9,0,0,1,0,0.10629451036499248,3,3,669,667,1202,1194,True
9000000000002301163,KIC 2301163,dsct_flag1,True,ok,488,481,0,2,0,0,1,0,0.17035537921587535,5,4,153,153,335,325,True
9000000000002310586,KIC 2310586,dsct_flag1,True,ok,3531,1784,0,10,0,0,8,0,0.08517768960793587,8,4,1342,675,2189,1091,True
9000000000002438249,KIC 2438249,dsct_flag1,True,ok,11166,1982,0,18,0,0,1,0,0.07421292059957296,24,4,3978,728,7188,1235,True
9000000000002570760,KIC 2570760,dsct_flag1,True,ok,5768,1980,0,5,0,0,3,0,0.2968516823983159,14,4,2066,735,3702,1237,True
9000000000002572386,KIC 2572386,dsct_flag1,True,ok,3558,1839,0,187,0,0,3,0,0.049939847215301106,4,2,1263,663,2295,986,True
9000000000002578404,KIC 2578404,dsct_flag1,True,ok,6237,1770,0,22,0,0,25,0,0.09709805187962173,9,2,2253,665,3984,1058,True
9000000000002579147,KIC 2579147,dsct_flag1,True,ok,1224,1224,0,4,0,0,8,0,0.017921927017366973,2,2,422,420,802,792,True
9000000000002581626,KIC 2581626,dsct_flag1,True,ok,3729,1841,0,0,0,0,17,0,0.20383223121087526,9,4,1500,727,2229,1097,True
9000000000002581905,KIC 2581905,dsct_flag1,True,ok,1842,1842,0,1,0,0,17,0,0.180218006790998,4,4,727,727,1115,1097,True
9000000000002582800,KIC 2582800,dsct_flag1,True,ok,2647,1841,0,6,0,0,17,0,0.0572545470584428,9,4,747,718,1900,1100,True
9000000000002583669,KIC 2583669,dsct_flag1,True,ok,1844,1844,0,6,0,0,25,0,0.06761887278312655,4,4,727,723,1117,1090,True
9000000000002714707,KIC 2714707,dsct_flag1,True,ok,2303,1902,0,1902,0,0,0,0,0.1340449639405645,7,4,803,0,1500,0,False
9000000000002715483,KIC 2715483,dsct_flag1,True,ok,3347,1896,0,1896,0,0,0,0,0.1663999360819344,7,4,1106,0,2241,0,False
