source_id,external_id,ra,dec,class_label,label_variable,label_periodic,gaia_g_mag,KIC,gmag,Teff,logg,dSct,dom_freq_uhz,dom_freq_per_day,dom_amp_ppt,amp_mmag,subhour,near_saturation,stratum,sampling_weight
9000000000001570023,KIC 1570023,290.65988,37.1725,dsct_flag1,True,True,,1570023,13.581,6970,3.63,1,184.342353,15.9271792992,1.6291,1.7687138700000002,True,True,subhour,1.0
9000000000001573149,KIC 1573149,291.36578,37.15259,dsct_flag1,True,True,,1573149,13.264,6627,3.9,1,85.619497,7.3975245408,0.064,0.06948480000000001,False,True,amp_lt1,1.0
9000000000001573174,KIC 1573174,291.37018,37.15659,dsct_flag1,True,True,,1573174,13.702,7163,3.55,1,85.619506,7.3975253184000005,62.4562,67.80869634000001,True,True,subhour,1.0
9000000000001575977,KIC 1575977,291.94754,37.11343,dsct_flag1,True,True,,1575977,13.746,7272,4.07,1,1.898627,0.1640413728,13.1609,14.288789130000001,True,True,subhour,1.0
9000000000002167444,KIC 2167444,292.99991,37.58014,dsct_flag1,True,True,,2167444,14.33,7235,4.34,1,,,,,False,False,amp_unknown,1.0
9000000000002168420,KIC 2168420,293.20261,37.59629,dsct_flag1,True,True,,2168420,13.793,8049,3.98,1,221.193853,19.1111488992,1.7777,1.9300488900000004,True,True,subhour,1.0
9000000000002300603,KIC 2300603,290.91327,37.68736,dsct_flag1,True,True,,2300603,13.233,7100,3.64,1,88.441747,7.641366940800001,7.1626,7.776434820000001,False,True,amp_ladder_6,1.0
9000000000002301163,KIC 2301163,291.04794,37.63534,dsct_flag1,True,True,,2301163,14.397,7561,4.09,1,,,,,False,False,amp_unknown,1.0
9000000000002310586,KIC 2310586,293.12717,37.629,dsct_flag1,True,True,,2310586,13.578,7194,4.07,1,16.803577,1.4518290528000002,1.0818,1.1745102600000001,False,True,amp_ladder_1,1.0
9000000000002438249,KIC 2438249,290.29459,37.75875,dsct_flag1,True,True,,2438249,15.826,7529,3.99,1,16.004491,1.3827880224000002,3.879,4.211430300000001,True,False,subhour,1.0
9000000000002570760,KIC 2570760,290.32922,37.82611,dsct_flag1,True,True,,2570760,13.613,7786,4.09,1,240.105222,20.7450911808,0.699,0.7589043,True,True,subhour,1.0
9000000000002572386,KIC 2572386,290.69122,37.88414,dsct_flag1,True,True,,2572386,13.2,7348,4.22,1,,,,,False,True,amp_unknown,1.0
9000000000002578404,KIC 2578404,291.99789,37.81913,dsct_flag1,True,True,,2578404,13.284,7535,3.89,1,138.019512,11.9248858368,3.3232,3.60799824,False,True,amp_ladder_4,1.0
9000000000002579147,KIC 2579147,292.15738,37.83315,dsct_flag1,True,True,,2579147,13.98,7288,3.91,1,115.871805,10.011323952,4.9992,5.427631440000001,False,True,amp_ladder_5,1.0
9000000000002581626,KIC 2581626,292.70682,37.80601,dsct_flag1,True,True,,2581626,15.059,8049,4.2,1,,,,,False,False,amp_unknown,1.0
9000000000002581905,KIC 2581905,292.76712,37.81088,dsct_flag1,True,True,,2581905,14.686,6808,3.73,1,193.92144,16.754812416,0.529,0.5743353000000001,True,False,subhour,1.0
9000000000002582800,KIC 2582800,292.95239,37.85713,dsct_flag1,True,True,,2582800,13.545,7921,4.22,1,3.494403,0.3019164192,0.1896,0.20584872,True,True,subhour,1.0
9000000000002583669,KIC 2583669,293.14639,37.81034,dsct_flag1,True,True,,2583669,13.81,7112,3.98,1,56.500377,4.8816325728,1.7196,1.8669697200000002,False,True,amp_ladder_2,1.0
9000000000002714707,KIC 2714707,291.80377,37.99324,dsct_flag1,True,True,,2714707,13.447,7268,3.62,1,126.371548,10.9185017472,2.2198,2.4100368600000004,True,True,subhour,1.0
9000000000002715483,KIC 2715483,291.98627,37.94144,dsct_flag1,True,True,,2715483,14.039,8928,4.28,1,,,,,False,False,amp_unknown,1.0
