pass,rule,scope,n,ess,p,lo,hi
low,confirmed,detection_eligible_roster,30,30.0,0.26666666666666666,0.14182663319596317,0.4444796169518888
low,confirmed,detection_usable_lightcurve,30,30.0,0.26666666666666666,0.14182663319596317,0.4444796169518888
low,confirmed,freq_recovery_scorable,0,0.0,,,
low,confirmed_or_candidate,detection_eligible_roster,30,30.0,0.36666666666666664,0.21873920806100708,0.5448643634520511
low,confirmed_or_candidate,detection_usable_lightcurve,30,30.0,0.36666666666666664,0.21873920806100708,0.5448643634520511
low,confirmed_or_candidate,freq_recovery_scorable,0,0.0,,,
low,census,detection_eligible_roster,30,30.0,0.4666666666666667,0.30232388907699753,0.638577003801267
low,census,detection_usable_lightcurve,30,30.0,0.4666666666666667,0.30232388907699753,0.638577003801267
low,either,detection_eligible_roster,30,30.0,0.6,0.42320360253322475,0.7540937188319815
low,either,detection_usable_lightcurve,30,30.0,0.6,0.42320360253322475,0.7540937188319815
low,confirmed,correct_frequency_fraction_detected,0,0.0,,,
high,confirmed,detection_eligible_roster,30,30.0,0.36666666666666664,0.21873920806100708,0.5448643634520511
high,confirmed,detection_usable_lightcurve,30,30.0,0.36666666666666664,0.21873920806100708,0.5448643634520511
high,confirmed,freq_recovery_scorable,30,30.0,0.26666666666666666,0.14182663319596317,0.4444796169518888
high,confirmed_or_candidate,detection_eligible_roster,30,30.0,0.4666666666666667,0.30232388907699753,0.638577003801267
high,confirmed_or_candidate,detection_usable_lightcurve,30,30.0,0.4666666666666667,0.30232388907699753,0.638577003801267
high,confirmed_or_candidate,freq_recovery_scorable,30,30.0,0.3333333333333333,0.19230498083676134,0.5121994835545616
high,census,detection_eligible_roster,30,30.0,0.4666666666666667,0.30232388907699753,0.638577003801267
high,census,detection_usable_lightcurve,30,30.0,0.4666666666666667,0.30232388907699753,0.638577003801267
high,either,detection_eligible_roster,30,30.0,0.6333333333333333,0.4551356365479487,0.7812607919389929
high,either,detection_usable_lightcurve,30,30.0,0.6333333333333333,0.4551356365479487,0.7812607919389929
high,confirmed,correct_frequency_fraction_detected,11,11.0,0.7272727272727273,0.43435469882387084,0.902539407099751
best,confirmed,detection_eligible_roster,30,30.0,0.5333333333333333,0.36142299619873297,0.6976761109230025
best,confirmed,detection_usable_lightcurve,30,30.0,0.5333333333333333,0.36142299619873297,0.6976761109230025
best,confirmed,freq_recovery_scorable,30,30.0,0.23333333333333334,0.11792388144489496,0.40928326158122164
best,confirmed_or_candidate,detection_eligible_roster,30,30.0,0.7,0.5212421254128504,0.8333525173175619
best,confirmed_or_candidate,detection_usable_lightcurve,30,30.0,0.7,0.5212421254128504,0.8333525173175619
best,confirmed_or_candidate,freq_recovery_scorable,30,30.0,0.3,0.16664748268243793,0.47875787458714947
best,census,detection_eligible_roster,30,30.0,0.4666666666666667,0.30232388907699753,0.638577003801267
best,census,detection_usable_lightcurve,30,30.0,0.4666666666666667,0.30232388907699753,0.638577003801267
best,either,detection_eligible_roster,30,30.0,0.7333333333333333,0.555520383048111,0.8581733668040368
best,either,detection_usable_lightcurve,30,30.0,0.7333333333333333,0.555520383048111,0.8581733668040368
best,confirmed,correct_frequency_fraction_detected,16,16.0,0.4375,0.23098652405492354,0.6682144360118811
