arm,scenario,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,cadence_code,endpoint,denominator,n_strata_scheduled,n_targets_in_scenario,n_targets,n_targets_zero_usable_strata,p,lo,hi,interval,confirmatory
A,nominal,1.7,0.8,0,1.0,False,0,detection,usable,3,10,10,0,0.5,0.3333333333333333,0.6674999999999955,cluster_bootstrap,False
A,nominal,1.7,0.8,0,1.0,False,0,detection,eligible,3,10,10,0,0.5,0.3333333333333333,0.6674999999999955,cluster_bootstrap,False
A,nominal,1.7,0.8,0,1.0,False,0,freq_recovery,usable,3,10,10,0,0.33333333333333337,0.16666666666666666,0.5,cluster_bootstrap,False
A,nominal,1.7,0.8,0,1.0,False,0,freq_recovery,eligible,3,10,10,0,0.33333333333333337,0.16666666666666666,0.5,cluster_bootstrap,False
B,ampscale_0.7,1.7,0.8,0,0.7,False,0,detection,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False
B,ampscale_0.7,1.7,0.8,0,0.7,False,0,detection,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False
B,ampscale_0.7,1.7,0.8,0,0.7,False,0,freq_recovery,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False
B,ampscale_0.7,1.7,0.8,0,0.7,False,0,freq_recovery,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False
B,ampscale_1.3,1.7,0.8,0,1.3,False,0,detection,usable,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,ampscale_1.3,1.7,0.8,0,1.3,False,0,detection,eligible,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,ampscale_1.3,1.7,0.8,0,1.3,False,0,freq_recovery,usable,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,ampscale_1.3,1.7,0.8,0,1.3,False,0,freq_recovery,eligible,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,cadence_alt,1.7,0.8,0,1.0,False,1,detection,usable,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,cadence_alt,1.7,0.8,0,1.0,False,1,detection,eligible,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,cadence_alt,1.7,0.8,0,1.0,False,1,freq_recovery,usable,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,cadence_alt,1.7,0.8,0,1.0,False,1,freq_recovery,eligible,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,dropout,1.7,0.8,0,1.0,True,0,detection,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False
B,dropout,1.7,0.8,0,1.0,True,0,detection,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False
