pass,rule,scope,n,ess,p,lo,hi,inference
low,confirmed,detection_eligible_roster,30,30.0,0.36666666666666664,,,descriptive (window rows); see d2_cluster_completeness.csv
low,confirmed,detection_usable_lightcurve,30,30.0,0.36666666666666664,,,descriptive (window rows); see d2_cluster_completeness.csv
low,confirmed,freq_recovery_scorable,0,0.0,,,,descriptive (window rows); see d2_cluster_completeness.csv
low,confirmed_or_candidate,detection_eligible_roster,30,30.0,0.43333333333333335,,,descriptive (window rows); see d2_cluster_completeness.csv
low,confirmed_or_candidate,detection_usable_lightcurve,30,30.0,0.43333333333333335,,,descriptive (window rows); see d2_cluster_completeness.csv
low,confirmed_or_candidate,freq_recovery_scorable,0,0.0,,,,descriptive (window rows); see d2_cluster_completeness.csv
low,census,detection_eligible_roster,30,30.0,0.43333333333333335,,,descriptive (window rows); see d2_cluster_completeness.csv
low,census,detection_usable_lightcurve,30,30.0,0.43333333333333335,,,descriptive (window rows); see d2_cluster_completeness.csv
low,either,detection_eligible_roster,30,30.0,0.5333333333333333,,,descriptive (window rows); see d2_cluster_completeness.csv
low,either,detection_usable_lightcurve,30,30.0,0.5333333333333333,,,descriptive (window rows); see d2_cluster_completeness.csv
low,confirmed,correct_frequency_fraction_detected,0,0.0,,,,descriptive (window rows); see d2_cluster_completeness.csv
high,confirmed,detection_eligible_roster,30,30.0,0.26666666666666666,,,descriptive (window rows); see d2_cluster_completeness.csv
high,confirmed,detection_usable_lightcurve,30,30.0,0.26666666666666666,,,descriptive (window rows); see d2_cluster_completeness.csv
high,confirmed,freq_recovery_scorable,30,30.0,0.23333333333333334,,,descriptive (window rows); see d2_cluster_completeness.csv
high,confirmed_or_candidate,detection_eligible_roster,30,30.0,0.3,,,descriptive (window rows); see d2_cluster_completeness.csv
high,confirmed_or_candidate,detection_usable_lightcurve,30,30.0,0.3,,,descriptive (window rows); see d2_cluster_completeness.csv
high,confirmed_or_candidate,freq_recovery_scorable,30,30.0,0.23333333333333334,,,descriptive (window rows); see d2_cluster_completeness.csv
high,census,detection_eligible_roster,30,30.0,0.43333333333333335,,,descriptive (window rows); see d2_cluster_completeness.csv
high,census,detection_usable_lightcurve,30,30.0,0.43333333333333335,,,descriptive (window rows); see d2_cluster_completeness.csv
high,either,detection_eligible_roster,30,30.0,0.5333333333333333,,,descriptive (window rows); see d2_cluster_completeness.csv
high,either,detection_usable_lightcurve,30,30.0,0.5333333333333333,,,descriptive (window rows); see d2_cluster_completeness.csv
high,confirmed,correct_frequency_fraction_detected,8,8.0,0.875,,,descriptive (window rows); see d2_cluster_completeness.csv
best,confirmed,detection_eligible_roster,30,30.0,0.5666666666666667,,,descriptive (window rows); see d2_cluster_completeness.csv
best,confirmed,detection_usable_lightcurve,30,30.0,0.5666666666666667,,,descriptive (window rows); see d2_cluster_completeness.csv
best,confirmed,freq_recovery_scorable,30,30.0,0.16666666666666666,,,descriptive (window rows); see d2_cluster_completeness.csv
best,confirmed_or_candidate,detection_eligible_roster,30,30.0,0.6,,,descriptive (window rows); see d2_cluster_completeness.csv
best,confirmed_or_candidate,detection_usable_lightcurve,30,30.0,0.6,,,descriptive (window rows); see d2_cluster_completeness.csv
best,confirmed_or_candidate,freq_recovery_scorable,30,30.0,0.16666666666666666,,,descriptive (window rows); see d2_cluster_completeness.csv
best,census,detection_eligible_roster,30,30.0,0.43333333333333335,,,descriptive (window rows); see d2_cluster_completeness.csv
best,census,detection_usable_lightcurve,30,30.0,0.43333333333333335,,,descriptive (window rows); see d2_cluster_completeness.csv
best,either,detection_eligible_roster,30,30.0,0.6333333333333333,,,descriptive (window rows); see d2_cluster_completeness.csv
best,either,detection_usable_lightcurve,30,30.0,0.6333333333333333,,,descriptive (window rows); see d2_cluster_completeness.csv
best,confirmed,correct_frequency_fraction_detected,17,17.0,0.29411764705882354,,,descriptive (window rows); see d2_cluster_completeness.csv
