b_sid,control_sid,cluster,template_k,b_status,control_status,b_usable,control_usable,pair_usable,D_B,D_C,R_B,R_C
9200084456650220000,9500000000000000602,8445665,0,not_detected,not_run,True,False,False,False,False,False,False
9200084456651220000,9500000000000000257,8445665,1,confirmed,not_detected,True,True,True,True,False,False,False
9200084456652220000,9500000000000000089,8445665,2,confirmed,confirmed,True,True,True,True,True,True,False
9200337175650220000,9500000000000000610,33717565,0,not_detected,not_run,True,False,False,False,False,False,False
9200337175651220000,9500000000000000448,33717565,1,confirmed,not_run,True,False,False,True,False,False,False
9200337175652220000,9500000000000000865,33717565,2,confirmed,not_run,True,False,False,True,False,True,False
9201419762470220000,9500000000000000496,141976247,0,not_detected,not_run,True,False,False,False,False,False,False
9201419762471220000,9500000000000000306,141976247,1,not_detected,not_run,True,False,False,False,False,False,False
9201419762472220000,9500000000000000387,141976247,2,confirmed,not_run,True,False,False,True,False,False,False
9202018609260220000,9500000000000000409,201860926,0,not_detected,not_run,True,False,False,False,False,False,False
9202018609261220000,9500000000000000474,201860926,1,confirmed,not_run,True,False,False,True,False,False,False
9202018609262220000,9500000000000000601,201860926,2,confirmed,not_run,True,False,False,True,False,True,False
9202295813360220000,9500000000000000833,229581336,0,not_detected,not_run,True,False,False,False,False,False,False
9202295813361220000,9500000000000000370,229581336,1,not_detected,not_run,True,False,False,False,False,False,False
9202295813362220000,9500000000000000042,229581336,2,candidate,candidate,True,True,True,False,False,False,False
9206311612220220000,9500000000000000084,631161222,0,not_detected,not_detected,True,True,True,False,False,False,False
9206311612221220000,9500000000000000477,631161222,1,confirmed,not_run,True,False,False,True,False,False,False
9206311612222220000,9500000000000000141,631161222,2,confirmed,confirmed,True,True,True,True,True,False,False
9206838374510220000,9500000000000000632,683837451,0,not_detected,not_run,True,False,False,False,False,False,False
9206838374511220000,9500000000000000520,683837451,1,confirmed,not_run,True,False,False,True,False,False,False
9206838374512220000,9500000000000000353,683837451,2,not_detected,not_run,True,False,False,False,False,False,False
9207124068090220000,9500000000000000128,712406809,0,confirmed,confirmed,True,True,True,True,True,False,False
9207124068091220000,9500000000000000900,712406809,1,confirmed,not_run,True,False,False,True,False,False,False
9207124068092220000,9500000000000000170,712406809,2,confirmed,confirmed,True,True,True,True,True,False,False
9218604393620220000,9500000000000000786,1860439362,0,not_detected,not_run,True,False,False,False,False,False,False
9218604393621220000,9500000000000000286,1860439362,1,confirmed,confirmed,True,True,True,True,True,False,False
9218604393622220000,9500000000000000108,1860439362,2,confirmed,confirmed,True,True,True,True,True,True,False
9219892588830220000,9500000000000000786,1989258883,0,confirmed,not_run,True,False,False,True,False,False,False
9219892588831220000,9500000000000000458,1989258883,1,not_detected,not_run,True,False,False,False,False,False,False
9219892588832220000,9500000000000000098,1989258883,2,confirmed,candidate,True,True,True,True,False,True,False
