campaign_id,arm,scenario,tic,template_source_id,template_status,template_k,pool_index,template_exp_per_night,template_wg_contrasts,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,dropped_period_s,crowdsap,cadence_code,cadence_s,n_strata_scheduled,match,control_campaign_id,null_serial,n_modes_injected,n_modes_rejected,shard_sha256
9200011167460220000,B,nominal,1116746,4089730604499317760,not_detected,0,610,1.0,8,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,9500000000000000610,-1,1,0,dcce671eaa88230c7ac721536015c0dbb162a1f754410ff2f48802a273c595ae
9300011167460220000,A,nominal,1116746,4089730604499317760,not_detected,0,610,1.0,8,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,1,0,c5ace5a0281cfa1122eb41c61727798d4bf7947698a7dd20c969ab813d732955
9200011167461220000,B,nominal,1116746,3238056353617774336,not_detected,1,451,1.0,62,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,9500000000000000451,-1,1,0,90b126ffe523c33cedfad70bce1691475eae6fed49c6574f2485ed870980d0d3
9300011167461220000,A,nominal,1116746,3238056353617774336,not_detected,1,451,1.0,62,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,1,0,36ec473aacb704da824370c015672d4429daf8d61efb1acfe1d1b24fa6a68858
9200011167462220000,B,nominal,1116746,1555179177955997440,candidate,2,98,1.0,373,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,9500000000000000098,-1,1,0,5d38fac4a5460418e0876a9e1c296dedb243c3d504b7d2bbf1ed6cf1cbfaec02
9300011167462220000,A,nominal,1116746,1555179177955997440,candidate,2,98,1.0,373,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,1,0,9e7626babc880e4b9d32ae2b74a16f1b66037dec0cb5b3252d294a1847e9c87d
9200011167461110000,B,ladder_g1r1,1116746,3238056353617774336,not_detected,1,451,1.0,62,1.4,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000451,-1,1,0,0b2b9c7553d5c0f7672418b838bf8a79f0d658a61ec901e13ad7890e3226f33e
9200011167461120000,B,ladder_g1r2,1116746,3238056353617774336,not_detected,1,451,1.0,62,1.4,0.8,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000451,-1,1,0,a07a11d2d8f24a2de5bb12c2d05b4c54489122c72ae55b64ef14f2ce171622f6
9200011167461130000,B,ladder_g1r3,1116746,3238056353617774336,not_detected,1,451,1.0,62,1.4,0.9,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000451,-1,1,0,7a2326854bb01afd794b2eb8d79882bf669d0fd14818591a5772e9ea87fd6609
9200011167461210000,B,ladder_g2r1,1116746,3238056353617774336,not_detected,1,451,1.0,62,1.7,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000451,-1,1,0,b36092a7f07743bc6e363374bff0862a204e0d1645eb5f1d221c858b3a702030
9200011167461230000,B,ladder_g2r3,1116746,3238056353617774336,not_detected,1,451,1.0,62,1.7,0.9,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000451,-1,1,0,6de4c6a80afe0fdb9d9c53ddbcd590f5839098548d84540473e42ad19ba0227c
9200011167461310000,B,ladder_g3r1,1116746,3238056353617774336,not_detected,1,451,1.0,62,2.1,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000451,-1,1,0,3cee94c4af0506e66421c76a4cedad88b75047b2c8bc527caf801b85d2c43f54
9200011167461320000,B,ladder_g3r2,1116746,3238056353617774336,not_detected,1,451,1.0,62,2.1,0.8,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000451,-1,1,0,5a1e4cb184a5e6aa6530b34e52467e21f5d1fa7fd39a809f7cd267733318738c
9200011167461330000,B,ladder_g3r3,1116746,3238056353617774336,not_detected,1,451,1.0,62,2.1,0.9,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000451,-1,1,0,2b72fd4c61dbd8661ed9f7a7eb3a39379a0752dc38aa3a08e6aaed1f1c4c0141
9200011167461221000,B,phase_1,1116746,3238056353617774336,not_detected,1,451,1.0,62,1.7,0.8,1,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000451,-1,1,0,59ddad1bed6c2e435e971f40359d47a67f17bd2d725d6db5fecb4257e8d31e05
9200011167461222000,B,phase_2,1116746,3238056353617774336,not_detected,1,451,1.0,62,1.7,0.8,2,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000451,-1,1,0,89f9065161be213dce7a45a9a8c477f657eb8d071f3ba1467c2bafbc17c26751
9200011167461220100,B,ampscale_0.7,1116746,3238056353617774336,not_detected,1,451,1.0,62,1.7,0.8,0,0.7,False,,,0,20.0,1,tol_0.25,9500000000000000451,-1,1,0,2129f5b2bffe39d5db93644f29eddd485afac9d073291dd23a813376ea38b8d7
9200011167461220200,B,ampscale_1.3,1116746,3238056353617774336,not_detected,1,451,1.0,62,1.7,0.8,0,1.3,False,,,0,20.0,1,tol_0.25,9500000000000000451,-1,1,0,959339b2faa75c6b4f334afcbdd8fb57b470f02d3c3f4e16256344b27b3b0d32
9200056241840220000,B,nominal,5624184,3705386281897262848,not_detected,0,544,1.0,6,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,9500000000000000544,-1,3,0,62d55b60771d01cb1d630ddb39b979a9713d9ed2da6acf2a5c5b73c1eeeffca5
9300056241840220000,A,nominal,5624184,3705386281897262848,not_detected,0,544,1.0,6,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,3,0,3aec6a732b0ca13d7922a1278f9d885cbc71f89829bef96b1b7fc0c014a4e1ca
9200056241841220000,B,nominal,5624184,323342459647016448,confirmed,1,447,1.0,75,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,9500000000000000447,-1,3,0,2b98e5dd1ee866eb0666147275a7987b96560ae89907424a30c59d922abd6811
9300056241841220000,A,nominal,5624184,323342459647016448,confirmed,1,447,1.0,75,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,3,0,eff3cce26d6ecd771ec38ad9860fd8e478675eae8abba2843d34f3f8f6ef63cf
9200056241842220000,B,nominal,5624184,2260805780286092032,candidate,2,259,1.0,478,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,9500000000000000259,-1,3,0,c8a1ce98502e3b19b2a538afe2aa29e1e1076a3948d9f9913f6b584f737557df
9300056241842220000,A,nominal,5624184,2260805780286092032,candidate,2,259,1.0,478,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,3,0,36b2a8a6221f48a0aa0362b5b2a5bb2e95f975c2693ac4d665e162c4d3fb3b8e
9200056241841110000,B,ladder_g1r1,5624184,323342459647016448,confirmed,1,447,1.0,75,1.4,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000447,-1,3,0,4c549b4c71c9741c605ad7f87d4d01de2748210a0634cbad9d6128631108b636
9200056241841120000,B,ladder_g1r2,5624184,323342459647016448,confirmed,1,447,1.0,75,1.4,0.8,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000447,-1,3,0,13b832acf4f2c8ab52738f1c4ee7073f2237b59a5a3bf8208e9f2ad30c11eb27
9200056241841130000,B,ladder_g1r3,5624184,323342459647016448,confirmed,1,447,1.0,75,1.4,0.9,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000447,-1,3,0,f593b7c05332bf092c325e5ab3957fd8270c1766c03edc5be73a9ccac0723019
9200056241841210000,B,ladder_g2r1,5624184,323342459647016448,confirmed,1,447,1.0,75,1.7,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000447,-1,3,0,f2b430c1f4ef901347f0c2dae3c4451b75f36f37fa6903c3b6a592f748e8fa71
9200056241841230000,B,ladder_g2r3,5624184,323342459647016448,confirmed,1,447,1.0,75,1.7,0.9,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000447,-1,3,0,5fad4b41d8e0c8f11d4c3ccfcc5f03d908fb3b23580d9dad35f7cf7b8df770fa
