dataset,selection,bin_index,freq_lo_per_day,freq_hi_per_day,n_confirmed_total,n_bin,share_of_confirmed,density_per_day,analysis_status,prespecified,interval
D1,"blind_status==""confirmed"" (928-star published catalog)",0,0.0,0.25,342,22,0.06432748538011696,0.2573099415204678,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",1,0.25,0.5,342,9,0.02631578947368421,0.10526315789473684,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",2,0.5,0.75,342,7,0.02046783625730994,0.08187134502923976,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",3,0.75,0.98,342,19,0.05555555555555555,0.24154589371980678,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",4,0.98,1.02,342,14,0.04093567251461988,1.0233918128654962,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",5,1.02,1.25,342,17,0.049707602339181284,0.21612001017035343,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",6,1.25,1.5,342,13,0.038011695906432746,0.15204678362573099,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",7,1.5,1.75,342,12,0.03508771929824561,0.14035087719298245,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",8,1.75,1.98,342,12,0.03508771929824561,0.15255530129672007,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",9,1.98,2.02,342,2,0.005847953216374269,0.14619883040935658,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",10,2.02,2.25,342,4,0.011695906432748537,0.05085176709890669,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",11,2.25,2.5,342,5,0.014619883040935672,0.05847953216374269,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",12,2.5,2.75,342,4,0.011695906432748537,0.04678362573099415,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",13,2.75,2.98,342,5,0.014619883040935672,0.06356470887363336,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",14,2.98,3.02,342,2,0.005847953216374269,0.14619883040935658,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",15,3.02,3.25,342,7,0.02046783625730994,0.0889905924230867,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",16,3.25,3.5,342,8,0.023391812865497075,0.0935672514619883,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",17,3.5,3.75,342,4,0.011695906432748537,0.04678362573099415,postlaunch_descriptive,False,none
D1,"blind_status==""confirmed"" (928-star published catalog)",18,3.75,4.0,342,8,0.023391812865497075,0.0935672514619883,postlaunch_descriptive,False,none
