class_label,pass,band,n_roster,n_json,n_pass_available,n_finite,n_missing,min,p05,p10,p25,p50,p75,p90,p95,max,analysis_status,prespecified,interval
dsct_flag0,low,zg,2314,2244,2244,2244,70,1.2495245827567212,1.7083751286463302,1.8375698072806335,2.1408440626246703,2.6164593826568012,3.6418750415892704,7.903150422550119,9.601263638313055,204.11590008415374,postlaunch_descriptive,False,none
dsct_flag0,low,zr,2314,2244,2244,2244,70,1.3103193232315018,1.7472530523868297,1.8814344430345222,2.1850517180760187,2.867371677273135,4.663292379526169,8.134334720782071,10.028606810093489,113.50980222368307,postlaunch_descriptive,False,none
dsct_flag0,high,zg,2314,2244,2244,2244,70,0.20629144344598005,0.5878097495493426,0.6807506711707058,0.8347520926001913,1.0305419562721365,1.4770131583731072,3.4779174907161385,4.371246830774108,10.563528417115567,postlaunch_descriptive,False,none
dsct_flag0,high,zr,2314,2244,2244,2244,70,0.6583371348149185,0.8469962005290463,0.8942962251298178,0.977484101533597,1.0898759617635325,1.3108969948264417,3.8053479122524285,4.649031530411619,28.45266755287865,postlaunch_descriptive,False,none
dsct_flag1,low,zg,610,585,585,585,25,1.4325879280532527,1.8948693597883486,2.1226720290446077,2.4604427482174884,2.981329007791743,4.601316121805969,8.172588262267935,10.316963459954895,54.14693003836161,postlaunch_descriptive,False,none
dsct_flag1,low,zr,610,585,585,585,25,1.5174022854427862,1.8552219279520568,2.0157604669175457,2.37013215536524,3.1455376146993794,5.00410047488101,8.1017080515017,10.34657400273644,63.68792092804654,postlaunch_descriptive,False,none
dsct_flag1,high,zg,610,585,585,585,25,0.3952859938804866,0.6409448014401667,0.7007809290778649,0.8546813567795277,1.1541512745337337,1.6947464516950903,3.587735732124439,4.616381254910804,20.978488664199155,postlaunch_descriptive,False,none
dsct_flag1,high,zr,610,585,585,585,25,0.7917745331406353,0.8859910517134454,0.9313821893163683,1.0314115100370091,1.1523997074692711,1.4225521581645606,3.5860876171113616,4.415616221343805,20.63005491428548,postlaunch_descriptive,False,none
dsct_flag2,low,zg,76,72,72,72,4,1.6570853143779418,1.8213121586620384,1.8652923360796712,2.1014886979230676,2.5635428402629143,3.471192529800721,7.534684578293683,8.591479412129162,21.292718286726533,postlaunch_descriptive,False,none
dsct_flag2,low,zr,76,72,72,72,4,1.5774910666519675,1.757697556427259,1.8071858571670751,2.030157868824787,2.5986121540119274,4.518749358133531,6.7725363808799175,10.29574475738098,24.448075405897537,postlaunch_descriptive,False,none
dsct_flag2,high,zg,76,72,72,72,4,0.37772834581488074,0.6048963982064324,0.7484419469826499,0.9133870803988652,1.1413964425168688,1.4802763982757257,4.194401097673506,4.936406567810343,7.096447172860635,postlaunch_descriptive,False,none
dsct_flag2,high,zr,76,72,72,72,4,0.8346676537643073,0.879467350243976,0.9145191301653788,0.9599142724184013,1.0842813100441933,1.5052848110329209,4.089966406757074,4.344183304489788,7.401424154355665,postlaunch_descriptive,False,none
