stratifier,stratum,pass_basis,rule,n_negative,k_confirmed,rate,analysis_status,prespecified,interval
magnitude,g_le_14,best,confirmed,1092,484,0.4432234432234432,postlaunch_descriptive,False,none
magnitude,g_gt_14,best,confirmed,1222,479,0.39198036006546644,postlaunch_descriptive,False,none
magnitude,g_unknown,best,confirmed,0,0,,postlaunch_descriptive,False,none
teff,<6597,best,confirmed,716,290,0.40502793296089384,postlaunch_descriptive,False,none
teff,"[6597,6737)",best,confirmed,698,275,0.3939828080229226,postlaunch_descriptive,False,none
teff,"[6737,7092.5)",best,confirmed,615,265,0.43089430894308944,postlaunch_descriptive,False,none
teff,>=7092.5,best,confirmed,285,133,0.4666666666666667,postlaunch_descriptive,False,none
teff,teff_unknown,best,confirmed,0,0,,postlaunch_descriptive,False,none
merged_oid,oid_le_1,best,confirmed,46,0,0.0,postlaunch_descriptive,False,none
merged_oid,oid_2,best,confirmed,438,107,0.24429223744292236,postlaunch_descriptive,False,none
merged_oid,oid_3_4,best,confirmed,1439,670,0.46560111188325226,postlaunch_descriptive,False,none
merged_oid,oid_ge_5,best,confirmed,391,186,0.47570332480818417,postlaunch_descriptive,False,none
merged_oid,oid_unknown,best,confirmed,0,0,,postlaunch_descriptive,False,none
pass,low,low,confirmed,2314,920,0.3975799481417459,postlaunch_descriptive,False,none
pass,high,high,confirmed,2314,85,0.03673292999135696,postlaunch_descriptive,False,none
sky,RAq1_DECq1,best,confirmed,72,44,0.6111111111111112,postlaunch_descriptive,False,none
sky,RAq1_DECq2,best,confirmed,195,118,0.6051282051282051,postlaunch_descriptive,False,none
sky,RAq1_DECq3,best,confirmed,184,77,0.41847826086956524,postlaunch_descriptive,False,none
sky,RAq1_DECq4,best,confirmed,200,107,0.535,postlaunch_descriptive,False,none
sky,RAq2_DECq1,best,confirmed,192,52,0.2708333333333333,postlaunch_descriptive,False,none
sky,RAq2_DECq2,best,confirmed,179,73,0.40782122905027934,postlaunch_descriptive,False,none
sky,RAq2_DECq3,best,confirmed,106,30,0.2830188679245283,postlaunch_descriptive,False,none
sky,RAq2_DECq4,best,confirmed,138,70,0.5072463768115942,postlaunch_descriptive,False,none
sky,RAq3_DECq1,best,confirmed,171,36,0.21052631578947367,postlaunch_descriptive,False,none
sky,RAq3_DECq2,best,confirmed,122,48,0.39344262295081966,postlaunch_descriptive,False,none
sky,RAq3_DECq3,best,confirmed,131,41,0.31297709923664124,postlaunch_descriptive,False,none
sky,RAq3_DECq4,best,confirmed,156,75,0.4807692307692308,postlaunch_descriptive,False,none
sky,RAq4_DECq1,best,confirmed,82,35,0.4268292682926829,postlaunch_descriptive,False,none
sky,RAq4_DECq2,best,confirmed,91,37,0.4065934065934066,postlaunch_descriptive,False,none
sky,RAq4_DECq3,best,confirmed,136,50,0.36764705882352944,postlaunch_descriptive,False,none
sky,RAq4_DECq4,best,confirmed,159,70,0.44025157232704404,postlaunch_descriptive,False,none
sky,sky_unknown,best,confirmed,0,0,,postlaunch_descriptive,False,none
