sid,KIC,best_status,best_frequency_per_day,baseline_days,tolerance_per_day,aliased_dominant,table1_alias_uhz,fR_uhz,fR_per_day,nyquist_reflection_per_day,best_candidate_match_fR,matches_nyquist_reflection,best_candidate_matches_any_mode_plus_fR,any_top_peak_matches_any_mode_plus_fR,analysis_status,prespecified,interval
9000000000003529242,3529242,not_detected,1070.625227587837,2142.137644787319,0.0007002351149797037,True,212.160744,354.263256,30.608345318399998,18.3286146816,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000003655115,3655115,not_detected,1.0026110032818352,2743.7360960487276,0.0005466998091252872,True,273.634988,292.789012,25.2969706368,23.639989363199998,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000003757814,3757814,not_detected,26.419231361649892,2743.736144618597,0.000546699799447557,True,249.040206,317.383794,27.421959801600003,21.515000198399996,window_alias,False,window_alias,True,postlaunch_descriptive,False,none
9000000000003868588,3868588,confirmed,0.99733600017096,2761.657053919509,0.0005431521621669535,True,138.147148,428.276852,37.003120012800004,11.933839987199995,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000004077275,4077275,confirmed,1.9689265434536989,2761.657116197981,0.0005431521499182617,True,148.250323,418.173677,36.1302056928,12.806754307200002,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000004178654,4178654,confirmed,0.0338926943026575,2761.6571041583084,0.0005431521522861784,True,275.812347,290.611653,25.108846819199997,23.828113180800003,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000004580484,4580484,confirmed,0.9661590456251318,2761.657112337649,0.000543152150677497,True,260.078232,306.345768,26.4682743552,22.4686856448,unmatched,False,unmatched,True,postlaunch_descriptive,False,none
9000000000004679562,4679562,confirmed,0.9661589799468016,2761.657300071791,0.000543152113754667,True,254.531472,311.892528,26.947514419200004,21.989445580799995,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000004852661,4852661,confirmed,0.966195263813168,2761.65708934376,0.0005431521551998471,True,272.83966,293.58434,25.365686976,23.571273024,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000004903473,4903473,not_detected,0.0340050440428171,2746.6513462648727,0.0005461195510088406,True,93.016431,473.407569,40.902413961600004,8.034546038399995,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000004945346,4945346,confirmed,0.9661590061638184,2761.6572251333855,0.0005431521284932642,True,242.119671,324.304329,28.019894025600003,20.917065974399996,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000005019234,5019234,confirmed,33.62794276107771,2743.736084468197,0.0005466998114327517,True,275.507798,290.916202,25.1351598528,23.801800147199998,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000005295005,5295005,candidate,4.67501904411709,2761.657199289184,0.0005431521335762024,True,191.087321,375.336679,32.4290890656,16.507870934399996,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000005462692,5462692,not_detected,0.999254192276582,2167.016177401878,0.0006921960323334594,True,227.685001,338.738999,29.2670495136,19.6699104864,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000005482510,5482510,confirmed,1.001408464257354,2763.7074168855324,0.000542749203781627,True,137.032057,429.391943,37.0994638752,11.837496124799998,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000005819178,5819178,confirmed,1.9688900794799635,2761.6574722323567,0.0005431520798947926,True,266.158902,300.265098,25.942904467200005,22.994055532799994,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000006041680,6041680,confirmed,0.0054618067786674,2764.6529091759585,0.0005425635872848483,True,122.976821,443.447179,38.3138362656,10.623123734399996,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000006139591,6139591,confirmed,29.95886052054418,2761.6571045238525,0.0005431521522142846,True,219.675326,346.748674,29.959085433600002,18.977874566399997,direct,False,direct,True,postlaunch_descriptive,False,none
9000000000006520969,6520969,confirmed,0.0338559682196145,2764.652878713794,0.0005425635932630532,True,112.772973,453.651027,39.1954487328,9.741511267199996,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000007021890,7021890,candidate,1077.567503144517,2142.13175070798,0.0007002370416778736,True,174.853505,391.570495,33.831690768,15.105269231999998,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000007455624,7455624,confirmed,1.0055513570598626,2764.6524272300303,0.0005425636818668323,True,279.24376,287.18024,24.812372736,24.124587264,unmatched,False,unmatched,True,postlaunch_descriptive,False,none
9000000000007909392,7909392,candidate,0.9661972787299988,2764.65278758714,0.000542563611146675,True,212.476283,353.947717,30.581082748800004,18.355877251199995,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000007977956,7977956,confirmed,0.0338921402988436,2764.6527830287814,0.0005425636120412536,True,260.916704,305.507296,26.395830374400003,22.541129625599996,unmatched,False,unmatched,True,postlaunch_descriptive,False,none
9000000000008004558,8004558,confirmed,25.52137398728151,2762.7195947654545,0.0005429432660636502,True,271.037497,295.386503,25.5213938592,23.4155661408,direct,False,direct,True,postlaunch_descriptive,False,none
9000000000008120184,8120184,candidate,1.0054426609614289,2764.65293141827,0.0005425635829197911,True,175.224816,391.199184,33.799609497599995,15.137350502400004,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000008129588,8129588,candidate,0.0020624469004058,2763.7075159987435,0.0005427491843173328,True,261.132376,305.291624,26.3771963136,22.5597636864,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000008571022,8571022,not_detected,45.00042189105836,2771.8095688517205,0.000541162717979001,True,230.222949,336.201051,29.047770806400003,19.889189193599996,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000008848942,8848942,candidate,0.0017148343875499,2740.789451227989,0.0005472875704946751,True,117.977303,448.446697,38.7457946208,10.191165379200001,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000009115188,9115188,not_detected,1008.8432182100764,1945.8319502701052,0.0007708784922520065,True,263.41833,303.00567,26.179689888,22.757270112,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000009178501,9178501,not_detected,1237.2109680864196,2743.7684686039574,0.0005466933588471506,True,240.33181,326.09219,28.174365216,20.762594783999997,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000009228115,9228115,confirmed,1.7941348365613394,2771.8095087721013,0.0005411627297088295,True,170.598681,395.825319,34.1993075616,14.737652438399998,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000009265050,9265050,not_detected,1123.3222667855937,2142.131630687043,0.0007002370809112729,True,195.318023,371.105977,32.0635564128,16.873403587200002,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000009267042,9267042,missing,,,,True,280.964638,285.459362,24.663688876800002,24.273271123199997,unscored,,unscored,False,postlaunch_descriptive,False,none
9000000000009488445,9488445,candidate,1.044330112092937,2743.768437603954,0.0005466933650238729,True,245.382739,321.041261,27.737964950400002,21.198995049599997,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000009488454,9488454,candidate,0.338986332517907,2743.7684377757832,0.0005466933649896362,True,245.382726,321.041274,27.7379660736,21.1989939264,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000009649801,9649801,confirmed,0.0338449645914868,2753.7331217490137,0.0005447150953565485,True,166.816086,399.607914,34.5261237696,14.410836230400001,unmatched,False,unmatched,True,postlaunch_descriptive,False,none
9000000000010056931,10056931,not_detected,1.0025286684761916,2770.7935816161335,0.0005413611500879427,True,269.186046,297.237954,25.6813592256,23.255600774399998,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000011179734,11179734,not_detected,1125.7223228584944,2141.118910870049,0.0007005682834263844,True,141.19623,425.22777,36.739679328,12.197280671999998,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
9000000000011355938,11355938,confirmed,31.942140857124222,2771.809313889593,0.0005411627677573163,True,196.721241,369.702759,31.942318377600003,16.994641622399996,direct,False,direct,True,postlaunch_descriptive,False,none
9000000000011858293,11858293,confirmed,0.0338768043053999,2771.8080830024555,0.0005411630080734818,True,256.728363,309.695637,26.7577030368,22.1792569632,unmatched,False,unmatched,False,postlaunch_descriptive,False,none
