sid,external_id,class_label,label_positive,weight,cluster,primary_freq,amp,truth_period_days,freq_scorable,stratum,near_saturation,subhour,baseline_days,n_exp_zg,n_exp_zr,best_pass,best_status,best_frequency_per_day,low_available,high_available,low_status,low_frequency_per_day,low_match,low_match_primary,low_eligible,high_status,high_frequency_per_day,high_match,high_match_primary,high_eligible,best_candidate_matches_any_mode,best_candidate_matches_dominant,any_top_peak_matches_any_mode,eligible_any_pass,census_variable,census_g_nightly,median_exp_per_night,prov_valid,platform_boundary_sensitive,platform_boundary_fields
9000000000001570023,KIC 1570023,dsct_flag1,True,1.0,9000000000001570023,15.9271792992,1.7687138700000002,0.06278575642394059,True,subhour,True,True,2764.6522845728323,724.0,1153.0,low,confirmed,0.3320489904363654,True,True,confirmed,0.3320489904363654,unmatched,unmatched,True,not_detected,1056.2551287642113,unmatched,unmatched,False,unmatched,unmatched,True,True,False,False,1.0,True,False,
9000000000001573149,KIC 1573149,dsct_flag1,True,1.0,9000000000001573149,7.3975245408,0.0694848,0.13518035587237887,True,amp_lt1,True,False,2746.700246270746,1380.0,2198.0,low,not_detected,1.0025120155497937,True,True,not_detected,1.0025120155497937,unmatched,unmatched,True,not_detected,606.0515005853362,unmatched,unmatched,False,unmatched,unmatched,False,True,False,False,2.0,True,False,
9000000000001573174,KIC 1573174,dsct_flag1,True,1.0,9000000000001573174,7.3975253184,67.80869634000001,0.135180341662729,True,subhour,True,True,2749.65985479299,1382.0,2232.0,low,confirmed,7.397533176528616,True,True,confirmed,7.397533176528616,ambiguous,direct,True,candidate,1064.9731934699582,unmatched,unmatched,True,ambiguous,direct,False,True,True,True,2.0,True,False,
9000000000001575977,KIC 1575977,dsct_flag1,True,1.0,9000000000001575977,0.1640413728,14.28878913,6.096023112530304,True,subhour,True,True,2743.7358536515385,728.0,1161.0,low,not_detected,1.0002056124855134,True,True,not_detected,1.0002056124855134,unmatched,unmatched,True,not_detected,1335.1089011037398,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,1.0,True,False,
9000000000002167444,KIC 2167444,dsct_flag1,True,1.0,9000000000002167444,,,,False,amp_unknown,False,False,2743.736001706682,784.0,1223.0,low,not_detected,1.0025016977905485,True,True,not_detected,1.0025016977905485,unscored,unmatched,False,not_detected,345.03106838708317,unscored,unmatched,False,unscored,unmatched,False,False,False,False,1.0,True,False,
9000000000002168420,KIC 2168420,dsct_flag1,True,1.0,9000000000002168420,19.1111488992,1.9300488900000004,0.05232547793303313,True,subhour,True,True,2743.736032031942,710.0,1145.0,low,confirmed,1.0014447337213859,True,True,confirmed,1.0014447337213859,unmatched,unmatched,True,not_detected,380.86031329875436,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,1.0,True,False,
9000000000002300603,KIC 2300603,dsct_flag1,True,1.0,9000000000002300603,7.641366940800001,7.776434820000001,0.13086663783421276,True,amp_ladder_6,True,False,2764.6523273042403,667.0,1194.0,low,confirmed,7.641394829779324,True,True,confirmed,7.641394829779324,ambiguous,direct,True,not_detected,34.581764553565364,unmatched,unmatched,True,ambiguous,direct,False,True,False,False,1.0,True,False,
9000000000002301163,KIC 2301163,dsct_flag1,True,1.0,9000000000002301163,,,,False,amp_unknown,False,False,2539.9838874442503,153.0,325.0,low,not_detected,0.0031889966074352843,True,True,not_detected,0.0031889966074352843,unscored,unmatched,False,not_detected,761.5880253654248,unscored,unmatched,False,unscored,unmatched,False,False,False,False,1.0,True,False,
9000000000002310586,KIC 2310586,dsct_flag1,True,1.0,9000000000002310586,1.4518290528000002,1.17451026,0.6887863265109608,True,amp_ladder_1,True,False,2743.7360196225345,675.0,1091.0,low,candidate,0.9971804796207769,True,True,candidate,0.9971804796207769,unmatched,unmatched,True,not_detected,723.4273087044321,unmatched,unmatched,False,unmatched,unmatched,False,True,False,False,1.0,True,False,
9000000000002438249,KIC 2438249,dsct_flag1,True,1.0,9000000000002438249,1.3827880224000002,4.211430300000001,0.7231766429856515,True,subhour,False,True,2764.652232574299,728.0,1235.0,low,confirmed,0.6198971356351028,True,True,confirmed,0.6198971356351028,unmatched,unmatched,True,not_detected,35.3723887690294,unmatched,unmatched,False,unmatched,unmatched,False,True,False,False,1.0,True,False,
