period_bin,amp_bin,n,k,p,lo,hi
-1,-1,154,89,0.577922077922078,0.49895305166842124,0.6530982546190078
5,0,16,5,0.3125,0.14164643854782039,0.5559564416525933
5,1,14,5,0.35714285714285715,0.1634473175355414,0.612355768960926
5,2,15,7,0.4666666666666667,0.24809535365737387,0.698830199745016
5,3,11,4,0.36363636363636365,0.15166471095367573,0.6461988254921511
5,4,7,5,0.7142857142857143,0.35893445183261935,0.9177810759959433
5,5,4,2,,,
6,0,38,16,0.42105263157894735,0.27852501157758713,0.5780765465632945
6,1,30,9,0.3,0.16664748268243793,0.47875787458714947
6,2,58,28,0.4827586206896552,0.3592818542405501,0.6083773821659054
6,3,67,45,0.6716417910447762,0.5525818124773147,0.7720868262391041
6,4,36,28,0.7777777777777778,0.6191529705388181,0.8828366802420353
6,5,16,10,0.625,0.38641040545502714,0.8151876744113636
6,6,12,10,0.8333333333333334,0.5519691377470266,0.9530348578161463
6,7,5,5,1.0,0.5655175352168251,1.0
7,0,22,8,0.36363636363636365,0.19733204670366125,0.5704829190986899
7,1,21,5,0.23809523809523808,0.10628013022636468,0.4509117368295075
7,2,20,10,0.5,0.2992980081982123,0.7007019918017877
7,3,21,13,0.6190476190476191,0.4087865377511576,0.7924898863143551
7,4,6,6,1.0,0.6096657120978346,1.0
7,6,1,0,,,
7,7,1,1,,,
8,0,8,2,0.25,0.071479212752109,0.5907245696898311
8,1,5,1,0.2,0.03622410863243014,0.6244653702374747
8,2,4,2,,,
8,3,7,4,0.5714285714285714,0.2504583645276572,0.8417801447485302
8,4,2,0,,,
8,5,3,2,,,
8,6,5,4,0.8,0.37553462976252533,0.9637758913675698
8,7,1,1,,,
