exp_per_night_bin,amp_bin,n,k,p,lo,hi
1,0,65,0,0.0,0.0,0.05580153132285689
1,1,59,0,0.0,0.0,0.061129370526788386
1,2,72,6,0.08333333333333333,0.038752424956949666,0.17012355220676517
1,3,89,23,0.25842696629213485,0.1788154348613038,0.3580294128371103
1,4,42,17,0.40476190476190477,0.27042861147481323,0.5550568724996064
1,5,16,6,0.375,0.18481232558863633,0.6135895945449727
1,6,12,7,0.5833333333333334,0.31951131254954973,0.8067396863412435
1,7,5,3,0.6,0.2307242812760128,0.882379225767352
3,0,17,0,0.0,0.0,0.1843181350088518
3,1,10,0,0.0,0.0,0.2775327998628892
3,2,23,1,0.043478260869565216,0.007716666143453149,0.20991155070258877
3,3,11,3,0.2727272727272727,0.09746059290024889,0.5656453011761291
3,4,8,3,0.375,0.13684428582359742,0.6942576053973727
3,5,4,1,,,
3,6,4,0,,,
3,7,2,2,,,
4,0,1,0,,,
4,2,1,0,,,
