period_bin,amp_bin,n,k,p,lo,hi
5,0,15,0,0.0,0.0,0.20388330103584862
5,1,14,0,0.0,1.3877787807814457e-17,0.2153108027376358
5,2,14,2,0.14285714285714285,0.040093921271464966,0.39941379496970353
5,3,9,1,0.1111111111111111,0.019890887638544907,0.434999705576656
5,4,7,0,0.0,5.551115123125783e-17,0.35433043506668743
5,5,4,1,,,
6,0,38,0,0.0,0.0,0.09180986822558396
6,1,30,0,0.0,0.0,0.11351339317396876
6,2,58,4,0.06896551724137931,0.027144247017578338,0.1643366631438035
6,3,64,24,0.375,0.2666598017882464,0.497496213159955
6,4,35,17,0.4857142857142857,0.32994236002509725,0.6443119540413141
6,5,13,6,0.46153846153846156,0.23206067809538303,0.7085620428549398
6,6,10,4,0.4,0.16818032970623614,0.6873262302663417
6,7,5,3,0.6,0.2307242812760128,0.882379225767352
7,0,22,0,0.0,0.0,0.14865487460862087
7,1,21,0,0.0,0.0,0.154639018924847
7,2,20,1,0.05,0.008881448800795402,0.23613119344674205
7,3,20,1,0.05,0.008881448800795402,0.23613119344674205
7,4,6,3,0.5,0.1876163064826506,0.8123836935173494
7,6,1,0,,,
7,7,1,1,,,
8,0,8,0,0.0,0.0,0.32440756488388023
8,1,4,0,,,
8,2,4,0,,,
8,3,7,0,0.0,5.551115123125783e-17,0.35433043506668743
8,4,2,0,,,
8,5,3,0,,,
8,6,5,3,0.6,0.2307242812760128,0.882379225767352
8,7,1,1,,,
