pass,rule,scope,n,ess,p,lo,hi
low,confirmed,detection_eligible_roster,610,610.0,0.5081967213114754,0.4685967462442903,0.5476941051739437
low,confirmed,detection_usable_lightcurve,585,585.0,0.5299145299145299,0.48940635628845053,0.5700323932691918
low,confirmed,freq_recovery_scorable,441,441.0,0.16326530612244897,0.131703524276826,0.20064287889483925
low,confirmed_or_candidate,detection_eligible_roster,610,610.0,0.6344262295081967,0.5954780558874596,0.6716919073715798
low,confirmed_or_candidate,detection_usable_lightcurve,585,585.0,0.6615384615384615,0.6222509397519345,0.6987183078593342
low,confirmed_or_candidate,freq_recovery_scorable,441,441.0,0.16780045351473924,0.13582481316175773,0.2055135576439592
low,census,detection_eligible_roster,610,610.0,0.040983606557377046,0.027911939304727643,0.05980038127416218
low,census,detection_usable_lightcurve,585,585.0,0.042735042735042736,0.029111574914439668,0.06232468184731321
low,either,detection_eligible_roster,610,610.0,0.519672131147541,0.48002549449712717,0.5590725489066346
low,either,detection_usable_lightcurve,585,585.0,0.5418803418803418,0.5013632237023545,0.5818510256783446
low,confirmed,correct_frequency_fraction_detected,224,224.0,0.32142857142857145,0.2637228812285466,0.38515577143598845
high,confirmed,detection_eligible_roster,610,610.0,0.10983606557377049,0.08742163454965615,0.1371338379424002
high,confirmed,detection_usable_lightcurve,585,585.0,0.11452991452991453,0.09120054974574576,0.14288870595434872
high,confirmed,freq_recovery_scorable,208,208.0,0.0,0.0,0.018133649768460082
high,confirmed_or_candidate,detection_eligible_roster,610,610.0,0.1819672131147541,0.15337143780524157,0.214543527167275
high,confirmed_or_candidate,detection_usable_lightcurve,585,585.0,0.18974358974358974,0.16003333272430587,0.22350192186357504
high,confirmed_or_candidate,freq_recovery_scorable,208,208.0,0.0,0.0,0.018133649768460082
high,census,detection_eligible_roster,610,610.0,0.040983606557377046,0.027911939304727643,0.05980038127416218
high,census,detection_usable_lightcurve,585,585.0,0.042735042735042736,0.029111574914439668,0.06232468184731321
high,either,detection_eligible_roster,610,610.0,0.1377049180327869,0.11261825925548075,0.16732610805857162
high,either,detection_usable_lightcurve,585,585.0,0.14358974358974358,0.11749579996846196,0.17433395530191362
high,confirmed,correct_frequency_fraction_detected,26,26.0,0.0,0.0,0.1287289218592153
best,confirmed,detection_eligible_roster,610,610.0,0.5360655737704918,0.4963882978758084,0.5752914483644217
best,confirmed,detection_usable_lightcurve,585,585.0,0.558974358974359,0.5184847881503684,0.5986944609775552
best,confirmed,freq_recovery_scorable,441,441.0,0.16326530612244897,0.131703524276826,0.20064287889483925
best,confirmed_or_candidate,detection_eligible_roster,610,610.0,0.6672131147540984,0.6288754787945469,0.703457890137429
best,confirmed_or_candidate,detection_usable_lightcurve,585,585.0,0.6957264957264957,0.6572655942535178,0.7316336528521991
best,confirmed_or_candidate,freq_recovery_scorable,441,441.0,0.16780045351473924,0.13582481316175773,0.2055135576439592
best,census,detection_eligible_roster,610,610.0,0.040983606557377046,0.027911939304727643,0.05980038127416218
best,census,detection_usable_lightcurve,585,585.0,0.042735042735042736,0.029111574914439668,0.06232468184731321
best,either,detection_eligible_roster,610,610.0,0.5475409836065573,0.5078675849305893,0.5866193532951686
best,either,detection_usable_lightcurve,585,585.0,0.5709401709401709,0.5304983466149248,0.6104564023360556
best,confirmed,correct_frequency_fraction_detected,238,238.0,0.3025210084033613,0.2476798878811367,0.3636357216988839
