sid,class_label,best_status,best_pass,best_frequency_per_day,baseline_days
9000000000000892667,dsct_flag0,confirmed,low,0.03389134033882885,2770.6192514440045
9000000000001164418,dsct_flag0,confirmed,low,0.9661377727136382,2770.619341878686
9000000000001864178,dsct_flag0,candidate,low,1.603854512502344,2764.652258316055
9000000000001864603,dsct_flag0,confirmed,low,0.3320128208476753,2764.6522735371254
9000000000001873030,dsct_flag0,candidate,low,1.9561649300166057,2743.735928214621
9000000000002141938,dsct_flag0,confirmed,low,2.006314392315561,2746.628355509136
9000000000002155343,dsct_flag0,confirmed,low,2.0310330273149817,2764.6522358246148
9000000000002159852,dsct_flag0,confirmed,low,2.1104642322832605,2764.6523976800963
9000000000002163636,dsct_flag0,candidate,low,2.007700539353594,2743.7358769518323
9000000000002164726,dsct_flag0,candidate,low,1.0055268028765738,2743.7359124664217
9000000000002438566,dsct_flag0,confirmed,low,0.7118435990645123,2764.652239040006
9000000000002554543,dsct_flag0,candidate,low,2.5254750027163246,2746.6516170380637
9000000000002555530,dsct_flag0,confirmed,low,2.0063701819118056,2746.6516646239907
9000000000002556166,dsct_flag0,candidate,low,2.9943003004881423,2746.651696444489
9000000000002570469,dsct_flag0,confirmed,low,0.5643386109420446,2764.652231389191
9000000000002572232,dsct_flag0,candidate,low,0.7560082722252953,2764.652288589161
9000000000002581964,dsct_flag0,confirmed,low,0.6976254378119685,2743.7359595191665
9000000000002696217,dsct_flag0,confirmed,low,0.8580629063175562,2746.6517695239745
9000000000002706947,dsct_flag0,confirmed,low,0.9936150412434276,2764.6521902107634
9000000000002708203,dsct_flag0,confirmed,low,0.9322691540965301,2764.6522344695404
9000000000002709111,dsct_flag0,confirmed,low,8.362208970601596,2764.6522684707306
9000000000002709528,dsct_flag0,confirmed,low,3.7441236492008994,2764.652284442913
9000000000002861753,dsct_flag0,candidate,low,0.9969982346926022,2743.7360516926274
9000000000002982949,dsct_flag0,confirmed,low,2.9801940767176047,2764.652162880171
9000000000002989122,dsct_flag0,candidate,low,0.1731501584987187,2764.652392758522
9000000000002992648,dsct_flag0,confirmed,low,2.000192551020018,2743.735845432151
9000000000003003327,dsct_flag0,confirmed,low,2.000155855620656,2743.7361866468564
9000000000003113440,dsct_flag0,confirmed,low,1.012279194831064,2764.6522958194837
9000000000003115969,dsct_flag0,candidate,low,3.8691663475970106,2764.6523925350048
9000000000003120162,dsct_flag0,candidate,low,0.9972898739746765,2743.7358699878678
9000000000003123830,dsct_flag0,candidate,low,1.0054538776300836,2743.735999608878
9000000000003128673,dsct_flag0,candidate,low,0.012683435279931581,2743.736159166787
9000000000003128830,dsct_flag0,candidate,low,0.8711479008082497,2743.736164412927
9000000000003221077,dsct_flag0,confirmed,low,1.191216928440347,2764.6517786746845
9000000000003231990,dsct_flag0,confirmed,low,0.6916963880535653,2764.6522853490897
9000000000003232582,dsct_flag0,confirmed,low,2.0151177691061544,2764.652312341612
9000000000003234781,dsct_flag0,confirmed,low,0.006221396935348989,2764.6524050366133
9000000000003235821,dsct_flag0,confirmed,low,0.9973043835986803,2764.6524424678646
9000000000003238245,dsct_flag0,candidate,low,1.9689213030827186,2743.735867727082
9000000000003327055,dsct_flag0,confirmed,low,0.9772989969939266,2746.6517496248707
9000000000003339175,dsct_flag0,confirmed,low,0.4356063164797772,2764.652289094869
9000000000003340470,dsct_flag0,confirmed,low,1.985457595672155,2764.652346121613
9000000000003343915,dsct_flag0,confirmed,high,1189.2513673858318,2743.73580626864
9000000000003345852,dsct_flag0,confirmed,low,1.0055268154187635,2743.735878243111
9000000000003347798,dsct_flag0,confirmed,low,1.0054903409347515,2743.7359541766346
9000000000003348090,dsct_flag0,confirmed,low,1.0054538902684595,2743.735965120606
9000000000003432989,dsct_flag0,confirmed,low,1.7522639772801725,2764.6519376146607
9000000000003445468,dsct_flag0,candidate,high,1131.1275135379751,2167.014251441695
9000000000003445863,dsct_flag0,confirmed,high,1199.4715039202508,2167.01425045589
9000000000003455706,dsct_flag0,candidate,low,0.997326204941754,2743.736188261304
9000000000003539521,dsct_flag0,candidate,high,1081.5257551111156,2167.0142679023556
9000000000003540935,dsct_flag0,confirmed,high,1099.6842894718916,2167.014265072532
9000000000003544956,dsct_flag0,candidate,high,951.15878198515,2167.014258008916
9000000000003547930,dsct_flag0,candidate,high,944.8266612426339,2167.014253591653
9000000000003559541,dsct_flag0,candidate,high,1129.2492465567368,1973.7876382148825
9000000000003648418,dsct_flag0,confirmed,low,2.000046767951701,2743.735840547364
9000000000003658426,dsct_flag0,candidate,high,1240.2809799672095,1973.7875865367241
9000000000003659087,dsct_flag0,candidate,high,906.9242791473994,1973.7876068861224
9000000000003659751,dsct_flag0,confirmed,high,1137.8620849118545,1973.7876257579774
9000000000003660523,dsct_flag0,candidate,high,1028.2324479393028,1973.787646542769
9000000000003661489,dsct_flag0,candidate,low,0.03662888430185478,2743.7363139917143
9000000000003730390,dsct_flag0,confirmed,low,2.284073195452629,2746.6282658935525
9000000000003732609,dsct_flag0,confirmed,low,0.03385940722507213,2746.651746789459
9000000000003734682,dsct_flag0,confirmed,low,0.03385598098043581,2764.651836675126
9000000000003746949,dsct_flag0,confirmed,low,1.0365860035718557,2764.652416803874
9000000000003755217,dsct_flag0,confirmed,low,1.9690305113693982,2743.736051221844
9000000000003762165,dsct_flag0,confirmed,low,0.036665331156485376,2743.7362987571396
9000000000003839143,dsct_flag0,candidate,low,0.9661975916281158,2764.6518922685646
9000000000003849544,dsct_flag0,confirmed,low,0.9661612484819985,2764.652385092806
9000000000003855114,dsct_flag0,candidate,low,0.9972898552039631,2743.7359216297045
9000000000003866714,dsct_flag0,confirmed,low,0.5966316728552861,2743.736335963942
9000000000003869880,dsct_flag0,confirmed,low,0.9661952632141237,2761.6570910559967
9000000000003936965,dsct_flag0,confirmed,low,0.033895817398510046,2746.6515678153373
9000000000003958424,dsct_flag0,confirmed,low,1.0365429136083206,2743.735896181781
