exp_per_night_bin,amp_bin,n,k,p,lo,hi
-1,-1,10,0,0.0,0.0,0.2775327998628892
-1,0,1,0,,,
-1,1,1,0,,,
-1,2,1,0,,,
-1,3,6,0,0.0,2.7755575615628914e-17,0.3903342879021653
-1,4,1,0,,,
-1,5,3,0,,,
-1,6,2,0,,,
1,-1,118,71,0.6016949152542372,0.5115041425776907,0.6854731444007849
1,0,65,22,0.3384615384615385,0.2353350331209667,0.45961623084487946
1,1,59,16,0.2711864406779661,0.17436970937918053,0.3959776296754516
1,2,72,35,0.4861111111111111,0.37432674529071863,0.5993024539480719
1,3,89,62,0.6966292134831461,0.5946286603942715,0.7823580914791123
1,4,42,33,0.7857142857142857,0.6406015468367708,0.8829420012399697
1,5,16,12,0.75,0.5050168346449122,0.8981793250878696
1,6,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829
1,7,5,5,1.0,0.5655175352168251,1.0
3,-1,25,18,0.72,0.5242339480963842,0.8571614614904344
3,0,17,9,0.5294117647058824,0.30963235060004424,0.7383489355759056
3,1,10,4,0.4,0.16818032970623614,0.6873262302663417
3,2,23,12,0.5217391304347826,0.32962737336427406,0.7076284258335335
3,3,11,4,0.36363636363636365,0.15166471095367573,0.6461988254921511
3,4,8,6,0.75,0.40927543031016883,0.9285207872478909
3,5,4,2,,,
3,6,4,3,,,
3,7,2,2,,,
4,-1,1,0,,,
4,0,1,0,,,
4,2,1,0,,,
