tic,template_k,template_source_id,template_status,wg_contrasts,a_sid,b_sid,a_status,b_status,a_usable,b_usable,pair_usable,D_A,D_B,R_A,R_B,trigger_pair_class,recovery_pair_class,analysis_status,prespecified,interval
1116746,0,4089730604499317760,not_detected,8,9300011167460220000,9200011167460220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
1116746,1,3238056353617774336,not_detected,62,9300011167461220000,9200011167461220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
1116746,2,1555179177955997440,candidate,373,9300011167462220000,9200011167462220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
5624184,0,3705386281897262848,not_detected,6,9300056241840220000,9200056241840220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
5624184,1,323342459647016448,confirmed,75,9300056241841220000,9200056241841220000,candidate,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
5624184,2,2260805780286092032,candidate,478,9300056241842220000,9200056241842220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
7675859,0,1747832062024486912,confirmed,6,9300076758590220000,9200076758590220000,confirmed,confirmed,True,True,True,True,True,False,False,both,neither,postlaunch_descriptive,False,none
7675859,1,56529573573742848,candidate,54,9300076758591220000,9200076758591220000,candidate,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
7675859,2,1893101535448502400,confirmed,423,9300076758592220000,9200076758592220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
8445665,0,4009851428268802944,not_detected,10,9300084456650220000,9200084456650220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
8445665,1,2250247788602155904,not_detected,60,9300084456651220000,9200084456651220000,confirmed,confirmed,True,True,True,True,True,False,False,both,neither,postlaunch_descriptive,False,none
8445665,2,1510467090935595008,confirmed,391,9300084456652220000,9200084456652220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
13566624,0,4089730604499317760,not_detected,8,9300135666240220000,9200135666240220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
13566624,1,3238056353617774336,not_detected,62,9300135666241220000,9200135666241220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
13566624,2,1555179177955997440,candidate,373,9300135666242220000,9200135666242220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
14448610,0,3681220906102862720,not_detected,2,9300144486100220000,9200144486100220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
14448610,1,1445074014829920000,confirmed,78,9300144486101220000,9200144486101220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
14448610,2,2155960371551164416,not_detected,461,9300144486102220000,9200144486102220000,confirmed,not_detected,True,True,True,True,False,False,False,A_only,neither,postlaunch_descriptive,False,none
21187072,0,6191268135405788544,not_detected,5,9300211870720220000,9200211870720220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
21187072,1,498913610243369728,confirmed,54,9300211870721220000,9200211870721220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
