template_k,wg_stratum,template_status,endpoint,n_scheduled,n_usable,k_success,rate_scheduled,wg_min,wg_median,wg_max,analysis_status,prespecified,interval
0,wg_p10,not_detected,recovery,76,76,6,0.07894736842105263,2,7.0,20,postlaunch_descriptive,False,none
0,wg_p10,not_detected,trigger,76,76,6,0.07894736842105263,2,7.0,20,postlaunch_descriptive,False,none
0,wg_p10,candidate,recovery,1,1,0,0.0,0,0.0,0,postlaunch_descriptive,False,none
0,wg_p10,candidate,trigger,1,1,0,0.0,0,0.0,0,postlaunch_descriptive,False,none
0,wg_p10,confirmed,recovery,26,26,1,0.038461538461538464,5,6.0,23,postlaunch_descriptive,False,none
0,wg_p10,confirmed,trigger,26,26,18,0.6923076923076923,5,6.0,23,postlaunch_descriptive,False,none
1,wg_p50,not_detected,recovery,55,55,5,0.09090909090909091,8,58.0,97,postlaunch_descriptive,False,none
1,wg_p50,not_detected,trigger,55,55,12,0.21818181818181817,8,58.0,97,postlaunch_descriptive,False,none
1,wg_p50,candidate,recovery,7,7,3,0.42857142857142855,54,63.0,115,postlaunch_descriptive,False,none
1,wg_p50,candidate,trigger,7,7,4,0.5714285714285714,54,63.0,115,postlaunch_descriptive,False,none
1,wg_p50,confirmed,recovery,41,41,3,0.07317073170731707,52,62.0,127,postlaunch_descriptive,False,none
1,wg_p50,confirmed,trigger,41,41,38,0.926829268292683,52,62.0,127,postlaunch_descriptive,False,none
2,wg_p90,not_detected,recovery,17,17,10,0.5882352941176471,100,436.0,461,postlaunch_descriptive,False,none
2,wg_p90,not_detected,trigger,17,17,13,0.7647058823529411,100,436.0,461,postlaunch_descriptive,False,none
2,wg_p90,candidate,recovery,24,24,17,0.7083333333333334,373,443.0,478,postlaunch_descriptive,False,none
2,wg_p90,candidate,trigger,24,24,19,0.7916666666666666,373,443.0,478,postlaunch_descriptive,False,none
2,wg_p90,confirmed,recovery,62,62,22,0.3548387096774194,359,421.0,786,postlaunch_descriptive,False,none
2,wg_p90,confirmed,trigger,62,62,62,1.0,359,421.0,786,postlaunch_descriptive,False,none
