pass,rule,scope,n,ess,p,lo,hi,inference
low,confirmed,detection_eligible_roster,309,309.0,0.27184466019417475,,,descriptive (window rows); see d2_cluster_completeness.csv
low,confirmed,detection_usable_lightcurve,309,309.0,0.27184466019417475,,,descriptive (window rows); see d2_cluster_completeness.csv
low,confirmed,freq_recovery_scorable,6,6.0,0.0,,,descriptive (window rows); see d2_cluster_completeness.csv
low,confirmed_or_candidate,detection_eligible_roster,309,309.0,0.32362459546925565,,,descriptive (window rows); see d2_cluster_completeness.csv
low,confirmed_or_candidate,detection_usable_lightcurve,309,309.0,0.32362459546925565,,,descriptive (window rows); see d2_cluster_completeness.csv
low,confirmed_or_candidate,freq_recovery_scorable,6,6.0,0.0,,,descriptive (window rows); see d2_cluster_completeness.csv
low,census,detection_eligible_roster,309,309.0,0.3656957928802589,,,descriptive (window rows); see d2_cluster_completeness.csv
low,census,detection_usable_lightcurve,309,309.0,0.3656957928802589,,,descriptive (window rows); see d2_cluster_completeness.csv
low,either,detection_eligible_roster,309,309.0,0.49514563106796117,,,descriptive (window rows); see d2_cluster_completeness.csv
low,either,detection_usable_lightcurve,309,309.0,0.49514563106796117,,,descriptive (window rows); see d2_cluster_completeness.csv
low,confirmed,correct_frequency_fraction_detected,6,6.0,0.0,,,descriptive (window rows); see d2_cluster_completeness.csv
high,confirmed,detection_eligible_roster,309,309.0,0.3818770226537217,,,descriptive (window rows); see d2_cluster_completeness.csv
high,confirmed,detection_usable_lightcurve,309,309.0,0.3818770226537217,,,descriptive (window rows); see d2_cluster_completeness.csv
high,confirmed,freq_recovery_scorable,309,309.0,0.2621359223300971,,,descriptive (window rows); see d2_cluster_completeness.csv
high,confirmed_or_candidate,detection_eligible_roster,309,309.0,0.42718446601941745,,,descriptive (window rows); see d2_cluster_completeness.csv
high,confirmed_or_candidate,detection_usable_lightcurve,309,309.0,0.42718446601941745,,,descriptive (window rows); see d2_cluster_completeness.csv
high,confirmed_or_candidate,freq_recovery_scorable,309,309.0,0.284789644012945,,,descriptive (window rows); see d2_cluster_completeness.csv
high,census,detection_eligible_roster,309,309.0,0.3656957928802589,,,descriptive (window rows); see d2_cluster_completeness.csv
high,census,detection_usable_lightcurve,309,309.0,0.3656957928802589,,,descriptive (window rows); see d2_cluster_completeness.csv
high,either,detection_eligible_roster,309,309.0,0.5889967637540453,,,descriptive (window rows); see d2_cluster_completeness.csv
high,either,detection_usable_lightcurve,309,309.0,0.5889967637540453,,,descriptive (window rows); see d2_cluster_completeness.csv
high,confirmed,correct_frequency_fraction_detected,118,118.0,0.6864406779661016,,,descriptive (window rows); see d2_cluster_completeness.csv
best,confirmed,detection_eligible_roster,309,309.0,0.5566343042071198,,,descriptive (window rows); see d2_cluster_completeness.csv
best,confirmed,detection_usable_lightcurve,309,309.0,0.5566343042071198,,,descriptive (window rows); see d2_cluster_completeness.csv
best,confirmed,freq_recovery_scorable,309,309.0,0.2168284789644013,,,descriptive (window rows); see d2_cluster_completeness.csv
best,confirmed_or_candidate,detection_eligible_roster,309,309.0,0.598705501618123,,,descriptive (window rows); see d2_cluster_completeness.csv
best,confirmed_or_candidate,detection_usable_lightcurve,309,309.0,0.598705501618123,,,descriptive (window rows); see d2_cluster_completeness.csv
best,confirmed_or_candidate,freq_recovery_scorable,309,309.0,0.23624595469255663,,,descriptive (window rows); see d2_cluster_completeness.csv
best,census,detection_eligible_roster,309,309.0,0.3656957928802589,,,descriptive (window rows); see d2_cluster_completeness.csv
best,census,detection_usable_lightcurve,309,309.0,0.3656957928802589,,,descriptive (window rows); see d2_cluster_completeness.csv
best,either,detection_eligible_roster,309,309.0,0.6634304207119741,,,descriptive (window rows); see d2_cluster_completeness.csv
best,either,detection_usable_lightcurve,309,309.0,0.6634304207119741,,,descriptive (window rows); see d2_cluster_completeness.csv
best,confirmed,correct_frequency_fraction_detected,172,172.0,0.38953488372093026,,,descriptive (window rows); see d2_cluster_completeness.csv
