b_sid,control_sid,cluster,template_k,b_status,control_status,b_usable,control_usable,pair_usable,D_B,D_C,R_B,R_C
9200011167460220000,9500000000000000610,1116746,0,not_detected,not_detected,True,True,True,False,False,False,False
9200011167461220000,9500000000000000451,1116746,1,not_detected,not_detected,True,True,True,False,False,False,False
9200011167462220000,9500000000000000098,1116746,2,confirmed,candidate,True,True,True,True,False,True,False
9200056241840220000,9500000000000000544,5624184,0,not_detected,not_detected,True,True,True,False,False,False,False
9200056241841220000,9500000000000000447,5624184,1,confirmed,confirmed,True,True,True,True,True,False,False
9200056241842220000,9500000000000000259,5624184,2,confirmed,candidate,True,True,True,True,False,True,False
9200076758590220000,9500000000000000128,7675859,0,confirmed,confirmed,True,True,True,True,True,False,False
9200076758591220000,9500000000000000778,7675859,1,confirmed,candidate,True,True,True,True,False,False,False
9200076758592220000,9500000000000000170,7675859,2,confirmed,confirmed,True,True,True,True,True,False,False
9200084456650220000,9500000000000000602,8445665,0,not_detected,not_detected,True,True,True,False,False,False,False
9200084456651220000,9500000000000000257,8445665,1,confirmed,not_detected,True,True,True,True,False,False,False
9200084456652220000,9500000000000000089,8445665,2,confirmed,confirmed,True,True,True,True,True,True,False
9200135666240220000,9500000000000000610,13566624,0,not_detected,not_detected,True,True,True,False,False,False,False
9200135666241220000,9500000000000000451,13566624,1,not_detected,not_detected,True,True,True,False,False,False,False
9200135666242220000,9500000000000000098,13566624,2,confirmed,candidate,True,True,True,True,False,False,False
9200144486100220000,9500000000000000540,14448610,0,not_detected,not_detected,True,True,True,False,False,False,False
9200144486101220000,9500000000000000079,14448610,1,confirmed,confirmed,True,True,True,True,True,False,False
9200144486102220000,9500000000000000234,14448610,2,not_detected,not_detected,True,True,True,False,False,False,False
9200211870720220000,9500000000000000806,21187072,0,not_detected,not_detected,True,True,True,False,False,False,False
9200211870721220000,9500000000000000718,21187072,1,confirmed,confirmed,True,True,True,True,True,False,False
9200211870722220000,9500000000000000098,21187072,2,not_detected,candidate,True,True,True,False,False,False,False
9200246033970220000,9500000000000000491,24603397,0,confirmed,confirmed,True,True,True,True,True,False,False
9200246033971220000,9500000000000000873,24603397,1,confirmed,confirmed,True,True,True,True,True,True,False
9200246033972220000,9500000000000000049,24603397,2,confirmed,confirmed,True,True,True,True,True,False,False
9200298623440220000,9500000000000000627,29862344,0,not_detected,not_detected,True,True,True,False,False,False,False
9200298623441220000,9500000000000000079,29862344,1,confirmed,confirmed,True,True,True,True,True,False,False
9200298623442220000,9500000000000000433,29862344,2,confirmed,confirmed,True,True,True,True,True,False,False
9200305453820220000,9500000000000000544,30545382,0,not_detected,not_detected,True,True,True,False,False,False,False
9200305453821220000,9500000000000000874,30545382,1,confirmed,confirmed,True,True,True,True,True,False,False
9200305453822220000,9500000000000000331,30545382,2,confirmed,confirmed,True,True,True,True,True,False,False
9200337175650220000,9500000000000000610,33717565,0,not_detected,not_detected,True,True,True,False,False,False,False
9200337175651220000,9500000000000000448,33717565,1,confirmed,confirmed,True,True,True,True,True,False,False
9200337175652220000,9500000000000000865,33717565,2,confirmed,not_detected,True,True,True,True,False,True,False
9200468476350220000,9500000000000000409,46847635,0,not_detected,not_detected,True,True,True,False,False,False,False
9200468476351220000,9500000000000000674,46847635,1,not_detected,not_detected,True,True,True,False,False,False,False
9200468476352220000,9500000000000000695,46847635,2,confirmed,confirmed,True,True,True,True,True,False,False
9200556504070220000,9500000000000000540,55650407,0,not_detected,not_detected,True,True,True,False,False,False,False
9200556504071220000,9500000000000000723,55650407,1,not_detected,not_detected,True,True,True,False,False,False,False
9200556504072220000,9500000000000000915,55650407,2,confirmed,confirmed,True,True,True,True,True,True,False
9200632814990220000,9500000000000000626,63281499,0,candidate,not_detected,True,True,True,False,False,False,False
9200632814991220000,9500000000000000306,63281499,1,not_detected,not_detected,True,True,True,False,False,False,False
9200632814992220000,9500000000000000387,63281499,2,confirmed,confirmed,True,True,True,True,True,False,False
9200651442900220000,9500000000000000329,65144290,0,not_detected,not_detected,True,True,True,False,False,False,False
9200651442901220000,9500000000000000376,65144290,1,confirmed,candidate,True,True,True,True,False,True,False
9200651442902220000,9500000000000000059,65144290,2,confirmed,confirmed,True,True,True,True,True,True,False
9200725171980220000,9500000000000000369,72517198,0,not_detected,not_detected,True,True,True,False,False,False,False
9200725171981220000,9500000000000000257,72517198,1,confirmed,not_detected,True,True,True,True,False,False,False
9200725171982220000,9500000000000000098,72517198,2,confirmed,candidate,True,True,True,True,False,True,False
9200726374740220000,9500000000000000806,72637474,0,not_detected,not_detected,True,True,True,False,False,False,False
9200726374741220000,9500000000000000662,72637474,1,confirmed,confirmed,True,True,True,True,True,False,False
9200726374742220000,9500000000000000259,72637474,2,not_detected,candidate,True,True,True,False,False,False,False
9200793538600220000,9500000000000000806,79353860,0,not_detected,not_detected,True,True,True,False,False,False,False
9200793538601220000,9500000000000000662,79353860,1,confirmed,confirmed,True,True,True,True,True,False,False
9200793538602220000,9500000000000000259,79353860,2,not_detected,candidate,True,True,True,False,False,False,False
9200818489740220000,9500000000000000542,81848974,0,not_detected,not_detected,True,True,True,False,False,False,False
9200818489741220000,9500000000000000451,81848974,1,not_detected,not_detected,True,True,True,False,False,False,False
9200818489742220000,9500000000000000089,81848974,2,confirmed,confirmed,True,True,True,True,True,False,False
9200880464870220000,9500000000000000602,88046487,0,not_detected,not_detected,True,True,True,False,False,False,False
9200880464871220000,9500000000000000322,88046487,1,confirmed,confirmed,True,True,True,True,True,False,False
9200880464872220000,9500000000000000601,88046487,2,confirmed,not_detected,True,True,True,True,False,True,False
9200947486320220000,9500000000000000833,94748632,0,not_detected,not_detected,True,True,True,False,False,False,False
9200947486321220000,9500000000000000451,94748632,1,not_detected,not_detected,True,True,True,False,False,False,False
9200947486322220000,9500000000000000256,94748632,2,confirmed,confirmed,True,True,True,True,True,False,False
9201037008610220000,9500000000000000409,103700861,0,not_detected,not_detected,True,True,True,False,False,False,False
9201037008611220000,9500000000000000458,103700861,1,not_detected,not_detected,True,True,True,False,False,False,False
9201037008612220000,9500000000000000695,103700861,2,confirmed,confirmed,True,True,True,True,True,False,False
9201140584470220000,9500000000000000833,114058447,0,not_detected,not_detected,True,True,True,False,False,False,False
9201140584471220000,9500000000000000658,114058447,1,confirmed,confirmed,True,True,True,True,True,False,False
9201140584472220000,9500000000000000042,114058447,2,confirmed,candidate,True,True,True,True,False,True,False
9201163733080220000,9500000000000000128,116373308,0,confirmed,confirmed,True,True,True,True,True,True,False
9201163733081220000,9500000000000000458,116373308,1,confirmed,not_detected,True,True,True,True,False,True,False
9201163733082220000,9500000000000000229,116373308,2,confirmed,confirmed,True,True,True,True,True,True,False
9201411794950220000,9500000000000000833,141179495,0,not_detected,not_detected,True,True,True,False,False,False,False
9201411794951220000,9500000000000000339,141179495,1,candidate,candidate,True,True,True,False,False,False,False
9201411794952220000,9500000000000000042,141179495,2,confirmed,candidate,True,True,True,True,False,True,False
9201419762470220000,9500000000000000496,141976247,0,not_detected,not_detected,True,True,True,False,False,False,False
9201419762471220000,9500000000000000306,141976247,1,not_detected,not_detected,True,True,True,False,False,False,False
9201419762472220000,9500000000000000387,141976247,2,confirmed,confirmed,True,True,True,True,True,False,False
9201498638490220000,9500000000000000642,149863849,0,candidate,candidate,True,True,True,False,False,False,False
9201498638491220000,9500000000000000791,149863849,1,confirmed,not_detected,True,True,True,True,False,False,False
9201498638492220000,9500000000000000010,149863849,2,not_detected,not_detected,True,True,True,False,False,False,False
9201560646570220000,9500000000000000558,156064657,0,confirmed,confirmed,True,True,True,True,True,False,False
9201560646571220000,9500000000000000458,156064657,1,not_detected,not_detected,True,True,True,False,False,False,False
9201560646572220000,9500000000000000098,156064657,2,confirmed,candidate,True,True,True,True,False,True,False
9201580681170220000,9500000000000000544,158068117,0,not_detected,not_detected,True,True,True,False,False,False,False
9201580681171220000,9500000000000000658,158068117,1,confirmed,confirmed,True,True,True,True,True,False,False
9201580681172220000,9500000000000000042,158068117,2,confirmed,candidate,True,True,True,True,False,True,False
9201599731520220000,9500000000000000610,159973152,0,not_detected,not_detected,True,True,True,False,False,False,False
9201599731521220000,9500000000000000448,159973152,1,confirmed,confirmed,True,True,True,True,True,False,False
9201599731522220000,9500000000000000865,159973152,2,confirmed,not_detected,True,True,True,True,False,False,False
9201674865430220000,9500000000000000128,167486543,0,confirmed,confirmed,True,True,True,True,True,False,False
9201674865431220000,9500000000000000219,167486543,1,not_detected,not_detected,True,True,True,False,False,False,False
9201674865432220000,9500000000000000170,167486543,2,confirmed,confirmed,True,True,True,True,True,False,False
9201880872040220000,9500000000000000359,188087204,0,confirmed,confirmed,True,True,True,True,True,False,False
9201880872041220000,9500000000000000797,188087204,1,not_detected,not_detected,True,True,True,False,False,False,False
9201880872042220000,9500000000000000356,188087204,2,confirmed,not_detected,True,True,True,True,False,True,False
