sid,external_id,class_label,label_positive,weight,cluster,primary_freq,amp,truth_period_days,freq_scorable,arm,scenario,template_k,pool_index,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,dropped_period_s,crowdsap,cadence_code,cadence_s,n_strata_scheduled,null_serial,control_campaign_id,shard_sha256,median_exp_per_night,wg_contrasts,template_status,baseline_days,n_exp_zg,n_exp_zr,best_pass,best_status,best_frequency_per_day,low_available,high_available,low_status,low_frequency_per_day,low_match,low_match_primary,low_eligible,high_status,high_frequency_per_day,high_match,high_match_primary,high_eligible,best_candidate_matches_any_mode,best_candidate_matches_dominant,any_top_peak_matches_any_mode,eligible_any_pass,census_variable,census_g_nightly,prov_valid,platform_boundary_sensitive,platform_boundary_fields
9200011167460220000,TIC 1116746,arm_B,True,1.0,1116746,285.1391043199894,8.61,0.003507060185185185,True,B,nominal,0,610,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,9500000000000000610,dcce671eaa88230c7ac721536015c0dbb162a1f754410ff2f48802a273c595ae,1.0,8,not_detected,2665.68154164264,95,58,low,not_detected,14.080114002241784,True,True,not_detected,14.080114002241784,unmatched,unmatched,False,not_detected,24.32115614210708,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9300011167460220000,TIC 1116746,arm_A,True,1.0,1116746,285.1391043199894,8.61,0.003507060185185185,True,A,nominal,0,610,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,,c5ace5a0281cfa1122eb41c61727798d4bf7947698a7dd20c969ab813d732955,1.0,8,not_detected,2665.68154164264,95,58,low,not_detected,5.423416028567043,True,True,not_detected,5.423416028567043,unmatched,unmatched,False,not_detected,560.9509364265557,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200011167461220000,TIC 1116746,arm_B,True,1.0,1116746,285.1391043199894,8.61,0.003507060185185185,True,B,nominal,1,451,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,9500000000000000451,90b126ffe523c33cedfad70bce1691475eae6fed49c6574f2485ed870980d0d3,1.0,62,not_detected,2623.9190951320343,448,479,low,not_detected,1.002698598779628,True,True,not_detected,1.002698598779628,unmatched,unmatched,False,not_detected,535.2400006877874,unmatched,unmatched,True,unmatched,unmatched,True,True,False,False,True,False,
9300011167461220000,TIC 1116746,arm_A,True,1.0,1116746,285.1391043199894,8.61,0.003507060185185185,True,A,nominal,1,451,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,,36ec473aacb704da824370c015672d4429daf8d61efb1acfe1d1b24fa6a68858,1.0,62,not_detected,2623.9190951320343,448,479,low,not_detected,2.1469411958818534,True,True,not_detected,2.1469411958818534,unmatched,unmatched,False,not_detected,591.605953538387,unmatched,unmatched,True,unmatched,unmatched,True,True,False,False,True,False,
9200011167462220000,TIC 1116746,arm_B,True,1.0,1116746,285.1391043199894,8.61,0.003507060185185185,True,B,nominal,2,98,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,9500000000000000098,5d38fac4a5460418e0876a9e1c296dedb243c3d504b7d2bbf1ed6cf1cbfaec02,1.0,373,candidate,2658.86123703653,934,900,high,confirmed,285.1390885422354,True,True,not_detected,18.02470897406278,unmatched,unmatched,False,confirmed,285.1390885422354,direct,direct,True,direct,direct,True,True,False,False,True,False,
9300011167462220000,TIC 1116746,arm_A,True,1.0,1116746,285.1391043199894,8.61,0.003507060185185185,True,A,nominal,2,98,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,,9e7626babc880e4b9d32ae2b74a16f1b66037dec0cb5b3252d294a1847e9c87d,1.0,373,candidate,2658.86123703653,934,900,high,confirmed,285.13912615232147,True,True,not_detected,45.33470882984027,unmatched,unmatched,False,confirmed,285.13912615232147,direct,direct,True,direct,direct,True,True,False,False,True,False,
9200011167461110000,TIC 1116746,arm_B,True,1.0,1116746,285.1391043199894,8.61,0.003507060185185185,True,B,ladder_g1r1,1,451,1.4,0.7,0,1.0,False,,,0,20.0,1,-1,9500000000000000451,0b2b9c7553d5c0f7672418b838bf8a79f0d658a61ec901e13ad7890e3226f33e,1.0,62,not_detected,2623.9190951320343,448,479,low,not_detected,1.002698598779628,True,True,not_detected,1.002698598779628,unmatched,unmatched,False,not_detected,535.2400006877874,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200011167461120000,TIC 1116746,arm_B,True,1.0,1116746,285.1391043199894,8.61,0.003507060185185185,True,B,ladder_g1r2,1,451,1.4,0.8,0,1.0,False,,,0,20.0,1,-1,9500000000000000451,a07a11d2d8f24a2de5bb12c2d05b4c54489122c72ae55b64ef14f2ce171622f6,1.0,62,not_detected,2623.9190951320343,448,479,low,not_detected,1.002698598779628,True,True,not_detected,1.002698598779628,unmatched,unmatched,False,not_detected,535.2400006877874,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200011167461130000,TIC 1116746,arm_B,True,1.0,1116746,285.1391043199894,8.61,0.003507060185185185,True,B,ladder_g1r3,1,451,1.4,0.9,0,1.0,False,,,0,20.0,1,-1,9500000000000000451,7a2326854bb01afd794b2eb8d79882bf669d0fd14818591a5772e9ea87fd6609,1.0,62,not_detected,2623.9190951320343,448,479,low,not_detected,1.002698598779628,True,True,not_detected,1.002698598779628,unmatched,unmatched,False,not_detected,535.2400006877874,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200011167461210000,TIC 1116746,arm_B,True,1.0,1116746,285.1391043199894,8.61,0.003507060185185185,True,B,ladder_g2r1,1,451,1.7,0.7,0,1.0,False,,,0,20.0,1,-1,9500000000000000451,b36092a7f07743bc6e363374bff0862a204e0d1645eb5f1d221c858b3a702030,1.0,62,not_detected,2623.9190951320343,448,479,low,not_detected,1.002698598779628,True,True,not_detected,1.002698598779628,unmatched,unmatched,False,not_detected,535.2400006877874,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
