period_bin,amp_bin,n_windows,k_windows,n_targets,p,lo,hi,interval
2,1,6,0,2,,,,
2,2,18,4,6,0.2222222222222222,0.1111111111111111,0.3333333333333333,target_cluster_bootstrap
2,3,60,10,20,0.16666666666666666,0.08333333333333333,0.25,target_cluster_bootstrap
2,4,45,13,15,0.28888888888888886,0.17777777777777776,0.39999999999999997,target_cluster_bootstrap
2,5,6,6,2,,,,
3,1,6,0,2,,,,
3,2,12,0,4,,,,
3,3,24,2,8,0.08333333333333333,0.0,0.16666666666666666,target_cluster_bootstrap
3,4,87,21,29,0.24137931034482757,0.16091954022988503,0.32183908045977005,target_cluster_bootstrap
3,5,21,9,7,0.4285714285714285,0.23809523809523808,0.5714285714285714,target_cluster_bootstrap
4,2,9,0,3,,,,
4,3,12,1,4,,,,
4,4,3,1,1,,,,
