wg_bin,amp_bin,n_windows,k_windows,n_targets,p,lo,hi,interval
0,1,2,0,2,,,,
0,2,11,0,11,0.0,0.0,0.0,target_cluster_bootstrap
0,3,31,3,31,0.0967741935483871,0.0,0.19435483870967302,target_cluster_bootstrap
0,4,46,17,45,0.36666666666666664,0.23305555555555557,0.5111111111111111,target_cluster_bootstrap
0,5,9,3,9,0.3333333333333333,0.1111111111111111,0.6666666666666666,target_cluster_bootstrap
1,1,2,1,2,,,,
1,2,2,1,2,,,,
1,3,1,0,1,,,,
2,1,2,1,2,,,,
2,2,11,7,11,0.6363636363636364,0.36363636363636365,0.9090909090909091,target_cluster_bootstrap
2,3,30,15,30,0.5,0.3333333333333333,0.6666666666666666,target_cluster_bootstrap
2,4,44,18,44,0.4090909090909091,0.2727272727272727,0.5454545454545454,target_cluster_bootstrap
2,5,9,8,9,0.8888888888888888,0.6666666666666666,1.0,target_cluster_bootstrap
3,1,2,2,2,,,,
3,2,2,1,2,,,,
3,3,2,1,2,,,,
3,4,1,0,1,,,,
4,1,4,3,4,,,,
4,2,13,8,13,0.6153846153846154,0.3076923076923077,0.8461538461538461,target_cluster_bootstrap
4,3,32,30,32,0.9375,0.84375,1.0,target_cluster_bootstrap
4,4,44,44,44,1.0,1.0,1.0,target_cluster_bootstrap
4,5,9,9,9,1.0,1.0,1.0,target_cluster_bootstrap
