arm,scenario,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,cadence_code,endpoint,denominator,n_strata_scheduled,n_targets_in_scenario,n_targets,n_targets_zero_usable_strata,p,lo,hi,interval,prespecified_primary,confirmatory_decision
A,nominal,1.7,0.8,0,1.0,False,0,recovery,usable,3,103,103,0,0.34627831715210367,0.2977346278317152,0.39482200647249205,cluster_bootstrap,False,False
A,nominal,1.7,0.8,0,1.0,False,0,recovery,eligible,3,103,103,0,0.34627831715210367,0.2977346278317152,0.39482200647249205,cluster_bootstrap,False,False
A,nominal,1.7,0.8,0,1.0,False,0,trigger,usable,3,103,103,0,0.4401294498381878,0.3915857605177994,0.4919093851132686,cluster_bootstrap,False,False
A,nominal,1.7,0.8,0,1.0,False,0,trigger,eligible,3,103,103,0,0.4401294498381878,0.3915857605177994,0.4919093851132686,cluster_bootstrap,False,False
B,ampscale_0.7,1.7,0.8,0,0.7,False,0,recovery,usable,1,103,103,0,0.04854368932038835,0.009708737864077669,0.08737864077669903,cluster_bootstrap,False,False
B,ampscale_0.7,1.7,0.8,0,0.7,False,0,recovery,eligible,1,103,103,0,0.04854368932038835,0.009708737864077669,0.08737864077669903,cluster_bootstrap,False,False
B,ampscale_0.7,1.7,0.8,0,0.7,False,0,trigger,usable,1,103,103,0,0.46601941747572817,0.36893203883495146,0.5631067961165048,cluster_bootstrap,False,False
B,ampscale_0.7,1.7,0.8,0,0.7,False,0,trigger,eligible,1,103,103,0,0.46601941747572817,0.36893203883495146,0.5631067961165048,cluster_bootstrap,False,False
B,ampscale_1.3,1.7,0.8,0,1.3,False,0,recovery,usable,1,103,103,0,0.14563106796116504,0.08737864077669903,0.21359223300970873,cluster_bootstrap,False,False
B,ampscale_1.3,1.7,0.8,0,1.3,False,0,recovery,eligible,1,103,103,0,0.14563106796116504,0.08737864077669903,0.21359223300970873,cluster_bootstrap,False,False
B,ampscale_1.3,1.7,0.8,0,1.3,False,0,trigger,usable,1,103,103,0,0.5533980582524272,0.4563106796116505,0.6504854368932039,cluster_bootstrap,False,False
B,ampscale_1.3,1.7,0.8,0,1.3,False,0,trigger,eligible,1,103,103,0,0.5533980582524272,0.4563106796116505,0.6504854368932039,cluster_bootstrap,False,False
B,cadence_alt,1.7,0.8,0,1.0,False,1,recovery,usable,1,33,33,0,0.15151515151515152,0.034482758620689655,0.28125,cluster_bootstrap,False,False
B,cadence_alt,1.7,0.8,0,1.0,False,1,recovery,eligible,1,33,33,0,0.15151515151515152,0.034482758620689655,0.28125,cluster_bootstrap,False,False
B,cadence_alt,1.7,0.8,0,1.0,False,1,trigger,usable,1,33,33,0,0.6060606060606061,0.43243243243243246,0.7742137096774192,cluster_bootstrap,False,False
B,cadence_alt,1.7,0.8,0,1.0,False,1,trigger,eligible,1,33,33,0,0.6060606060606061,0.43243243243243246,0.7742137096774192,cluster_bootstrap,False,False
B,dropout,1.7,0.8,0,1.0,True,0,recovery,usable,1,76,76,0,0.039473684210526314,0.0,0.0843415917189886,cluster_bootstrap,False,False
B,dropout,1.7,0.8,0,1.0,True,0,recovery,eligible,1,76,76,0,0.039473684210526314,0.0,0.0843415917189886,cluster_bootstrap,False,False
B,dropout,1.7,0.8,0,1.0,True,0,trigger,usable,1,76,76,0,0.5789473684210527,0.46664383561643835,0.689238871224165,cluster_bootstrap,False,False
B,dropout,1.7,0.8,0,1.0,True,0,trigger,eligible,1,76,76,0,0.5789473684210527,0.46664383561643835,0.689238871224165,cluster_bootstrap,False,False
B,ladder_g1r1,1.4,0.7,0,1.0,False,0,recovery,usable,1,103,103,0,0.06796116504854369,0.02912621359223301,0.11650485436893204,cluster_bootstrap,False,False
B,ladder_g1r1,1.4,0.7,0,1.0,False,0,recovery,eligible,1,103,103,0,0.06796116504854369,0.02912621359223301,0.11650485436893204,cluster_bootstrap,False,False
B,ladder_g1r1,1.4,0.7,0,1.0,False,0,trigger,usable,1,103,103,0,0.47572815533980584,0.3786407766990291,0.5728155339805825,cluster_bootstrap,False,False
B,ladder_g1r1,1.4,0.7,0,1.0,False,0,trigger,eligible,1,103,103,0,0.47572815533980584,0.3786407766990291,0.5728155339805825,cluster_bootstrap,False,False
B,ladder_g1r2,1.4,0.8,0,1.0,False,0,recovery,usable,1,103,103,0,0.08737864077669903,0.038834951456310676,0.14563106796116504,cluster_bootstrap,False,False
B,ladder_g1r2,1.4,0.8,0,1.0,False,0,recovery,eligible,1,103,103,0,0.08737864077669903,0.038834951456310676,0.14563106796116504,cluster_bootstrap,False,False
B,ladder_g1r2,1.4,0.8,0,1.0,False,0,trigger,usable,1,103,103,0,0.4854368932038835,0.3883495145631068,0.5825242718446602,cluster_bootstrap,False,False
B,ladder_g1r2,1.4,0.8,0,1.0,False,0,trigger,eligible,1,103,103,0,0.4854368932038835,0.3883495145631068,0.5825242718446602,cluster_bootstrap,False,False
B,ladder_g1r3,1.4,0.9,0,1.0,False,0,recovery,usable,1,103,103,0,0.0970873786407767,0.038834951456310676,0.1553398058252427,cluster_bootstrap,False,False
B,ladder_g1r3,1.4,0.9,0,1.0,False,0,recovery,eligible,1,103,103,0,0.0970873786407767,0.038834951456310676,0.1553398058252427,cluster_bootstrap,False,False
B,ladder_g1r3,1.4,0.9,0,1.0,False,0,trigger,usable,1,103,103,0,0.49514563106796117,0.39805825242718446,0.5922330097087378,cluster_bootstrap,False,False
B,ladder_g1r3,1.4,0.9,0,1.0,False,0,trigger,eligible,1,103,103,0,0.49514563106796117,0.39805825242718446,0.5922330097087378,cluster_bootstrap,False,False
B,ladder_g2r1,1.7,0.7,0,1.0,False,0,recovery,usable,1,103,103,0,0.0970873786407767,0.038834951456310676,0.1553398058252427,cluster_bootstrap,False,False
B,ladder_g2r1,1.7,0.7,0,1.0,False,0,recovery,eligible,1,103,103,0,0.0970873786407767,0.038834951456310676,0.1553398058252427,cluster_bootstrap,False,False
B,ladder_g2r1,1.7,0.7,0,1.0,False,0,trigger,usable,1,103,103,0,0.5242718446601942,0.42718446601941745,0.6213592233009708,cluster_bootstrap,False,False
B,ladder_g2r1,1.7,0.7,0,1.0,False,0,trigger,eligible,1,103,103,0,0.5242718446601942,0.42718446601941745,0.6213592233009708,cluster_bootstrap,False,False
B,ladder_g2r3,1.7,0.9,0,1.0,False,0,recovery,usable,1,103,103,0,0.1262135922330097,0.06796116504854369,0.18446601941747573,cluster_bootstrap,False,False
B,ladder_g2r3,1.7,0.9,0,1.0,False,0,recovery,eligible,1,103,103,0,0.1262135922330097,0.06796116504854369,0.18446601941747573,cluster_bootstrap,False,False
B,ladder_g2r3,1.7,0.9,0,1.0,False,0,trigger,usable,1,103,103,0,0.5436893203883495,0.44660194174757284,0.6407766990291263,cluster_bootstrap,False,False
B,ladder_g2r3,1.7,0.9,0,1.0,False,0,trigger,eligible,1,103,103,0,0.5436893203883495,0.44660194174757284,0.6407766990291263,cluster_bootstrap,False,False
B,ladder_g3r1,2.1,0.7,0,1.0,False,0,recovery,usable,1,103,103,0,0.14563106796116504,0.08737864077669903,0.21359223300970873,cluster_bootstrap,False,False
B,ladder_g3r1,2.1,0.7,0,1.0,False,0,recovery,eligible,1,103,103,0,0.14563106796116504,0.08737864077669903,0.21359223300970873,cluster_bootstrap,False,False
B,ladder_g3r1,2.1,0.7,0,1.0,False,0,trigger,usable,1,103,103,0,0.5533980582524272,0.4563106796116505,0.6504854368932039,cluster_bootstrap,False,False
B,ladder_g3r1,2.1,0.7,0,1.0,False,0,trigger,eligible,1,103,103,0,0.5533980582524272,0.4563106796116505,0.6504854368932039,cluster_bootstrap,False,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,recovery,usable,1,103,103,0,0.14563106796116504,0.08737864077669903,0.21359223300970873,cluster_bootstrap,False,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,recovery,eligible,1,103,103,0,0.14563106796116504,0.08737864077669903,0.21359223300970873,cluster_bootstrap,False,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,trigger,usable,1,103,103,0,0.5533980582524272,0.4563106796116505,0.6504854368932039,cluster_bootstrap,False,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,trigger,eligible,1,103,103,0,0.5533980582524272,0.4563106796116505,0.6504854368932039,cluster_bootstrap,False,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,recovery,usable,1,103,103,0,0.14563106796116504,0.08737864077669903,0.21359223300970873,cluster_bootstrap,False,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,recovery,eligible,1,103,103,0,0.14563106796116504,0.08737864077669903,0.21359223300970873,cluster_bootstrap,False,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,trigger,usable,1,103,103,0,0.5728155339805825,0.47572815533980584,0.6699029126213593,cluster_bootstrap,False,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,trigger,eligible,1,103,103,0,0.5728155339805825,0.47572815533980584,0.6699029126213593,cluster_bootstrap,False,False
B,nominal,1.7,0.8,0,1.0,False,0,recovery,usable,3,103,103,0,0.21682847896440124,0.17152103559870543,0.262135922330097,cluster_bootstrap,True,False
B,nominal,1.7,0.8,0,1.0,False,0,recovery,eligible,3,103,103,0,0.21682847896440124,0.17152103559870543,0.262135922330097,cluster_bootstrap,True,False
B,nominal,1.7,0.8,0,1.0,False,0,trigger,usable,3,103,103,0,0.5566343042071197,0.5177993527508089,0.6019417475728155,cluster_bootstrap,False,False
B,nominal,1.7,0.8,0,1.0,False,0,trigger,eligible,3,103,103,0,0.5566343042071197,0.5177993527508089,0.6019417475728155,cluster_bootstrap,False,False
B,nominal,1.7,0.8,0,1.0,False,0,paired_census_minus_ls_discordance,usable,3,103,103,0,-0.19093851132686082,-0.255663430420712,-0.1262135922330097,cluster_bootstrap,False,False
B,phase_1,1.7,0.8,1,1.0,False,0,recovery,usable,1,103,103,0,0.11650485436893204,0.05825242718446602,0.17475728155339806,cluster_bootstrap,False,False
B,phase_1,1.7,0.8,1,1.0,False,0,recovery,eligible,1,103,103,0,0.11650485436893204,0.05825242718446602,0.17475728155339806,cluster_bootstrap,False,False
B,phase_1,1.7,0.8,1,1.0,False,0,trigger,usable,1,103,103,0,0.5048543689320388,0.4077669902912621,0.6019417475728155,cluster_bootstrap,False,False
B,phase_1,1.7,0.8,1,1.0,False,0,trigger,eligible,1,103,103,0,0.5048543689320388,0.4077669902912621,0.6019417475728155,cluster_bootstrap,False,False
