wg_bin,amp_bin,n_windows,k_windows,n_targets,p,lo,hi,interval
0,1,2,0,2,,,,
0,2,11,0,11,0.0,0.0,0.0,target_cluster_bootstrap
0,3,31,0,31,0.0,0.0,0.0,target_cluster_bootstrap
0,4,46,5,45,0.1111111111111111,0.022222222222222223,0.2,target_cluster_bootstrap
0,5,9,2,9,0.2222222222222222,0.0,0.5555555555555556,target_cluster_bootstrap
1,1,2,0,2,,,,
1,2,2,0,2,,,,
1,3,1,0,1,,,,
2,1,2,0,2,,,,
2,2,11,0,11,0.0,0.0,0.0,target_cluster_bootstrap
2,3,30,0,30,0.0,0.0,0.0,target_cluster_bootstrap
2,4,44,4,44,0.09090909090909091,0.022727272727272728,0.18181818181818182,target_cluster_bootstrap
2,5,9,5,9,0.5555555555555556,0.2222222222222222,0.8888888888888888,target_cluster_bootstrap
3,1,2,0,2,,,,
3,2,2,1,2,,,,
3,3,2,1,2,,,,
3,4,1,0,1,,,,
4,1,4,0,4,,,,
4,2,13,3,13,0.23076923076923078,0.0,0.46153846153846156,target_cluster_bootstrap
4,3,32,12,32,0.375,0.21875,0.53125,target_cluster_bootstrap
4,4,44,26,44,0.5909090909090909,0.4318181818181818,0.7272727272727273,target_cluster_bootstrap
4,5,9,8,9,0.8888888888888888,0.6666666666666666,1.0,target_cluster_bootstrap
