period_bin,amp_bin,n_windows,k_windows,n_targets,p,lo,hi,interval
2,1,6,2,2,,,,
2,2,18,9,6,0.5,0.3333333333333333,0.7222222222222222,target_cluster_bootstrap
2,3,60,29,20,0.4833333333333333,0.41666666666666663,0.55,target_cluster_bootstrap
2,4,45,23,15,0.511111111111111,0.4222222222222221,0.6222222222222222,target_cluster_bootstrap
2,5,6,6,2,,,,
3,1,6,5,2,,,,
3,2,12,5,4,,,,
3,3,24,13,8,0.5416666666666666,0.41666666666666663,0.625,target_cluster_bootstrap
3,4,87,54,29,0.6206896551724137,0.5402298850574713,0.7011494252873564,target_cluster_bootstrap
3,5,21,14,7,0.6666666666666666,0.5238095238095238,0.8095238095238094,target_cluster_bootstrap
4,2,9,3,3,,,,
4,3,12,7,4,,,,
4,4,3,2,1,,,,
