dataset,arm,endpoint,n,estimate,lo,hi,diff,diff_lo,diff_hi,mcnemar_vs_frozen,interval_type,frame,source_file,source_locator,notes
D1,frozen,P1_detection,13,0.8461538461538461,0.5776536898051745,0.9567418216419186,,,,,Wilson 95%,13 paper-variable stars (eligible roster),outputs/generalization/metrics_d1/completeness_by_class_pass_rule.csv,"CSV line 24, column p",
D1,frozen,P2_recovery,4,0.0,0.0,0.4898908364545973,,,,,Wilson 95%,frequency-scorable paper-variable stars,outputs/generalization/metrics_d1/completeness_by_class_pass_rule.csv,"CSV line 26, column p",diagnostic only; non-contemporaneous literature frequencies
D1,frozen,P3_negative_trigger,5,0.0,0.0,0.43448246478317476,,,,,Wilson 95%,five paper-constant stars; transit control excluded,outputs/generalization/metrics_d1/per_star.csv,"CSV lines 8,9,10,11,12, filter label_positive=false; aggregate best_status",0 confirmed + 1 candidate
D1,frozen,census_rate,13,0.6923076923076923,0.42369343180549035,0.8731929634428948,,,,,Wilson 95%,13 paper-variable stars (eligible roster),outputs/generalization/metrics_d1/completeness_by_class_pass_rule.csv,"CSV line 30, column p",
D1,frozen,either_rate,13,1.0,0.7719046276458016,0.9999999999999999,,,,,Wilson 95%,13 paper-variable stars (eligible roster),outputs/generalization/metrics_d1/completeness_by_class_pass_rule.csv,"CSV line 32, column p",
D1,frozen,union_rate,13,1.0,0.7719046276458016,0.9999999999999999,,,,,Wilson 95%,positives with both methods available and usable,outputs/generalization/metrics_d1/contingency_complementarity.json,JSON key $.union_completeness.p,
D1,frozen,incremental_census,13,0.15384615384615385,0.043258178358081184,0.4223463101948254,,,,,Wilson 95%,positives with both methods available and usable,outputs/generalization/metrics_d1/contingency_complementarity.json,JSON key $.incremental_census_only.p,
D1,frozen,mcnemar_p,13,0.6875,,,,,,,exact two-sided McNemar,positives with both methods available and usable,outputs/generalization/metrics_d1/contingency_complementarity.json,JSON key $.mcnemar_exact_p_secondary,secondary marginal-homogeneity test
D1,frozen,chance_match_mean,100,0.0,,,,,,,truth-list permutation calibration,frequency-scorable stars,outputs/generalization/metrics_d1/chance_match.json,JSON key $.accidental_direct_match_rate_mean,calibration; not an observed recovery estimate
D1,frozen,chance_match_p95,100,0.0,,,,,,,truth-list permutation calibration,frequency-scorable stars,outputs/generalization/metrics_d1/chance_match.json,JSON key $.accidental_direct_match_rate_p95,calibration; not an observed recovery estimate
D2,frozen,chance_match_mean,10000,0.0,,,,,,,target-level derangement calibration,nominal arm-B target-equal recovery,generalization/results/2026-09-04_d2/metrics/chance_match.json,JSON key $.accidental_recovery_rate_mean,calibration; not an observed recovery estimate
D2,frozen,chance_match_p95,10000,0.0,,,,,,,target-level derangement calibration,nominal arm-B target-equal recovery,generalization/results/2026-09-04_d2/metrics/chance_match.json,JSON key $.accidental_recovery_rate_p95,calibration; not an observed recovery estimate
D2,frozen,P4_recovery_eligible,103,0.21682847896440124,0.17152103559870543,0.262135922330097,,,,,cluster_bootstrap,"nominal arm-B targets, eligible; scheduled strata",generalization/results/2026-09-04_d2/metrics/d2_cluster_completeness.csv,"CSV line 55, column p",target-equal nominal arm-B estimate
D2,frozen,P4_recovery_usable,103,0.21682847896440124,0.17152103559870543,0.262135922330097,,,,,cluster_bootstrap,"nominal arm-B targets, usable; scheduled strata",generalization/results/2026-09-04_d2/metrics/d2_cluster_completeness.csv,"CSV line 54, column p",target-equal nominal arm-B estimate
D2,frozen,P4_trigger,103,0.5566343042071197,0.5177993527508089,0.6019417475728155,,,,,cluster_bootstrap,"nominal arm-B targets, eligible; scheduled strata",generalization/results/2026-09-04_d2/metrics/d2_cluster_completeness.csv,"CSV line 57, column p",target-equal nominal arm-B estimate; eligible denominator (usable trigger variant remains in source table)
D2,frozen,P5_fpr_upper,1000,0.027755286045479104,,,,,,,exact one-sided Clopper-Pearson 95% upper,completed arm-A Gaussian nulls,generalization/results/2026-09-04_d2/metrics/trigger_rates.csv,"CSV line 2, column cp_one_sided_95_upper",upper bound is the endpoint; observed 19/1000
D2,frozen,control_contrast_trigger,103,0.13915857605177995,0.09061488673139159,0.1909385113268608,,,,,target-cluster bootstrap,nominal injected minus paired-control response,generalization/results/2026-09-04_d2/metrics/d2_paired_controls_summary.csv,"CSV line 2, column paired_diff_b_minus_c",309 scored pairs; 106 unique control windows
D2,frozen,control_contrast_strict_recovery,103,0.21682847896440124,0.17152103559870543,0.262135922330097,,,,,target-cluster bootstrap,nominal injected minus paired-control response,generalization/results/2026-09-04_d2/metrics/d2_paired_controls_summary.csv,"CSV line 3, column paired_diff_b_minus_c",309 scored pairs; 106 unique control windows
D2,v2,P4_recovery_eligible,,,,,,,,,,,,,bundle not available
D2,v2,P4_recovery_usable,,,,,,,,,,,,,bundle not available
D2,v2,P4_trigger,,,,,,,,,,,,,bundle not available
D2,v2,P5_fpr_upper,,,,,,,,,,,,,bundle not available
D2,v2,control_contrast_trigger,,,,,,,,,,,,,bundle not available
D2,v2,control_contrast_strict_recovery,,,,,,,,,,,,,bundle not available
