dataset,sid,key,group,scenario,split
d3,9000000000001570023,KIC 1570023,dsct_flag1,,holdout
d3,9000000000001573149,KIC 1573149,dsct_flag1,,holdout
d3,9000000000001573174,KIC 1573174,dsct_flag1,,dev
d3,9000000000001575977,KIC 1575977,dsct_flag1,,holdout
d3,9000000000002167444,KIC 2167444,dsct_flag1,,dev
d3,9000000000002168420,KIC 2168420,dsct_flag1,,dev
d3,9000000000002300603,KIC 2300603,dsct_flag1,,holdout
d3,9000000000002301163,KIC 2301163,dsct_flag1,,holdout
d3,9000000000002310586,KIC 2310586,dsct_flag1,,dev
d3,9000000000002438249,KIC 2438249,dsct_flag1,,holdout
d3,9000000000002570760,KIC 2570760,dsct_flag1,,dev
d3,9000000000002572386,KIC 2572386,dsct_flag1,,dev
d3,9000000000002578404,KIC 2578404,dsct_flag1,,dev
d3,9000000000002579147,KIC 2579147,dsct_flag1,,holdout
d3,9000000000002581626,KIC 2581626,dsct_flag1,,dev
d3,9000000000002581905,KIC 2581905,dsct_flag1,,holdout
d3,9000000000002582800,KIC 2582800,dsct_flag1,,dev
d3,9000000000002583669,KIC 2583669,dsct_flag1,,holdout
d3,9000000000002714707,KIC 2714707,dsct_flag1,,holdout
d3,9000000000002715483,KIC 2715483,dsct_flag1,,holdout
d3,9000000000002718630,KIC 2718630,dsct_flag1,,dev
d3,9000000000002851278,KIC 2851278,dsct_flag1,,dev
d3,9000000000002855026,KIC 2855026,dsct_flag1,,dev
d3,9000000000002855603,KIC 2855603,dsct_flag1,,holdout
d3,9000000000002857323,KIC 2857323,dsct_flag1,,holdout
d3,9000000000002974815,KIC 2974815,dsct_flag1,,holdout
d3,9000000000002988145,KIC 2988145,dsct_flag1,,holdout
d3,9000000000002994888,KIC 2994888,dsct_flag1,,dev
d3,9000000000002995931,KIC 2995931,dsct_flag1,,holdout
d3,9000000000003117511,KIC 3117511,dsct_flag1,,holdout
d3,9000000000003223460,KIC 3223460,dsct_flag1,,dev
d3,9000000000003238073,KIC 3238073,dsct_flag1,,holdout
d3,9000000000003239508,KIC 3239508,dsct_flag1,,dev
d3,9000000000003241388,KIC 3241388,dsct_flag1,,dev
d3,9000000000003247039,KIC 3247039,dsct_flag1,,holdout
d3,9000000000003248951,KIC 3248951,dsct_flag1,,holdout
d3,9000000000003340360,KIC 3340360,dsct_flag1,,dev
d3,9000000000003426991,KIC 3426991,dsct_flag1,,holdout
d3,9000000000003444098,KIC 3444098,dsct_flag1,,dev
d3,9000000000003455863,KIC 3455863,dsct_flag1,,holdout
d3,9000000000003456100,KIC 3456100,dsct_flag1,,dev
d3,9000000000003456605,KIC 3456605,dsct_flag1,,holdout
d3,9000000000003529242,KIC 3529242,dsct_flag1,,dev
d3,9000000000003539869,KIC 3539869,dsct_flag1,,holdout
d3,9000000000003647114,KIC 3647114,dsct_flag1,,dev
d3,9000000000003648131,KIC 3648131,dsct_flag1,,holdout
d3,9000000000003655115,KIC 3655115,dsct_flag1,,holdout
d3,9000000000003657237,KIC 3657237,dsct_flag1,,holdout
d3,9000000000003748250,KIC 3748250,dsct_flag1,,dev
d3,9000000000003749833,KIC 3749833,dsct_flag1,,holdout
d3,9000000000003757814,KIC 3757814,dsct_flag1,,dev
d3,9000000000003762741,KIC 3762741,dsct_flag1,,holdout
d3,9000000000003763579,KIC 3763579,dsct_flag1,,holdout
d3,9000000000003833853,KIC 3833853,dsct_flag1,,holdout
d3,9000000000003852644,KIC 3852644,dsct_flag1,,dev
d3,9000000000003865358,KIC 3865358,dsct_flag1,,dev
d3,9000000000003868588,KIC 3868588,dsct_flag1,,dev
d3,9000000000003869794,KIC 3869794,dsct_flag1,,dev
d3,9000000000003941524,KIC 3941524,dsct_flag1,,dev
d3,9000000000003953144,KIC 3953144,dsct_flag1,,dev
d3,9000000000003964082,KIC 3964082,dsct_flag1,,dev
d3,9000000000003966434,KIC 3966434,dsct_flag1,,dev
d3,9000000000003966950,KIC 3966950,dsct_flag1,,dev
d3,9000000000003973432,KIC 3973432,dsct_flag1,,dev
d3,9000000000004043227,KIC 4043227,dsct_flag1,,holdout
d3,9000000000004054968,KIC 4054968,dsct_flag1,,dev
d3,9000000000004071949,KIC 4071949,dsct_flag1,,holdout
d3,9000000000004072890,KIC 4072890,dsct_flag1,,dev
d3,9000000000004077275,KIC 4077275,dsct_flag1,,holdout
d3,9000000000004079482,KIC 4079482,dsct_flag1,,dev
d3,9000000000004137903,KIC 4137903,dsct_flag1,,holdout
d3,9000000000004168579,KIC 4168579,dsct_flag1,,holdout
d3,9000000000004170639,KIC 4170639,dsct_flag1,,holdout
d3,9000000000004178654,KIC 4178654,dsct_flag1,,dev
d3,9000000000004180375,KIC 4180375,dsct_flag1,,holdout
d3,9000000000004243461,KIC 4243461,dsct_flag1,,holdout
d3,9000000000004253413,KIC 4253413,dsct_flag1,,holdout
d3,9000000000004274480,KIC 4274480,dsct_flag1,,dev
d3,9000000000004377815,KIC 4377815,dsct_flag1,,holdout
d3,9000000000004380834,KIC 4380834,dsct_flag1,,dev
d3,9000000000004381016,KIC 4381016,dsct_flag1,,dev
d3,9000000000004456107,KIC 4456107,dsct_flag1,,holdout
d3,9000000000004473083,KIC 4473083,dsct_flag1,,holdout
d3,9000000000004476011,KIC 4476011,dsct_flag1,,holdout
d3,9000000000004476186,KIC 4476186,dsct_flag1,,dev
d3,9000000000004481700,KIC 4481700,dsct_flag1,,dev
d3,9000000000004484271,KIC 4484271,dsct_flag1,,holdout
d3,9000000000004562615,KIC 4562615,dsct_flag1,,holdout
d3,9000000000004575908,KIC 4575908,dsct_flag1,,dev
d3,9000000000004580484,KIC 4580484,dsct_flag1,,dev
d3,9000000000004585982,KIC 4585982,dsct_flag1,,dev
d3,9000000000004588073,KIC 4588073,dsct_flag1,,holdout
d3,9000000000004649462,KIC 4649462,dsct_flag1,,dev
d3,9000000000004658336,KIC 4658336,dsct_flag1,,dev
d3,9000000000004661660,KIC 4661660,dsct_flag1,,dev
d3,9000000000004668676,KIC 4668676,dsct_flag1,,dev
d3,9000000000004679562,KIC 4679562,dsct_flag1,,dev
d3,9000000000004680002,KIC 4680002,dsct_flag1,,dev
d3,9000000000004737731,KIC 4737731,dsct_flag1,,holdout
d3,9000000000004752731,KIC 4752731,dsct_flag1,,dev_smoke
d3,9000000000004756040,KIC 4756040,dsct_flag1,,dev
d3,9000000000004764008,KIC 4764008,dsct_flag1,,dev
d3,9000000000004768611,KIC 4768611,dsct_flag1,,holdout
d3,9000000000004768919,KIC 4768919,dsct_flag1,,holdout
d3,9000000000004769505,KIC 4769505,dsct_flag1,,holdout
d3,9000000000004774208,KIC 4774208,dsct_flag1,,dev
d3,9000000000004851881,KIC 4851881,dsct_flag1,,holdout
d3,9000000000004852661,KIC 4852661,dsct_flag1,,holdout
d3,9000000000004902475,KIC 4902475,dsct_flag1,,holdout
d3,9000000000004903473,KIC 4903473,dsct_flag1,,holdout
d3,9000000000004919344,KIC 4919344,dsct_flag1,,dev
d3,9000000000004927495,KIC 4927495,dsct_flag1,,holdout
d3,9000000000004927985,KIC 4927985,dsct_flag1,,holdout
d3,9000000000004930550,KIC 4930550,dsct_flag1,,dev
d3,9000000000004937872,KIC 4937872,dsct_flag1,,dev
d3,9000000000004940217,KIC 4940217,dsct_flag1,,holdout
d3,9000000000004945346,KIC 4945346,dsct_flag1,,dev
d3,9000000000004947130,KIC 4947130,dsct_flag1,,dev
d3,9000000000004951447,KIC 4951447,dsct_flag1,,holdout
d3,9000000000004952341,KIC 4952341,dsct_flag1,,holdout
d3,9000000000004995588,KIC 4995588,dsct_flag1,,dev
d3,9000000000004999763,KIC 4999763,dsct_flag1,,holdout
d3,9000000000004999789,KIC 4999789,dsct_flag1,,holdout
d3,9000000000005018191,KIC 5018191,dsct_flag1,,holdout
d3,9000000000005019234,KIC 5019234,dsct_flag1,,dev
d3,9000000000005020065,KIC 5020065,dsct_flag1,,holdout
d3,9000000000005023338,KIC 5023338,dsct_flag1,,dev
d3,9000000000005027750,KIC 5027750,dsct_flag1,,dev
d3,9000000000005089352,KIC 5089352,dsct_flag1,,dev
d3,9000000000005108514,KIC 5108514,dsct_flag1,,dev
d3,9000000000005112836,KIC 5112836,dsct_flag1,,dev
d3,9000000000005168634,KIC 5168634,dsct_flag1,,dev
d3,9000000000005177020,KIC 5177020,dsct_flag1,,dev
d3,9000000000005206767,KIC 5206767,dsct_flag1,,holdout
d3,9000000000005212696,KIC 5212696,dsct_flag1,,dev
d3,9000000000005220979,KIC 5220979,dsct_flag1,,holdout
d3,9000000000005271224,KIC 5271224,dsct_flag1,,dev
d3,9000000000005272590,KIC 5272590,dsct_flag1,,dev
d3,9000000000005284701,KIC 5284701,dsct_flag1,,holdout
d3,9000000000005286485,KIC 5286485,dsct_flag1,,holdout
d3,9000000000005295005,KIC 5295005,dsct_flag1,,holdout
d3,9000000000005295234,KIC 5295234,dsct_flag1,,dev
d3,9000000000005296692,KIC 5296692,dsct_flag1,,dev
d3,9000000000005299904,KIC 5299904,dsct_flag1,,dev
d3,9000000000005300719,KIC 5300719,dsct_flag1,,holdout
d3,9000000000005302643,KIC 5302643,dsct_flag1,,holdout
d3,9000000000005305709,KIC 5305709,dsct_flag1,,holdout
d3,9000000000005307209,KIC 5307209,dsct_flag1,,holdout
d3,9000000000005309547,KIC 5309547,dsct_flag1,,holdout
d3,9000000000005310172,KIC 5310172,dsct_flag1,,dev
d3,9000000000005358323,KIC 5358323,dsct_flag1,,holdout
d3,9000000000005373377,KIC 5373377,dsct_flag1,,holdout
d3,9000000000005376614,KIC 5376614,dsct_flag1,,dev
d3,9000000000005384653,KIC 5384653,dsct_flag1,,holdout
d3,9000000000005385754,KIC 5385754,dsct_flag1,,dev
d3,9000000000005390069,KIC 5390069,dsct_flag1,,holdout
d3,9000000000005390357,KIC 5390357,dsct_flag1,,holdout
d3,9000000000005391338,KIC 5391338,dsct_flag1,,dev
d3,9000000000005397516,KIC 5397516,dsct_flag1,,dev
d3,9000000000005430471,KIC 5430471,dsct_flag1,,holdout
d3,9000000000005435620,KIC 5435620,dsct_flag1,,dev
d3,9000000000005443410,KIC 5443410,dsct_flag1,,dev
d3,9000000000005459805,KIC 5459805,dsct_flag1,,holdout
d3,9000000000005462692,KIC 5462692,dsct_flag1,,dev
d3,9000000000005475187,KIC 5475187,dsct_flag1,,dev_smoke
d3,9000000000005476273,KIC 5476273,dsct_flag1,,holdout
d3,9000000000005481482,KIC 5481482,dsct_flag1,,dev
d3,9000000000005482510,KIC 5482510,dsct_flag1,,dev
d3,9000000000005511363,KIC 5511363,dsct_flag1,,holdout
d3,9000000000005529323,KIC 5529323,dsct_flag1,,holdout
d3,9000000000005534340,KIC 5534340,dsct_flag1,,dev
d3,9000000000005541836,KIC 5541836,dsct_flag1,,dev
d3,9000000000005542211,KIC 5542211,dsct_flag1,,holdout
d3,9000000000005551220,KIC 5551220,dsct_flag1,,dev
d3,9000000000005554685,KIC 5554685,dsct_flag1,,holdout
d3,9000000000005561007,KIC 5561007,dsct_flag1,,holdout
d3,9000000000005567499,KIC 5567499,dsct_flag1,,holdout
d3,9000000000005609486,KIC 5609486,dsct_flag1,,dev
d3,9000000000005617102,KIC 5617102,dsct_flag1,,dev
d3,9000000000005618126,KIC 5618126,dsct_flag1,,dev
d3,9000000000005631648,KIC 5631648,dsct_flag1,,dev
d3,9000000000005648562,KIC 5648562,dsct_flag1,,dev
d3,9000000000005649964,KIC 5649964,dsct_flag1,,dev
d3,9000000000005651327,KIC 5651327,dsct_flag1,,holdout
d3,9000000000005705575,KIC 5705575,dsct_flag1,,holdout
d3,9000000000005707205,KIC 5707205,dsct_flag1,,holdout
d3,9000000000005716472,KIC 5716472,dsct_flag1,,dev
